overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
1,90,89,1,222665
2,90,88,1,246669
-1,86,87,2,202811
-1,85,86,5,257534
2,91,89,9,209331
-2,82,84,9,237678
-1,84,85,10,186942
-3,82,85,10,203574
-1,87,88,10,210257
-1,86,87,10,218667
-2,82,84,10,229237
-1,86,87,10,237692
-2,89,91,10,239085
-2,83,85,13,233731
2,92,90,21,202126
2,90,88,22,235073
3,89,86,32,199503
3,91,88,32,256630
-1,84,85,52,178603
2,90,88,240,194765
-1,87,88,240,200389
2,90,88,241,188545
-1,85,86,241,228702
-3,83,86,241,241486
1,89,88,243,205452
1,92,91,243,231747
2,92,90,243,238794
2,90,88,243,239053
2,92,90,243,252371
-2,83,85,461,262621
-2,82,84,605,201024
-1,83,84,112172,185122
2,89,87,115998,226302
-1,84,85,115998,247789
-2,83,85,116009,227110
3,91,88,116010,227323
-2,82,84,116017,245830
3,91,88,116033,227316
2,90,88,116033,227361
2,90,88,116033,245956
2,89,87,116034,233662
1,89,88,116034,246272
-1,85,86,116034,247504
1,91,90,116325,227102
2,90,88,116325,227190
1,90,89,116325,236479
1,89,88,116325,237289
-1,83,84,116326,246774
-1,86,87,131681,232656
-1,85,86,131681,241721
