overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,81,82,80,5,79,83
1,75,75,74,75,75,76,8,73,77
-1,73,73,74,73,73,72,17,73,73
1,81,82,81,82,79,83,22,83,81
-1,74,75,76,81,77,72,23,81,76
-1,83,82,83,83,84,82,32,81,82
1,80,80,79,80,79,82,48,79,79
-1,70,72,73,69,74,69,50,68,73
1,72,74,73,76,73,72,55,76,74
1,77,78,77,77,78,78,69,76,79
-2,73,72,74,72,74,72,71,71,73
-1,84,82,83,83,82,84,73,82,82
-1,74,75,76,76,75,74,74,76,74
1,73,75,74,76,75,73,76,74,76
-1,75,74,75,77,74,74,94,77,74
1,74,76,75,80,76,74,169,81,76
-1,76,76,77,77,76,73,175,75,76
-1,72,72,73,72,73,72,206,72,72
1,83,85,84,85,85,83,241,85,86
-1,74,75,76,76,77,75,245,76,76
1,77,80,79,85,79,77,325,86,81
-1,79,79,80,81,79,77,326,80,79
-1,72,74,75,77,75,71,436,76,75
-1,75,75,76,77,76,74,450,77,74
-1,74,74,75,75,75,73,472,76,74
-1,76,76,77,78,76,75,479,79,76
-1,77,75,76,74,75,75,481,74,75
1,74,74,73,73,73,74,1809,73,74
-1,73,72,73,73,73,73,1842,72,72
1,77,78,77,80,77,78,1943,81,77
1,74,76,75,75,75,73,10029,76,75
-1,71,72,73,74,74,69,101083,73,73
1,79,79,78,75,78,81,110062,76,79
-1,72,72,73,72,74,70,111811,71,73
-1,71,72,73,71,72,70,112670,71,72
1,78,80,79,80,80,78,115845,81,81
1,82,82,81,81,81,83,115998,82,82
-1,73,74,75,75,76,71,115999,75,76
1,76,76,75,73,74,77,116002,74,74
1,74,75,74,74,73,74,116003,75,74
-1,83,82,83,84,84,81,116009,83,83
1,83,85,84,86,84,83,116010,86,85
1,73,76,75,76,77,73,116013,77,78
1,70,76,75,75,76,70,116016,75,77
-1,73,73,74,75,74,72,116021,74,73
1,85,86,85,85,89,86,116325,85,91
1,81,82,81,82,81,81,116326,82,82
1,79,79,78,76,80,80,116327,76,80
-1,78,75,76,74,75,78,116328,72,74
1,73,77,76,76,76,74,116336,76,77
