overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,234378
-2,86,88,1,246669
3,89,86,5,257534
2,92,90,9,209331
-1,83,84,9,216267
-1,84,85,10,186942
-2,81,83,10,188377
-2,88,90,10,192985
-2,82,84,10,251517
2,89,87,11,212198
-1,83,84,11,235243
-3,81,84,11,239301
-2,83,85,13,247851
-2,82,84,21,222492
3,90,87,21,256790
-1,83,84,22,204923
-1,83,84,22,215441
2,90,88,22,235073
3,91,88,32,256630
-2,82,84,45,246430
-1,84,85,48,247635
3,88,85,237,241651
2,90,88,240,194765
-1,87,88,240,200389
-2,82,84,240,246191
-2,84,86,241,251854
3,89,86,243,177003
3,92,89,243,192119
1,89,88,243,239053
2,92,90,243,252371
2,89,87,325,232293
-2,83,85,461,262621
-1,83,84,605,209981
-2,83,85,115998,226375
2,90,88,116009,245802
2,91,89,116010,227323
-1,84,85,116010,227392
3,89,86,116017,240714
2,91,89,116033,227310
1,89,88,116034,246272
-1,85,86,116034,247504
3,88,85,116035,245697
2,92,90,116325,227102
1,90,89,116325,236479
2,90,88,116325,237289
1,92,91,116325,241667
3,88,85,116325,253436
-2,85,87,131681,232656
-1,85,86,131681,241721
-2,87,89,131682,231478
