overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
4,79,75,687,241907
-2,69,71,688,251547
1,80,79,689,208448
-3,64,67,689,234927
2,81,79,691,210930
3,75,72,691,244895
-2,66,68,691,276960
-2,69,71,694,237000
2,77,75,694,237496
4,84,80,695,221634
5,74,69,695,232120
2,78,76,695,244797
-4,64,68,695,254067
-3,71,74,696,232132
4,81,77,697,70822
3,84,81,697,188350
-2,70,72,697,191648
-2,75,77,697,241162
-3,64,67,834,246987
-5,64,69,101112,242596
3,74,71,111065,185068
5,76,71,111065,231390
-2,67,69,111138,202170
-3,65,68,111138,262142
-3,67,70,111138,264516
-3,64,67,111139,247494
3,74,71,111140,213620
-2,68,70,111140,247933
-2,70,72,111928,224874
2,75,73,111928,238604
-2,68,70,111928,246803
2,77,75,112134,239704
-2,72,74,112606,236298
4,77,73,112606,240744
4,77,73,112828,183895
5,76,71,112828,236935
-3,66,69,112885,164505
-2,65,67,112885,203398
-2,68,70,112885,237662
-2,67,69,112885,256044
4,79,75,113018,233125
4,77,73,113018,242998
-2,69,71,113149,212722
3,79,76,113149,237254
3,76,73,113149,246423
-5,68,73,114161,212170
6,75,69,114162,202215
3,82,79,114162,210021
3,74,71,114162,234249
-2,66,68,114640,269913
