ca_noseSupratip_NN_XXX_R_A,fa_periorbital_NR_IXX_L_M,ca_noseColumella_NN_XXX_D_U,fa_submental_NR_XXX_L_M,fa_jowl_NL_IXX_D_U,fa_preplatysmal_NL_XXX_L_M,ca_noseAla_NR_ICX_D_U,ca_noseAla_NL_ILX_N_W,fa_lip_NR_IXX_L_M,fa_neck_NL_XXP_L_M,fa_forehead_NN_XMX_L_M,fa_jowl_NL_SXX_L_M,ca_earAntihelix_NL_IXX_D_U,fa_cheeksMiddle_NL_XXX_L_M,fa_earHelix_NL_IXX_L_M,ca_noseAla_NR_IXX_N_W,fa_cheeks_NR_XMX_L_M,ca_earHelix_NL_SXP_B_F,ca_earHelix_NL_SXA_N_W,ca_noseAla_NR_IMX_B_F,fa_submandibular_NR_XXX_D_U,ca_noseAla_NL_XXA_N_W,ca_earAntihelix_NL_SXX_B_F,ca_earHelix_NR_IXX_B_F,ca_noseAla_NR_ICX_R_A,ca_earHelix_NL_SXP_N_W,fa_cheeksMiddle_NR_XXX_D_U,fa_submandibular_NR_XXX_L_M,ca_noseSupratip_NN_XXX_D_U,fa_forehead_NL_XLX_D_U,ca_noseColumella_NN_XXX_R_A,ca_noseAla_NR_XXA_R_A,ca_noseTip_NN_XXX_D_U,ca_noseColumella_NN_XXX_B_F,ca_noseAla_NL_ICX_N_W,ca_noseAla_NR_XXA_B_F,fa_lip_NR_IXX_D_U,fa_cheeks_NR_XMX_D_U,ca_noseAla_NR_ICX_B_F,fa_nasolabial_NL_IXX_D_U,fa_nose_NN_XXX_L_M,ca_earlobe_NR_XXX_D_U,ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_IXX_D_U,fa_nasolabial_NR_IXX_D_U,fa_orbital_NL_IXX_D_U,ca_earHelix_NR_SXA_N_W,ca_noseAla_NR_ILX_R_A,ca_noseAla_NR_ILX_B_F,fa_forehead_NR_XLX_D_U,ca_noseAla_NL_IMX_N_W,ca_noseAla_NL_SXX_N_W,ca_noseAla_NL_XXA_R_A,ca_eartragus_NR_XXX_B_F,fa_jowl_NR_IXX_L_M,fa_periorbital_NL_IXX_D_U,fa_orbital_NR_IXX_L_M,fa_preplatysmal_NR_XXX_L_M,ca_noseAla_NR_SXX_R_A,ca_noseSupratip_NN_XXX_SL_SR,ca_noseAla_NR_IMX_N_W,ca_earHelix_NR_SXP_D_U,fa_lip_NL_SXX_D_U,ca_eartragus_NL_XXX_N_W,ca_earHelix_NR_IXX_N_W,ca_earAntihelix_NL_SXX_N_W,fa_submandibular_NL_XXX_L_M,ca_noseAla_NL_ILX_R_A,fa_orbital_NR_IXX_D_U,ca_earHelix_NL_IXX_B_F,ca_earAntihelix_NR_SXX_B_F,ca_noseAla_NR_SXX_B_F,ca_earlobe_NL_XXX_D_U,ca_noseAla_NR_ILX_N_W,ca_earHelix_NL_SXA_B_F,fa_forehead_NR_XLX_L_M,ca_earHelix_NR_SXP_B_F,ca_earHelix_NL_IXX_N_W,fa_periorbital_NL_IXX_L_M,fa_jowl_NR_IXX_D_U,ca_noseTip_NN_XXX_SL_SR,ca_earAntihelix_NR_SXX_N_W,fa_cheeks_NL_XMX_L_M,fa_earHelix_NR_IXX_L_M,fa_nasolabial_NR_IXX_L_M,ca_noseColumella_NN_XXX_SL_SR,ca_noseAla_NL_IMX_R_A,fa_orbital_NL_IXX_L_M,ca_noseAla_NL_SXX_R_A,fa_lip_NL_IXX_L_M,ca_noseAla_NR_SXX_D_U,ca_noseAla_NL_IXX_B_F,fa_temporal_NR_XLX_L_M,ca_noseAla_NR_XXA_N_W,fa_orbital_NR_XLX_D_U,fa_nasolabial_NL_IXX_L_M,fa_cheeksMiddle_NR_XXX_L_M,ca_noseAla_NR_ILX_D_U,ca_earHelix_NR_SXA_B_F,ca_earAntihelix_NR_SXX_D_U,ca_earHelix_NL_IXX_D_U,fa_forehead_NL_XLX_L_M,ca_eartragus_NL_XXX_D_U,ca_earHelix_NR_IXX_D_U,fa_mental_NN_XXX_L_M,ca_earAntihelix_NL_SXX_D_U,fa_lip_NR_SXX_L_M,ca_noseSupratip_NN_XXX_B_F,fa_earHelix_NL_SXX_L_M,fa_orbital_NL_XLX_D_U,fa_forehead_NN_XMX_D_U,fa_jowl_NL_SXX_D_U,ca_noseTip_NN_XXX_R_A,ca_noseAla_NR_XXA_D_U,fa_cheeksMiddle_NL_XXX_D_U,fa_temporal_NL_XLX_L_M,ca_earHelix_NR_SXP_N_W,fa_submental_NR_XXX_D_U,fa_jowl_NL_IXX_L_M,fa_periorbital_NR_IXX_D_U,ca_eartragus_NL_XXX_B_F,ca_noseAla_NR_SXX_N_W,ca_earHelix_NR_SXA_D_U,fa_nasolabial_NL_SXX_D_U,ca_earAntihelix_NL_IXX_B_F,fa_orbital_NL_XLX_L_M,fa_orbital_NL_SXX_D_U,fa_submental_NL_XXX_L_M,fa_temporal_NL_XLX_D_U,ca_earlobe_NL_XXX_N_W,ca_earHelix_NL_SXP_D_U,fa_mental_NN_XXX_D_U,fa_lip_NR_SXX_D_U,ca_noseAla_NR_IMX_D_U,ca_noseSupratip_NN_XXX_N_W,ca_noseTip_NN_XXX_N_W,fa_orbital_NR_SXX_L_M,ca_earHelix_NL_SXA_D_U,ca_noseAla_NR_IXX_R_A,ca_noseAla_NL_IMX_D_U,ca_noseAla_NL_SXX_D_U,fa_nasolabial_NR_SXX_D_U,ca_noseAla_NL_IXX_N_W,ca_earlobe_NR_XXX_N_W,fa_temporal_NR_XLX_D_U,fa_mental_NN_IXX_L_M,ca_earAntihelix_NL_IXX_N_W,fa_neck_NR_XXP_L_M,ca_earAntihelix_NR_IXX_B_F,fa_jowl_NR_SXX_L_M,fa_orbital_NR_XLX_L_M,ca_earlobe_NL_XXX_B_F,fa_mental_NN_IXX_D_U,fa_cheeks_NL_XMX_D_U,ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_XXA_B_F,ca_noseAla_NL_ILX_D_U,fa_jowl_NR_SXX_D_U,fa_lip_NL_IXX_D_U,fa_orbital_NR_SXX_D_U,fa_nasolabial_NR_SXX_L_M,ca_eartragus_NR_XXX_D_U,ca_noseAla_NR_IXX_B_F,ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_IMX_B_F,ca_earlobe_NR_XXX_B_F,fa_submandibular_NL_XXX_D_U,ca_noseAla_NL_ILX_B_F,ca_earAntihelix_NR_IXX_N_W,ca_noseAla_NL_XXA_D_U,ca_noseTip_NN_XXX_B_F,fa_earHelix_NR_SXX_L_M,ca_noseAla_NL_IXX_R_A,fa_orbital_NL_SXX_L_M,ca_noseAla_NR_IXX_D_U,fa_submental_NL_XXX_D_U,fa_lip_NL_SXX_L_M,ca_earAntihelix_NR_IXX_D_U,ca_noseColumella_NN_XXX_N_W,ca_noseAla_NR_IMX_R_A,ca_noseAla_NL_SXX_B_F,fa_nasolabial_NL_SXX_L_M,ca_eartragus_NR_XXX_N_W,ca_noseAla_NR_ICX_N_W,assetid
-11,-55,40,11,-14,25,37,46,7,41,14,77,-4,-12,6,7,58,-3,27,4,-30,7,23,56,-2,14,19,13,-21,35,-15,34,-44,-18,-18,13,-48,66,42,14,60,17,38,58,3,29,24,11,67,44,18,98,31,-27,-39,12,-15,25,-12,-6,13,-51,-55,31,14,34,14,10,20,61,29,28,31,41,-10,-3,2,-8,-35,-11,-8,41,-1,11,-14,-11,-22,-27,-12,2,55,10,38,-1,-11,-26,-6,58,-3,-22,-76,24,21,-70,42,-24,-74,-42,48,-10,83,15,-40,-18,23,47,5,-48,-28,-8,-26,93,-45,48,67,-24,37,11,33,-10,-55,-47,-57,-24,-56,28,60,-34,33,-27,55,44,9,21,31,33,-1,40,69,92,-34,69,15,45,33,14,52,18,-54,22,16,18,10,0,0,65,-24,63,13,-18,-27,44,33,28,61,-45,-85,-2,54,-25,24,26,42,-27,70106
2,-1,45,-13,9,4,-12,-8,47,26,29,77,-19,-11,97,15,-12,-36,4,-5,13,38,19,38,4,9,4,-17,-15,6,7,11,-1,-1,9,11,10,16,8,-12,-34,-49,5,55,-8,32,3,11,38,2,2,52,9,-58,-29,39,-20,3,18,-7,1,0,8,49,36,-56,-15,10,29,38,25,-6,-42,-10,-33,60,-33,34,-10,8,-3,-55,-4,90,11,2,22,-26,15,40,-6,5,-12,38,-1,-2,-10,5,-28,10,-83,39,27,-76,0,6,-50,3,54,-1,-19,34,9,-10,5,-11,11,10,-34,42,-56,47,16,8,-8,-20,34,-12,36,43,-4,1,10,30,2,11,-38,18,13,28,-10,12,14,49,34,-33,-39,25,-10,83,-31,34,28,8,-13,10,3,31,9,25,4,25,6,7,-7,31,14,38,-14,-12,-38,54,12,-42,56,10,-50,-7,3,21,-8,-1,62,5,70857
-5,58,-19,-31,20,-23,-51,8,21,10,14,64,22,-10,29,0,-35,21,-1,14,44,42,42,13,-1,-14,24,-56,19,-20,-33,4,34,-17,16,11,-12,19,36,15,57,-48,31,14,14,-2,-5,7,41,-24,0,52,7,-37,-11,-13,2,-23,-1,-7,0,10,-28,9,20,30,-57,1,7,17,39,12,-52,14,23,-82,18,28,62,21,-5,32,-24,29,-12,-4,7,-37,0,8,26,-23,-65,41,25,-20,-4,-41,18,22,-11,-97,2,0,-34,16,42,-24,42,21,-34,43,-18,20,24,-76,-30,1,-24,-6,-37,54,-26,38,24,-29,-26,-32,52,2,4,32,-30,49,7,6,27,-23,0,48,24,37,1,6,52,58,61,12,20,82,-25,43,32,11,-52,6,-42,41,-10,-26,-39,2,-20,-2,8,39,43,39,66,19,-38,46,-2,24,13,3,35,29,-18,8,7,-35,25,13,71170
14,75,73,-20,7,17,17,-46,19,36,10,63,38,-52,45,28,45,37,7,0,-7,58,70,-3,1,27,-8,-12,-2,-37,18,31,10,15,-49,4,49,62,-5,3,-5,3,-11,68,-15,52,0,15,58,-34,14,85,30,-83,17,71,6,17,30,-14,13,62,39,69,11,12,-11,13,64,0,73,17,7,-45,11,-14,41,24,75,1,-14,24,33,43,0,-4,19,-6,29,15,37,12,-10,54,-27,-17,-48,52,16,32,-35,-26,-7,-25,-19,27,-1,1,21,-24,-19,62,14,10,-6,-12,15,5,-2,71,-86,85,-74,44,-21,-35,52,-20,45,-16,62,21,41,52,12,32,1,-70,32,52,33,42,30,5,44,-6,72,36,-23,74,-29,-23,31,63,13,0,50,63,44,52,-21,-7,17,0,-7,-24,-6,57,75,11,-29,20,30,-6,72,6,0,46,19,18,13,-25,65,-56,72852
6,60,34,-20,0,0,-29,-35,26,-12,-39,38,20,-26,39,10,-16,-14,10,-2,5,48,24,6,9,-12,-61,-19,-29,8,6,22,38,9,-45,14,22,-25,-5,14,-26,1,-10,28,-1,12,20,26,61,22,-2,67,22,-51,-6,9,80,0,9,-8,-4,-5,38,30,-32,-3,-20,26,19,11,22,34,0,-33,-10,-56,-19,-24,69,3,-8,-3,-4,38,29,-6,13,70,9,32,5,10,-9,46,8,27,-12,36,-11,6,-40,-74,13,-45,7,6,-18,-7,64,10,4,58,5,5,-52,-11,-10,-11,-16,28,-54,66,-46,28,-16,1,33,-20,54,20,-2,28,39,42,13,4,-35,-48,15,40,2,29,11,18,54,-8,29,-13,-17,55,0,26,47,-28,-30,11,34,63,16,31,-3,16,14,9,-7,26,6,58,27,4,-23,66,14,-46,31,-11,-19,23,11,12,30,-14,32,-50,72992
47,68,17,6,22,10,23,-74,-14,-10,-32,24,38,25,16,37,-45,2,8,-2,16,52,27,28,18,13,8,-22,3,-15,-7,32,50,34,-61,7,0,100,-23,-2,-33,17,-26,39,-2,19,11,26,42,-10,2,15,34,-58,-26,-23,-19,12,23,0,3,-22,69,-2,23,29,-19,28,30,29,25,37,11,-71,-21,-34,1,25,56,18,4,34,-30,15,29,14,30,-30,24,-11,-2,38,0,54,1,20,16,49,-21,13,-41,-52,19,-45,-42,13,-55,19,26,0,-15,78,-1,25,5,10,12,24,-36,-4,-61,16,-27,35,-9,22,64,6,66,-21,-18,72,70,60,32,42,-76,-28,25,60,-6,37,33,-20,64,-1,26,-10,-7,14,11,29,52,100,22,3,47,72,2,58,-28,21,42,19,-5,30,19,42,26,23,-8,19,24,-77,38,25,-48,43,40,29,36,-45,-6,-60,74500
-7,28,63,-17,30,0,-38,-2,6,25,-29,52,68,-18,47,11,2,13,-25,-23,0,37,54,36,15,-11,33,-29,15,60,-1,34,8,-19,3,-8,-13,18,16,-7,-2,25,17,52,-15,15,-32,12,60,64,-10,65,32,-58,-30,8,15,0,27,-9,-12,3,-8,30,1,29,-27,13,20,38,52,6,30,1,30,70,11,-3,32,18,-5,28,10,45,-15,0,9,19,25,-3,34,-17,-27,35,15,0,-14,50,30,44,-3,58,45,0,-32,42,-39,-47,44,17,-100,58,-21,-7,37,-22,-14,18,-28,0,-54,66,-2,34,24,-40,25,-17,68,91,-1,31,-7,39,18,13,-10,1,38,39,34,32,13,87,65,-32,10,25,20,67,-41,25,44,7,-40,-7,47,57,-12,21,-30,45,-18,17,-25,21,4,60,17,-7,-65,37,39,0,54,18,-40,70,15,9,6,-24,37,3,75087
13,45,36,-24,39,11,-57,-21,-19,13,80,19,45,2,35,6,-3,-4,-58,5,-33,45,56,21,21,-45,56,-8,-35,52,27,32,30,-1,-61,22,45,52,9,13,-14,62,6,63,5,26,-49,26,72,43,11,100,34,-91,23,-30,45,10,30,-5,12,25,30,50,7,46,-8,25,38,18,54,14,61,-21,-4,100,-5,13,40,44,-5,46,8,34,-2,4,21,18,25,-17,34,-8,-8,45,41,-8,-5,17,0,56,-15,77,-41,-36,-24,60,-25,-9,81,47,14,52,10,6,50,-12,-20,14,43,1,-86,100,16,25,15,-17,52,-25,61,27,26,16,37,67,-9,8,-62,14,28,66,25,24,11,21,61,-36,52,13,13,24,-22,13,50,42,-64,14,11,64,30,56,-14,-37,-4,24,0,17,-31,74,66,4,-14,91,27,-60,67,13,-21,43,7,19,13,-20,54,-66,75355
-1,86,-11,-12,34,1,60,-19,-13,-30,-5,70,-11,-52,100,7,7,54,-47,-11,-16,40,-22,88,-10,58,27,-10,0,-62,6,29,73,2,-46,5,52,49,1,5,-6,-51,5,36,-6,52,-37,9,37,-58,-15,66,29,-87,52,27,-21,2,25,2,-12,25,25,50,49,100,-9,10,45,94,-25,12,-52,-22,4,-7,51,58,79,27,9,98,11,100,32,10,-9,-28,24,-3,13,9,-29,43,21,32,-47,12,7,28,-51,-43,-3,-55,-26,36,49,-33,86,26,-19,55,-13,25,26,-24,66,-22,35,37,-85,68,-16,27,-3,-44,-9,-11,20,54,23,65,14,44,-13,2,-2,-1,14,48,16,23,7,29,18,-19,23,-30,-3,76,-63,83,49,55,63,7,18,35,64,-8,6,-11,7,-8,-6,83,-16,40,-14,25,-44,88,10,-2,32,-22,48,-16,6,-7,16,7,35,-39,76040
35,70,48,-4,10,33,-16,-14,21,18,-16,60,51,-1,100,11,-7,20,95,4,-23,41,56,-1,14,61,7,-11,-3,-22,-9,7,0,-20,56,28,-11,43,7,-24,-15,17,14,27,-38,24,96,0,33,-45,37,33,3,-52,-13,24,5,32,22,7,35,-48,34,17,-51,44,-10,-2,16,-3,56,-26,15,-30,0,51,18,-36,46,7,10,40,-19,97,11,12,50,-2,13,19,3,-28,-3,43,0,12,6,-24,3,14,-55,34,0,-55,0,12,-12,61,100,5,-46,4,-18,18,16,-7,66,-16,-13,32,-54,14,-60,11,-18,-3,6,-5,52,27,-50,12,49,77,9,24,36,-58,2,70,-4,13,16,43,49,-33,14,17,-15,50,-15,28,38,30,-28,31,-37,25,-25,11,12,4,-33,21,11,34,-23,42,11,11,32,100,1,3,36,-16,-3,57,-12,46,-19,11,25,47,76245
