overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
3,63,60,305,227288
4,64,60,305,241052
-3,59,62,305,251454
6,69,63,305,252758
3,65,62,305,255621
6,68,62,305,261276
-2,63,65,306,202014
-3,56,59,306,207491
-6,58,64,306,237927
-4,56,60,306,243163
-3,62,65,423,229249
-2,61,63,423,237863
3,67,64,423,242230
3,64,61,423,242984
3,67,64,423,246079
6,65,59,423,247000
3,64,61,423,251178
-3,57,60,445,192624
-3,57,60,445,198497
-3,60,63,445,201346
-4,53,57,445,235704
-3,59,62,445,242229
-3,58,61,445,253943
-7,50,57,445,259234
5,64,59,563,70520
4,63,59,563,228582
6,69,63,563,240603
7,66,59,563,241582
7,65,58,563,266209
7,62,55,563,278641
6,66,60,753,252835
8,64,56,753,273558
-5,46,51,753,276927
7,67,60,834,236379
-3,64,67,834,246987
3,63,60,834,253421
7,67,60,834,263650
-4,55,59,1571,71140
-4,56,60,1571,71384
-8,45,53,1571,77439
-3,61,64,1571,198190
-3,55,58,1571,200404
-6,54,60,1571,243688
-3,59,62,1571,251416
7,62,55,1572,73946
3,64,61,1572,227082
4,63,59,1572,236845
6,67,61,1572,273027
