overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,90,88,1,222665
3,90,87,1,234378
-1,86,87,1,243715
-2,85,87,2,202811
1,89,88,5,257534
1,91,90,9,203376
2,93,91,9,209331
3,92,89,9,212831
-2,84,86,9,239837
-1,84,85,9,241084
-1,85,86,10,218667
-1,86,87,10,237692
-1,85,86,11,212198
-1,85,86,13,233731
2,88,86,18,200104
2,92,90,21,202126
1,89,88,21,212622
1,89,88,21,256790
-2,84,86,32,210035
3,88,85,73,231443
-2,84,86,73,235212
1,89,88,240,194765
-1,85,86,241,233419
-1,84,85,241,253163
-1,88,89,243,192119
-2,88,90,243,238794
-2,83,85,243,241637
-3,83,86,448,230869
-2,83,85,461,262621
3,88,85,605,223848
3,88,85,112139,20801
3,88,85,112387,204485
-1,84,85,115997,261773
3,88,85,115998,227337
2,89,87,116009,245802
-1,84,85,116009,246426
-1,84,85,116009,258980
3,88,85,116012,263011
-1,85,86,116017,240714
3,91,88,116033,227316
3,91,88,116033,227361
3,90,87,116033,231432
-1,87,88,116033,245956
2,89,87,116034,233662
-1,85,86,116034,247504
4,89,85,116035,246641
1,91,90,116325,227102
-1,85,86,131682,208128
2,89,87,131682,224232
-2,83,85,131682,226268
