overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,84,83,81,85,81,1,81,87
-1,80,80,81,81,80,79,2,80,80
1,77,77,76,75,75,78,7,77,76
1,84,85,84,83,84,85,9,83,85
-1,83,84,85,84,85,81,10,84,85
-1,81,79,80,80,80,80,11,79,80
-1,79,80,81,81,82,78,13,81,82
1,79,79,78,80,77,80,14,83,79
1,77,82,81,80,81,79,18,81,82
-1,77,78,79,73,79,76,19,73,78
-1,83,83,84,90,83,81,21,92,84
-1,75,76,77,80,76,74,36,79,76
1,78,81,80,81,79,78,45,83,80
1,76,78,77,79,76,77,65,80,76
-1,76,76,77,78,78,76,66,77,78
1,83,83,82,83,82,82,73,84,83
-1,74,74,75,76,74,73,94,78,74
-1,75,74,75,77,75,71,95,75,74
1,76,77,76,77,76,77,110,77,77
1,78,78,77,77,77,78,144,79,78
-1,74,74,75,79,75,73,169,79,74
1,75,77,76,75,77,77,189,76,78
-1,74,75,76,75,75,73,246,72,75
1,77,80,79,82,78,79,325,82,80
-1,75,75,76,75,76,74,378,75,76
-1,74,74,75,76,74,74,450,75,73
-1,76,75,76,77,76,75,453,75,75
-1,76,77,78,79,78,76,457,78,77
-1,75,76,77,76,76,74,461,75,77
1,76,78,77,82,78,77,605,82,80
-1,74,74,75,76,73,74,1745,75,72
1,78,78,77,78,77,80,1799,79,77
-1,78,77,78,77,77,75,1808,77,76
-1,79,76,77,76,76,78,1824,76,75
-1,76,76,77,75,76,75,1943,75,76
-1,79,78,79,75,79,78,110062,75,79
1,75,78,77,78,77,76,110374,79,76
1,78,80,79,81,78,79,115845,81,79
1,82,84,83,82,81,84,115995,82,83
1,81,82,81,82,83,81,115998,82,84
2,73,77,75,76,75,76,115999,76,77
1,83,84,83,83,83,83,116009,84,84
-1,78,76,77,78,77,78,116011,77,76
1,79,80,79,80,79,81,116012,81,79
-1,72,75,76,78,76,71,116014,77,74
-1,78,80,81,82,81,75,116017,83,81
1,85,86,85,85,84,86,116033,87,86
1,81,81,80,77,79,80,116034,76,80
2,75,80,78,84,80,75,116035,85,81
1,80,82,81,82,81,82,116326,83,82
