overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,80,82,1,205498
-2,81,83,1,207421
-2,80,82,2,216393
-1,83,84,2,221697
2,89,87,5,257534
1,91,90,9,209331
-1,88,89,9,212831
-3,83,86,9,231281
-1,84,85,9,241084
-2,81,83,10,207410
2,89,87,10,237692
2,93,91,10,239085
-2,82,84,11,226753
-1,81,82,11,234574
-1,83,84,11,235243
1,86,85,13,233731
2,87,85,13,247851
-2,81,83,45,240679
-2,82,84,45,246430
1,86,85,52,178603
3,90,87,52,211110
-2,80,82,144,192563
3,88,85,237,241651
2,88,86,243,177003
-1,88,89,243,192119
-3,87,90,243,238794
1,89,88,243,239053
2,92,90,243,252371
-1,82,83,325,223959
3,86,83,326,235410
-2,81,83,327,216547
-2,81,83,115841,210413
-2,81,83,115841,220502
-2,81,83,115841,224987
3,93,90,116325,227203
1,89,88,116325,237289
2,93,91,116325,241667
2,89,87,116325,241846
2,86,84,116325,242896
3,86,83,116325,269404
-1,81,82,116336,272208
-1,82,83,131681,201153
-2,81,83,131681,226754
-1,86,87,131681,232656
1,88,87,131682,177683
2,88,86,131682,208128
3,90,87,131682,224232
2,86,84,131682,226268
1,90,89,131682,231478
1,88,87,131682,237383
