overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,87,88,1,222665
2,89,87,1,232580
-2,85,87,2,202811
-1,84,85,5,256079
-1,87,88,5,257534
1,91,90,9,203376
2,93,91,9,209331
2,91,89,9,212831
-1,83,84,9,224458
3,90,87,10,210257
2,88,86,11,212198
2,88,86,22,235073
3,89,86,32,199503
2,88,86,52,211110
2,89,87,73,207865
3,89,86,73,231443
-1,87,88,240,194765
1,90,89,241,188545
3,88,85,241,244260
3,88,85,241,253163
3,88,85,241,277643
-1,88,89,243,192119
-1,83,84,243,197445
-2,86,88,243,205452
-2,88,90,243,231747
-1,83,84,457,227127
-2,83,85,461,262621
-2,83,85,112172,243580
-1,84,85,112387,204485
-1,85,86,116009,245872
3,88,85,116009,257001
-2,84,86,116010,238257
-2,83,85,116010,242830
-1,84,85,116010,267382
3,88,85,116017,245830
3,91,88,116033,227316
3,88,85,116033,265898
2,88,86,116034,237197
2,88,86,116034,247504
1,91,90,116325,227102
1,90,89,116325,236479
2,90,88,116325,237289
1,89,88,116325,241846
-2,85,87,131681,215698
-3,83,86,131681,232656
-1,83,84,131682,199845
-1,85,86,131682,208128
-2,85,87,131682,224232
-1,83,84,131682,226851
-1,87,88,131682,231478
