overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,86,87,1,234378
-2,86,88,1,246669
-1,86,87,2,202811
-2,83,85,2,221697
-1,85,86,5,257534
1,90,89,9,203376
2,91,89,9,209331
-1,85,86,10,186942
-2,86,88,10,237692
1,92,91,10,239085
3,90,87,11,212198
-1,83,84,18,240091
2,89,87,21,256790
-1,83,84,22,204923
-1,84,85,22,212194
-2,84,86,32,213331
3,91,88,32,256630
-1,87,88,240,194765
2,90,88,240,200389
-1,85,86,241,228702
-2,84,86,241,241486
-1,84,85,241,244260
1,92,91,243,231747
2,92,90,243,238794
2,92,90,243,252371
2,89,87,325,232293
-2,83,85,448,256516
-2,82,84,450,192629
-2,83,85,112172,243580
2,89,87,115998,226302
-1,84,85,115998,247789
-2,83,85,116009,227110
3,91,88,116010,227323
2,90,88,116033,227316
3,91,88,116033,227361
3,89,86,116033,231432
2,90,88,116033,245956
2,90,88,116034,246272
1,91,90,116325,227102
2,90,88,116325,227190
3,93,90,116325,227203
1,90,89,116325,236479
2,90,88,116325,237289
1,92,91,116325,241667
-2,85,87,116325,241846
-1,83,84,116326,246774
-2,85,87,131681,232656
3,89,86,131681,241721
-2,82,84,131682,228093
-2,87,89,131682,231478
