fl_lipUpper_NR_SCX_R_A,fl_eyelids_NR_ICX_R_A,fl_lipUpper_NL_SCX_D_U,fl_buccomandibularGroove_NR_XXX_L,mu_platysma_NR_ILX_N_W,fl_lipUpper_NL_SXX_B_F,mu_masseter_NR_XXX_L_M,fl_lipLower_NR_ICX_B_F,mu_platysma_NR_ILX_D,fl_lipLower_NL_IXX_R_A,fl_eyelids_NR_SLX_R_A,fl_lipUpper_NR_SLX_B_F,fl_lipLower_NL_IXX_B_F,fl_epicanthic_NL_XCX_D_U,fl_lipUpper_NL_SXX_R_A,fl_lipLower_NR_ILX_R_A,fl_lipUpper_NN_SMX_N_W,fl_lipLower_NR_ILX_D_U,fl_lipUpper_NL_SXX_D_U,mu_temporalis_NR_XXX_L_M,fl_lipLower_NR_ICX_D_U,fl_lip_NN_XMX_B_F,mu_trapezius_NN_SXX_L_M,fl_eyelids_NL_SLX_N_W,fl_eyelids_NR_ICX_D_U,fl_nasojugalGroove_NR_XXX_L_M,fl_lip_NR_XCX_D_U,mu_sternomastoid_NL_XXX_R_A,fl_eyelids_NL_XLX_D_U,fl_lipUpper_NR_SCX_D_U,mu_masseter_NL_XXX_L_M,fl_eyelids_NR_SMX_R_A,fl_lipLower_NR_SLX_B_F,fl_lip_NL_XLX_D_U,fl_lip_NN_XMX_R_A,fl_lipUpper_NR_ILX_R_A,fl_eyelids_NR_SCX_N_W,mu_platysma_NN_SMX_D_U,fl_lipUpper_NN_IMX_D_U,fl_eyelids_NR_ILX_D_U,fl_lipLower_NR_IXX_N_W,fl_nasojugalGroove_NL_XXX_L_M,fl_lipLower_NN_IMX_SL_SR,fl_lipLower_NL_SLX_R_A,fl_epicanthic_NR_XMX_D_U,fl_lipUpper_NL_ILX_B_F,mu_platysma_NL_SLX_D,fl_lipUpper_NR_SXX_N_W,mu_procerus_NN_XXX_D_U,fl_lipUpper_NL_ILX_R_A,fl_lipLower_NR_SLX_N_W,fl_lip_NR_XLX_D_U,fl_eyelids_NL_SLX_R_A,fl_lip_NL_XCX_N_W,fl_lipLower_NL_SLX_B_F,fl_eyelids_NL_SMX_R_A,fl_lipUpper_NR_ILX_N_W,fl_epicanthic_NR_XCX_B_F,fl_lipLower_NN_IMX_D_U,fl_eyelids_NL_SCX_D_U,fl_eyelids_NR_SLX_N_W,fl_lipLower_NL_IXX_N_W,fl_eyelids_NR_XLX_D_U,fl_eyelids_NR_SMX_N_W,fl_eyelids_NL_ILX_D_U,fl_oromentalGroove_NR_XXX_L,fl_epicanthic_NR_XLX_D_U,fl_nasolabialGroove_NL_SXX_L_M,fl_eyelids_NR_XMX_D_U,fl_lipUpper_NN_SMX_B_F,mu_platysma_NR_SLX_D,fl_buccalRecess_NL_XXX_D_U,fl_epicanthic_NL_XLX_D_U,fl_epicanthic_NR_XLX_R_A,fl_nasojugalGroove_NL_XXX_D_U,fl_lipLower_NR_IXX_R_A,fl_lipLower_NN_SMX_SL_SR,mu_procerus_NN_XXX_L_M,mu_platysma_NL_SLX_N_W,fl_lipLower_NN_IMX_R_A,fl_eyelids_NL_SCX_R_A,fl_lipUpper_NR_SXX_B_F,fl_lipLower_NN_IMX_B_F,fl_eyelids_NL_IMX_D_U,fl_epicanthic_NR_XCX_D_U,fl_lipLower_NL_SLX_N_W,fl_lipUpper_NL_SLX_D_U,fl_lipUpper_NN_SMX_R_A,fl_epicanthic_NL_XMX_N_W,fl_lip_NR_XLX_B_F,fl_lipLower_NL_ICX_D_U,fl_eyelids_NL_IMX_N_W,fl_buccalRecess_NR_XXX_L_M,fl_lipLower_NL_SLX_D_U,fl_lipUpper_NL_SLX_N_W,fl_epicanthic_NR_XMX_R_A,fl_lip_NN_XMX_N_W,fl_eyelids_NR_SCX_R_A,mu_platysma_NR_SLX_N_W,fl_epicanthic_NL_XLX_N_W,mu_trapezius_NN_SXX_D_U,fl_orbitalGroove_NL_IXX_L_M,fl_philtrum_NN_XXX_D_U,fl_eyelids_NR_ILX_R_A,fl_nasojugalGroove_NR_XXX_D_U,mu_corrugator_NR_XXX_D_U,fl_lipUpper_NR_ILX_D_U,mu_platysma_NN_IMX_D,fl_lip_NL_XLX_R_A,fl_eyelids_NL_SCX_N_W,fl_oromentalGroove_NL_XXX_L,fl_lip_NN_XMX_D_U,fl_lipLower_NN_IMX_N_W,fl_philtrum_NN_XXX_N_W,fl_eyelids_NR_SMX_D_U,fl_epicanthic_NL_XMX_B_F,fl_epicanthic_NR_XLX_N_W,fl_eyelids_NR_XMX_N_W,fl_eyelids_NL_SCX_F,fl_lipLower_NR_SLX_D_U,fl_lip_NL_XCX_D_U,fl_lipLower_NL_ICX_N_W,fl_mandibularGroove_NR_XXX_L,fl_lip_NR_XCX_R_A,fl_epicanthic_NL_XMX_R_A,fl_eyelids_NL_XLX_R_A,fl_lip_NL_XLX_B_F,fl_epicanthic_NR_XCX_N_W,fl_lipLower_NR_ICX_R_A,fl_chinCleft_NN_XXX_SL_SR,fl_lipUpper_NR_ILX_B_F,mu_sternomastoid_NL_XXX_L_M,fl_epicanthic_NL_XMX_D_U,fl_lipUpper_NR_SCX_B_F,fl_lip_NL_XCX_R_A,fl_nasolabialGroove_NL_IXX_L,fl_lipLower_NR_SLX_R_A,mu_corrugator_NL_XXX_L_M,fl_epicanthic_NL_XCX_R_A,fl_lip_NL_XCX_B_F,fl_lipUpper_NN_IMX_N_W,fl_chinCleft_NN_XXX_D_U,mu_corrugator_NL_XXX_D_U,fl_eyelids_NR_SLX_D_U,fl_nasolabialGroove_NR_SXX_L_M,fl_philtrum_NN_XXX_R_A,fl_epicanthic_NL_XLX_B_F,fl_eyelids_NR_XLX_N_W,fl_lipLower_NL_IXX_D_U,fl_lipLower_NL_ICX_B_F,fl_lipUpper_NL_SCX_R_A,fl_eyelids_NL_ILX_N_W,fl_eyelids_NR_SCX_D_U,fl_mandibularGroove_NL_XXX_L,fl_epicanthic_NL_XCX_B_F,fl_lipUpper_NN_IMX_SL_SR,fl_eyelids_NR_IMX_R_A,fl_lip_NR_XLX_N_W,fl_lipLower_NR_ILX_B_F,mu_corrugator_NR_XXX_L_M,fl_lipUpper_NL_SCX_B_F,fl_eyelids_NR_ICX_N_W,fl_lipLower_NL_ICX_R_A,fl_philtrum_NN_XXX_B_F,fl_eyelids_NL_XMX_R_A,fl_lipUpper_NR_SLX_R_A,fl_lip_NR_XCX_N_W,fl_lipUpper_NL_SLX_R_A,fl_epicanthic_NR_XMX_N_W,fl_lipUpper_NN_SMX_D_U,fl_lipLower_NR_ILX_N_W,fl_epicanthic_NR_XCX_R_A,fl_lipLower_NL_ILX_B_F,fl_eyelids_NL_IMX_R_A,fl_lipUpper_NR_SXX_D_U,fl_eyelids_NR_SCX_F,mu_platysma_NN_SMX_N_W,fl_lipLower_NL_ILX_R_A,fl_eyelids_NR_ILX_N_W,fl_buccalRecess_NR_XXX_D_U,fl_epicanthic_NL_XLX_R_A,fl_lipUpper_NL_SLX_B_F,fl_lipLower_NR_IXX_D_U,mu_sternomastoid_NR_XXX_L_M,mu_platysma_NL_ILX_D,fl_lipUpper_NN_IMX_B_F,fl_eyelids_NR_XMX_R_A,fl_eyelids_NL_ILX_R_A,fl_orbitalGroove_NR_IXX_L_M,fl_buccomandibularGroove_NL_XXX_L,mu_platysma_NL_ILX_N_W,fl_eyelids_NL_ICX_R_A,fl_eyelids_NR_XLX_R_A,fl_lip_NL_XLX_N_W,fl_lipLower_NN_SMX_R_A,mu_sternomastoid_NR_XXX_R_A,fl_eyelids_NL_SMX_D_U,fl_buccalRecess_NL_XXX_L_M,fl_eyelids_NL_ICX_D_U,fl_eyelids_NL_XMX_N_W,fl_lipLower_NN_SMX_D_U,fl_epicanthic_NR_XMX_B_F,fl_lipUpper_NR_SLX_N_W,fl_nasolabialGroove_NR_IXX_L,fl_lipUpper_NR_SCX_N_W,fl_lipUpper_NL_ILX_D_U,fl_epicanthic_NR_XLX_B_F,fl_eyelids_NL_XLX_N_W,fl_lip_NR_XLX_R_A,fl_eyelids_NL_SLX_D_U,fl_eyelids_NR_IMX_N_W,mu_temporalis_NL_XXX_L_M,fl_lipUpper_NL_SXX_N_W,fl_lipLower_NR_ICX_N_W,fl_lip_NR_XCX_B_F,fl_lipUpper_NN_SMX_SL_SR,fl_lipLower_NL_ILX_D_U,fl_lipLower_NN_SMX_B_F,fl_lipUpper_NR_SXX_R_A,fl_epicanthic_NL_XCX_N_W,fl_lipUpper_NN_IMX_R_A,fl_philtrum_NN_XXX_SL_SR,fl_lipLower_NL_ILX_N_W,fl_lipLower_NR_IXX_B_F,fl_eyelids_NL_ICX_N_W,fl_eyelids_NL_SMX_N_W,fl_eyelids_NL_XMX_D_U,fl_lipUpper_NL_SCX_N_W,fl_lipUpper_NR_SLX_D_U,fl_lipLower_NN_SMX_N_W,fl_lipUpper_NL_ILX_N_W,fl_eyelids_NR_IMX_D_U,assetid
-22,13,14,0,-8,-8,-18,25,0,15,-3,32,8,35,4,4,-31,43,-16,-63,34,-14,-23,21,18,4,25,-2,30,14,-17,11,-45,18,5,-21,35,9,8,1,-31,3,7,23,-47,-19,0,20,27,-19,-13,24,-2,-10,-42,14,-16,-47,43,61,21,-32,27,40,0,0,-39,1,7,0,0,0,-34,40,-2,14,4,-86,-2,-24,-11,-11,13,62,35,-13,-5,-36,-14,-9,34,10,50,4,-38,-12,26,-12,-3,-48,3,37,46,-11,-1,-4,7,0,25,37,0,30,28,34,-31,-25,-47,52,0,6,21,-4,0,7,-8,-23,-6,-27,-3,-3,-20,-18,-43,-7,9,0,23,34,47,-31,46,26,0,66,2,-10,26,-43,13,24,-26,-16,61,0,-47,13,-16,23,25,34,-10,-1,-4,32,39,-23,-9,-23,-17,-20,-55,46,29,-15,-14,0,20,5,-14,3,39,32,13,-17,0,-7,40,-12,28,0,-9,11,-24,20,23,-3,-26,47,14,57,34,-24,-39,0,10,5,29,-42,30,67,10,-68,19,-1,-31,6,40,14,6,-25,-9,-1,-49,6,-1,41,6,7,-2,5,-16,65,4373
-25,-43,-12,0,-11,8,-5,51,0,43,-25,36,12,52,-4,-10,-71,43,-40,15,97,-43,15,11,-39,-52,3,27,33,-10,-1,-10,-76,-36,1,-9,3,-30,12,-32,-8,-65,15,48,-8,-36,0,0,11,-9,-7,-34,-23,25,-80,-10,-13,1,100,28,13,-2,28,31,-28,0,-4,-34,14,-5,0,10,-4,18,14,44,-7,-51,-14,-52,-60,9,15,48,54,-5,-22,-61,-27,-16,98,-17,-27,5,-44,2,5,-60,-15,-23,12,-25,36,-23,23,-11,-5,0,100,1,0,66,29,47,-62,-8,-22,39,0,8,-2,4,0,-13,3,-10,-17,-12,0,-11,-33,-18,-8,-3,-12,0,46,1,40,-73,52,-19,-12,-29,-35,-12,4,-14,37,50,-26,1,30,0,-1,6,-12,31,80,-3,-4,-19,-3,46,43,-42,24,-40,-22,-28,-45,34,76,-16,-37,0,64,-8,-2,7,19,35,36,-17,0,-5,39,-21,-26,0,-10,-48,-12,32,0,25,-65,-40,-33,39,7,-8,-41,0,9,-8,6,-19,98,-27,-18,4,0,-2,-72,0,42,-17,-3,-21,-29,0,-49,13,-16,31,6,10,-19,14,-14,47,4609
-40,0,9,0,-17,11,-48,51,0,9,-15,57,-7,84,2,7,-30,64,-31,-26,57,-47,-22,10,-31,28,-10,26,6,6,-45,14,-74,-16,11,11,-12,6,-38,-20,-64,23,29,46,11,-30,0,-1,5,8,-32,-28,-15,-18,-77,15,-41,-10,77,82,8,-56,11,27,-25,0,-42,-16,57,-11,0,9,-51,2,61,8,6,-23,-3,-45,-36,17,24,74,84,-31,-23,-83,-45,-10,55,-2,5,-12,-43,10,16,-34,-3,-3,2,9,47,-10,63,19,-17,0,62,-10,0,15,24,81,15,-44,-6,31,0,-16,-8,20,0,6,13,1,-14,-32,13,-11,-27,-44,28,-4,3,0,44,46,22,-72,52,-18,16,-15,-13,15,24,-32,8,51,-36,-3,86,0,-7,27,-5,24,55,48,-3,-21,14,49,45,-33,-21,-35,-49,-44,-69,15,48,-4,-36,0,50,10,-5,13,5,52,9,-41,0,1,46,-10,12,0,-17,-2,3,28,-18,26,25,-4,-34,34,-11,-45,-41,0,22,-13,24,-29,64,-22,-2,-18,-3,6,-70,26,68,-22,3,-27,-48,16,-71,-3,-23,28,64,32,-29,4,-42,73,5244
-48,37,3,0,-12,-63,-12,44,0,-4,-17,45,-6,99,1,-3,-43,52,-39,36,88,-68,6,38,-32,-26,-2,21,13,-1,-10,7,-89,6,-1,-4,-9,-2,-9,-37,-56,-29,38,47,23,-38,0,1,11,-7,-39,9,-19,-56,-89,6,-54,0,100,48,34,-64,16,36,-42,0,-82,-48,43,-37,0,-5,-77,4,-19,-4,10,-27,-17,-51,-45,-58,-4,83,89,-38,1,-70,-23,-45,85,-7,50,-11,-69,-1,26,-45,-19,-33,1,-3,52,-12,-14,-6,-11,0,65,-7,0,43,38,83,11,-31,-26,62,0,-11,-3,1,0,-18,-3,-7,-39,-41,-10,-16,-34,0,29,-52,-15,0,46,17,50,-95,75,-2,2,11,-50,-6,41,-41,5,48,-57,11,44,0,-8,33,-14,66,62,22,-50,-32,-8,19,41,-65,-41,-56,-26,-10,-83,36,60,-14,-36,0,66,-3,7,-7,14,44,6,0,0,-44,39,-16,-10,0,-13,39,-7,63,-6,19,12,49,-35,72,15,-33,-58,0,1,-13,40,-43,63,8,-9,34,2,15,-95,23,49,-32,2,-47,-44,16,-90,0,-31,38,42,-20,1,0,-62,83,9797
-41,47,-9,0,-2,-24,1,8,0,-37,15,29,-19,11,4,-2,-49,34,-34,-4,64,-30,-6,41,4,27,-3,-12,52,-12,-1,24,-52,52,17,-17,11,-4,-25,51,-46,23,18,26,-42,-17,0,14,23,-16,-18,50,13,-29,-51,26,-29,-36,39,51,41,-46,58,28,51,0,-17,8,-34,0,0,9,-11,8,-23,-37,4,-15,-16,-26,-13,-24,-8,38,7,-19,7,-44,12,3,66,8,34,-16,-48,-10,29,-14,-13,-63,-5,66,30,7,-20,7,-21,0,39,16,0,24,32,52,28,-12,-63,67,0,-18,-2,-25,0,-5,-9,-3,2,-23,-22,-8,-20,6,-41,-17,-5,0,26,28,28,-47,46,25,1,58,11,-10,21,-39,8,6,-41,9,50,0,-34,13,-18,26,41,28,-17,1,-23,52,10,-43,-22,-43,13,-14,-57,23,39,-16,-35,0,43,-5,9,9,12,30,6,6,0,-20,12,8,68,0,0,51,-3,26,21,-10,29,33,8,65,39,-14,-47,0,-5,-21,22,-40,38,56,9,-11,17,-19,-46,6,34,1,3,-18,-25,6,-58,-21,-3,27,-31,-13,6,-1,-32,35,70021
-25,16,40,0,-3,-22,13,26,0,-39,-15,45,-15,-23,0,-22,-11,30,4,4,6,-40,-4,28,12,78,0,-3,11,37,18,-5,-33,33,11,-25,29,2,-3,-1,-22,76,20,7,-39,-23,0,3,12,-23,6,37,-14,2,-32,-4,-11,19,40,31,28,-33,4,32,6,0,-61,10,27,-19,0,8,-50,26,35,-37,4,-58,0,-32,-31,-19,-9,74,-28,4,-40,-46,7,-21,4,9,47,-16,-36,-41,3,-30,0,-40,-5,-1,52,-10,35,23,-16,0,32,28,0,36,44,63,3,4,-37,27,0,-16,-1,-10,0,-23,-41,-14,-17,-16,-27,-17,-22,22,-45,-14,-19,0,4,28,8,-44,39,21,33,-40,9,-1,38,-25,-16,27,-30,-2,38,0,18,18,-13,37,35,30,-11,0,-26,19,38,-48,15,-39,11,-6,-36,5,32,-9,9,0,32,-18,-6,8,31,48,-15,22,0,-1,35,-10,-12,0,-2,18,-15,35,19,-5,-5,48,22,32,36,6,-27,0,15,-20,39,-30,26,-36,10,2,6,0,-43,8,25,-3,0,-26,-39,5,-44,-11,5,31,21,-2,-39,1,-18,74,70037
-41,52,5,0,-7,-17,-2,7,0,2,3,38,-12,26,2,-4,-23,16,-28,-6,67,-48,-23,40,26,22,19,7,6,0,-4,18,-56,52,-6,-12,-5,-4,7,0,-34,26,18,25,-1,-21,0,15,15,-11,-28,49,2,-19,-55,17,-20,4,57,47,43,-44,7,37,1,0,-52,-12,20,-18,0,10,-55,26,-58,2,5,-20,-1,-16,-26,-14,-16,77,24,-29,-37,-42,-14,2,67,-8,1,-20,-45,-31,18,-26,-7,-43,-4,20,39,17,-63,8,-33,0,21,-6,0,43,22,48,17,-16,-41,48,0,-22,20,-18,0,0,-26,-5,4,-47,-35,-3,-20,7,6,-18,1,0,24,14,9,-56,52,13,8,11,-13,-18,31,-23,15,7,-42,17,46,0,2,15,-15,29,44,19,-16,-22,-34,26,16,-26,-16,-23,-14,-37,-28,11,44,-15,-27,0,41,-4,18,7,21,38,14,7,0,-22,16,19,7,0,-8,56,-8,27,36,5,17,4,24,48,51,-10,-41,0,-7,-34,30,-27,16,6,-9,-5,17,-11,-55,7,21,-3,2,-44,-26,5,-38,-8,-25,38,20,-12,-38,0,-20,77,70183
-19,16,7,0,0,0,-20,11,0,-3,-17,31,28,27,0,1,-2,35,-35,-1,57,-13,-18,29,-34,48,31,11,37,5,-18,6,-28,-14,18,5,2,4,-34,-9,-15,30,16,20,-43,-8,0,5,15,7,-18,-13,-18,-9,-30,8,-7,-20,-18,36,33,-18,34,18,-6,0,-54,25,-9,3,0,12,-36,12,6,-1,11,-8,-1,-32,-39,-2,34,41,30,-20,-21,-52,-11,24,58,6,39,-23,-9,-41,9,-35,-6,-40,-1,26,21,-2,12,30,-18,0,36,-4,0,2,10,28,13,-14,-40,35,0,-22,33,-20,0,4,-41,-5,25,-43,-8,-10,-10,17,-42,8,3,0,21,46,19,-32,23,5,25,16,23,2,43,-21,11,10,-24,0,30,0,-21,16,-8,1,40,48,7,-10,-14,31,27,-24,-11,-28,-8,-75,-15,21,40,-7,-39,0,34,3,4,7,2,31,8,18,0,-5,26,-2,45,0,-1,18,-5,0,7,5,10,33,-34,40,16,-10,-9,0,7,-20,45,-25,33,17,10,0,6,-23,-30,14,37,3,2,-41,-31,11,-17,28,-16,17,-11,9,-21,0,-5,43,70297
-10,52,63,0,-1,-45,-21,-6,0,-43,7,39,-52,29,22,22,14,-27,29,-29,-12,-36,-5,37,32,55,-17,0,21,58,-22,13,-51,46,6,-4,33,11,-6,95,-25,52,26,31,-38,-16,0,40,39,-4,-19,49,8,-25,-54,9,-24,-28,40,48,39,-34,13,42,98,0,-28,-8,0,-32,0,20,-29,25,-1,-40,9,-74,1,-1,-16,-40,-36,58,28,-18,6,-1,0,-74,-13,8,-2,-36,-11,-18,52,-14,0,-13,9,67,78,2,0,79,-13,0,-46,31,0,33,34,72,-6,-16,-13,50,0,-37,-16,34,0,29,-19,14,-68,-12,-15,-5,-16,-3,-39,-25,33,0,27,19,14,-36,67,55,70,-8,-13,6,33,-19,-37,-4,-12,3,52,0,-27,24,-1,84,16,18,-21,21,-15,11,49,-29,-15,-24,1,37,-52,9,12,0,33,0,17,25,2,21,26,38,-35,-1,0,0,48,1,77,0,-2,52,15,83,14,2,-18,-5,39,49,27,-18,-3,0,70,-16,29,-23,-52,-3,11,-31,39,39,-34,20,-27,15,22,-14,-4,11,-63,-44,17,42,-7,56,8,3,-28,58,70305
-6,34,45,0,4,-55,-26,-5,0,-61,-6,15,-51,-30,13,16,11,-10,38,1,-28,-50,-5,35,31,46,-44,-5,25,43,-26,2,-57,29,14,13,24,12,-23,6,-10,33,20,29,-38,-25,0,22,15,14,-3,24,-6,1,-58,3,-18,-20,16,29,36,-11,21,14,6,0,-49,-15,21,-29,0,-11,-54,34,-15,-61,3,-2,1,-1,-23,-55,-38,25,-26,0,10,3,-21,-47,-27,6,-52,-35,-10,-27,48,-22,2,-27,2,61,46,-7,-5,31,-23,0,-40,25,0,-5,19,52,16,-44,-24,2,0,-36,-41,51,0,28,-27,-8,-47,-2,-16,-6,-26,17,-41,-35,27,0,31,14,-11,-47,58,21,34,13,-15,-5,22,-21,-42,-4,-5,-5,28,0,-20,18,-1,51,20,13,-31,7,-16,32,24,-31,2,-32,-22,64,-66,-7,16,-1,36,0,6,14,-2,-11,33,13,-41,16,0,-22,22,-9,41,0,2,33,-9,50,-9,-8,12,-52,32,4,5,-43,-10,0,71,-21,20,-18,-36,16,10,-3,22,52,-49,12,-7,-4,12,-1,-14,9,-67,-48,0,17,14,68,7,1,-17,27,70344
