ca_noseSupratip_NN_XXX_R_A,fa_periorbital_NR_IXX_L_M,ca_noseColumella_NN_XXX_D_U,fa_submental_NR_XXX_L_M,fa_jowl_NL_IXX_D_U,fa_preplatysmal_NL_XXX_L_M,ca_noseAla_NR_ICX_D_U,ca_noseAla_NL_ILX_N_W,fa_lip_NR_IXX_L_M,fa_neck_NL_XXP_L_M,fa_forehead_NN_XMX_L_M,fa_jowl_NL_SXX_L_M,ca_earAntihelix_NL_IXX_D_U,fa_cheeksMiddle_NL_XXX_L_M,fa_earHelix_NL_IXX_L_M,ca_noseAla_NR_IXX_N_W,fa_cheeks_NR_XMX_L_M,ca_earHelix_NL_SXP_B_F,ca_earHelix_NL_SXA_N_W,ca_noseAla_NR_IMX_B_F,fa_submandibular_NR_XXX_D_U,ca_noseAla_NL_XXA_N_W,ca_earAntihelix_NL_SXX_B_F,ca_earHelix_NR_IXX_B_F,ca_noseAla_NR_ICX_R_A,ca_earHelix_NL_SXP_N_W,fa_cheeksMiddle_NR_XXX_D_U,fa_submandibular_NR_XXX_L_M,ca_noseSupratip_NN_XXX_D_U,fa_forehead_NL_XLX_D_U,ca_noseColumella_NN_XXX_R_A,ca_noseAla_NR_XXA_R_A,ca_noseTip_NN_XXX_D_U,ca_noseColumella_NN_XXX_B_F,ca_noseAla_NL_ICX_N_W,ca_noseAla_NR_XXA_B_F,fa_lip_NR_IXX_D_U,fa_cheeks_NR_XMX_D_U,ca_noseAla_NR_ICX_B_F,fa_nasolabial_NL_IXX_D_U,fa_nose_NN_XXX_L_M,ca_earlobe_NR_XXX_D_U,ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_IXX_D_U,fa_nasolabial_NR_IXX_D_U,fa_orbital_NL_IXX_D_U,ca_earHelix_NR_SXA_N_W,ca_noseAla_NR_ILX_R_A,ca_noseAla_NR_ILX_B_F,fa_forehead_NR_XLX_D_U,ca_noseAla_NL_IMX_N_W,ca_noseAla_NL_SXX_N_W,ca_noseAla_NL_XXA_R_A,ca_eartragus_NR_XXX_B_F,fa_jowl_NR_IXX_L_M,fa_periorbital_NL_IXX_D_U,fa_orbital_NR_IXX_L_M,fa_preplatysmal_NR_XXX_L_M,ca_noseAla_NR_SXX_R_A,ca_noseSupratip_NN_XXX_SL_SR,ca_noseAla_NR_IMX_N_W,ca_earHelix_NR_SXP_D_U,fa_lip_NL_SXX_D_U,ca_eartragus_NL_XXX_N_W,ca_earHelix_NR_IXX_N_W,ca_earAntihelix_NL_SXX_N_W,fa_submandibular_NL_XXX_L_M,ca_noseAla_NL_ILX_R_A,fa_orbital_NR_IXX_D_U,ca_earHelix_NL_IXX_B_F,ca_earAntihelix_NR_SXX_B_F,ca_noseAla_NR_SXX_B_F,ca_earlobe_NL_XXX_D_U,ca_noseAla_NR_ILX_N_W,ca_earHelix_NL_SXA_B_F,fa_forehead_NR_XLX_L_M,ca_earHelix_NR_SXP_B_F,ca_earHelix_NL_IXX_N_W,fa_periorbital_NL_IXX_L_M,fa_jowl_NR_IXX_D_U,ca_noseTip_NN_XXX_SL_SR,ca_earAntihelix_NR_SXX_N_W,fa_cheeks_NL_XMX_L_M,fa_earHelix_NR_IXX_L_M,fa_nasolabial_NR_IXX_L_M,ca_noseColumella_NN_XXX_SL_SR,ca_noseAla_NL_IMX_R_A,fa_orbital_NL_IXX_L_M,ca_noseAla_NL_SXX_R_A,fa_lip_NL_IXX_L_M,ca_noseAla_NR_SXX_D_U,ca_noseAla_NL_IXX_B_F,fa_temporal_NR_XLX_L_M,ca_noseAla_NR_XXA_N_W,fa_orbital_NR_XLX_D_U,fa_nasolabial_NL_IXX_L_M,fa_cheeksMiddle_NR_XXX_L_M,ca_noseAla_NR_ILX_D_U,ca_earHelix_NR_SXA_B_F,ca_earAntihelix_NR_SXX_D_U,ca_earHelix_NL_IXX_D_U,fa_forehead_NL_XLX_L_M,ca_eartragus_NL_XXX_D_U,ca_earHelix_NR_IXX_D_U,fa_mental_NN_XXX_L_M,ca_earAntihelix_NL_SXX_D_U,fa_lip_NR_SXX_L_M,ca_noseSupratip_NN_XXX_B_F,fa_earHelix_NL_SXX_L_M,fa_orbital_NL_XLX_D_U,fa_forehead_NN_XMX_D_U,fa_jowl_NL_SXX_D_U,ca_noseTip_NN_XXX_R_A,ca_noseAla_NR_XXA_D_U,fa_cheeksMiddle_NL_XXX_D_U,fa_temporal_NL_XLX_L_M,ca_earHelix_NR_SXP_N_W,fa_submental_NR_XXX_D_U,fa_jowl_NL_IXX_L_M,fa_periorbital_NR_IXX_D_U,ca_eartragus_NL_XXX_B_F,ca_noseAla_NR_SXX_N_W,ca_earHelix_NR_SXA_D_U,fa_nasolabial_NL_SXX_D_U,ca_earAntihelix_NL_IXX_B_F,fa_orbital_NL_XLX_L_M,fa_orbital_NL_SXX_D_U,fa_submental_NL_XXX_L_M,fa_temporal_NL_XLX_D_U,ca_earlobe_NL_XXX_N_W,ca_earHelix_NL_SXP_D_U,fa_mental_NN_XXX_D_U,fa_lip_NR_SXX_D_U,ca_noseAla_NR_IMX_D_U,ca_noseSupratip_NN_XXX_N_W,ca_noseTip_NN_XXX_N_W,fa_orbital_NR_SXX_L_M,ca_earHelix_NL_SXA_D_U,ca_noseAla_NR_IXX_R_A,ca_noseAla_NL_IMX_D_U,ca_noseAla_NL_SXX_D_U,fa_nasolabial_NR_SXX_D_U,ca_noseAla_NL_IXX_N_W,ca_earlobe_NR_XXX_N_W,fa_temporal_NR_XLX_D_U,fa_mental_NN_IXX_L_M,ca_earAntihelix_NL_IXX_N_W,fa_neck_NR_XXP_L_M,ca_earAntihelix_NR_IXX_B_F,fa_jowl_NR_SXX_L_M,fa_orbital_NR_XLX_L_M,ca_earlobe_NL_XXX_B_F,fa_mental_NN_IXX_D_U,fa_cheeks_NL_XMX_D_U,ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_XXA_B_F,ca_noseAla_NL_ILX_D_U,fa_jowl_NR_SXX_D_U,fa_lip_NL_IXX_D_U,fa_orbital_NR_SXX_D_U,fa_nasolabial_NR_SXX_L_M,ca_eartragus_NR_XXX_D_U,ca_noseAla_NR_IXX_B_F,ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_IMX_B_F,ca_earlobe_NR_XXX_B_F,fa_submandibular_NL_XXX_D_U,ca_noseAla_NL_ILX_B_F,ca_earAntihelix_NR_IXX_N_W,ca_noseAla_NL_XXA_D_U,ca_noseTip_NN_XXX_B_F,fa_earHelix_NR_SXX_L_M,ca_noseAla_NL_IXX_R_A,fa_orbital_NL_SXX_L_M,ca_noseAla_NR_IXX_D_U,fa_submental_NL_XXX_D_U,fa_lip_NL_SXX_L_M,ca_earAntihelix_NR_IXX_D_U,ca_noseColumella_NN_XXX_N_W,ca_noseAla_NR_IMX_R_A,ca_noseAla_NL_SXX_B_F,fa_nasolabial_NL_SXX_L_M,ca_eartragus_NR_XXX_N_W,ca_noseAla_NR_ICX_N_W,assetid
9,44,52,-24,13,30,15,-34,23,-4,-1,32,71,-58,25,8,-17,26,-31,-18,-15,16,40,98,-19,34,15,-6,-12,-31,19,20,39,-9,-71,-14,10,4,-31,41,-33,-39,-29,60,40,34,-34,9,31,-26,-25,-26,18,-30,-14,-2,0,29,39,-6,-25,-52,37,-24,-24,28,-6,6,30,100,38,19,-40,-39,-35,32,23,-23,37,14,-9,26,-18,22,21,-7,0,-13,36,26,10,-15,-38,16,49,11,-58,72,-34,25,5,21,58,5,-21,27,25,2,12,54,-52,21,30,0,16,-41,30,15,-3,-4,-28,-31,75,37,90,-1,40,-25,52,41,-52,60,41,37,-13,4,-42,79,14,35,9,38,7,44,54,-5,-10,-3,82,27,15,86,55,4,13,-13,71,28,6,34,4,57,-16,-16,-16,83,-14,32,0,0,-31,15,11,-49,60,15,27,67,2,-2,20,-1,-13,-70,4373
1,-37,38,-1,17,3,58,-41,42,-2,48,66,55,-11,85,10,-17,33,9,8,10,6,61,78,-25,40,54,0,-25,-22,5,40,35,26,-43,-10,20,3,-18,7,-61,-57,-16,34,13,-24,11,-8,10,-4,-12,23,39,-27,23,-1,-61,3,23,-20,-12,-18,4,13,17,46,3,-7,-26,78,52,6,-55,-42,2,60,26,31,-50,20,-22,33,-21,85,-39,-19,-3,-70,23,30,9,16,23,3,43,-17,-4,37,-9,-5,-40,19,42,-49,-38,-1,52,28,15,40,-50,15,32,7,52,27,38,15,24,3,-27,19,25,40,50,52,-10,-1,15,64,-7,57,8,15,-20,-10,16,28,0,14,8,41,8,58,14,37,81,-2,49,79,48,86,49,3,56,-11,33,17,21,-4,-1,46,15,-25,10,92,11,12,71,6,32,14,-1,14,34,15,50,51,-47,-5,7,-5,4,-44,4609
-3,20,-47,-14,13,31,88,7,-14,11,7,36,70,0,77,0,-23,6,-34,1,20,-18,35,40,-48,-25,31,-28,-2,-36,-33,34,-13,-21,-33,-9,6,68,-29,24,42,-55,-34,-1,24,-8,-50,-15,23,-27,-19,3,38,-34,57,-64,12,32,33,2,-15,-45,43,57,-62,-48,-29,-15,-2,38,29,18,-58,19,-21,68,4,-57,27,14,5,-61,-9,74,64,3,-15,8,35,-18,-4,-41,-1,-12,-8,79,23,-33,-23,-17,-44,50,45,-41,-31,-19,71,0,19,-4,-48,-1,-21,0,36,-2,-32,-6,58,-57,-34,12,-9,24,29,52,8,-16,52,100,-46,-3,39,-7,-24,36,15,-13,0,-2,-5,23,-4,100,52,3,26,10,27,51,57,41,65,76,89,-15,-29,-6,9,9,15,47,-35,-48,-7,43,19,19,26,-1,-13,17,-1,0,-3,-6,64,74,12,-16,11,29,60,-33,5244
19,14,68,-16,-26,10,-1,-42,21,-1,-21,58,52,0,44,18,-35,18,36,-14,0,23,48,65,-13,27,0,17,7,-38,-1,24,13,1,-36,5,-6,57,-18,-3,58,11,-19,42,-4,89,26,4,36,-46,-27,-13,24,-44,29,30,-16,11,30,-5,-27,-54,67,-10,-74,19,18,1,96,71,44,38,8,-41,-62,48,15,-75,10,-26,0,6,-28,41,34,1,14,-45,28,17,22,18,-15,24,56,32,6,73,-63,10,-100,48,61,-100,-44,8,31,37,65,60,-36,50,28,-3,3,-15,18,-5,27,40,-40,-14,0,57,69,37,0,-16,47,12,-58,55,69,47,-27,0,36,0,21,48,20,57,20,24,46,13,-84,0,65,69,35,97,74,61,-5,3,71,54,-11,0,-3,58,22,-11,-17,92,2,35,-81,-5,17,64,20,25,42,-5,30,54,47,10,36,0,-4,-36,9797
0,-1,70,-1,1,22,-38,-40,-25,10,14,16,100,-9,100,26,-4,31,-8,-15,-2,17,21,50,0,43,18,13,-41,-36,37,42,72,43,-81,-12,-22,34,-12,18,-94,20,-12,82,21,90,-18,22,29,-30,-32,39,44,-60,34,46,-42,20,18,-7,-32,-12,42,-26,7,42,11,26,90,50,25,32,16,-40,37,36,31,0,2,0,-9,38,3,95,-18,0,-1,-41,18,-22,5,39,-17,15,45,-19,0,56,35,30,-48,32,60,-43,-33,30,16,6,31,43,-49,29,29,-24,19,-19,36,9,34,48,-61,38,13,38,-61,-20,46,0,11,-6,-15,61,40,26,-69,-14,-45,12,17,28,4,40,25,9,8,-43,-17,9,-58,12,-16,8,62,36,-35,-11,54,27,-21,48,-13,58,39,0,-17,10,-3,28,-5,-26,-17,31,17,-42,81,8,14,100,38,-1,31,-10,-11,-77,70021
-1,10,70,-15,-18,-7,0,-38,-8,9,72,70,0,-27,90,14,45,-6,5,-5,22,32,20,29,6,30,14,1,-50,-73,5,15,21,14,-58,-4,19,44,7,17,-71,-19,5,77,11,19,-8,12,38,-69,-10,-1,17,-52,0,47,6,-7,24,-11,-10,-48,27,37,3,100,4,14,14,29,15,18,-22,-36,24,86,-14,4,13,-16,-11,99,56,84,-6,-7,10,11,24,-14,18,0,-32,30,15,-12,-23,54,15,0,-77,66,16,-82,-4,3,2,18,15,14,11,12,2,-20,16,-34,25,16,-2,44,-50,0,-46,52,-34,-41,21,-15,57,7,-43,38,28,44,3,8,15,-44,6,44,16,55,16,6,58,20,44,8,-32,75,-33,11,37,49,-3,-7,52,14,19,15,-14,17,1,6,-8,15,20,36,38,-20,-18,10,6,12,77,15,2,0,12,10,14,-16,34,-58,70037
18,38,51,-32,21,-31,7,-43,32,-20,-25,67,25,-29,7,4,-6,64,28,-34,8,46,68,83,-8,54,13,-16,9,0,28,9,36,8,-82,-4,-20,37,-31,42,3,1,-31,50,38,73,17,28,32,1,-26,30,12,-40,12,95,-37,-30,45,1,-26,-22,39,-10,32,38,-14,29,75,82,68,23,9,-44,6,15,62,32,54,15,0,36,3,3,-7,0,-7,-22,47,26,5,3,-39,47,45,-12,-11,67,4,12,-45,11,31,-38,-50,13,29,-5,16,48,-13,22,23,1,19,-41,49,26,20,93,-39,28,41,25,61,-22,8,-31,46,-18,-26,45,35,52,11,3,20,42,15,54,4,27,5,-11,45,-13,2,-21,58,50,-24,34,51,35,7,-5,67,19,-15,5,-27,29,4,-9,-36,32,8,30,16,1,-35,9,13,22,49,27,29,31,35,-7,20,-19,-10,-83,70183
23,6,0,-3,-17,17,-29,-33,36,10,45,45,29,23,67,8,14,38,58,-4,-2,36,69,0,6,32,17,16,17,-38,41,24,100,43,-18,4,-7,41,11,2,52,1,10,63,-1,47,57,26,50,-40,0,62,26,-34,36,45,2,18,11,4,1,-23,28,25,-5,64,18,24,46,2,66,6,8,-35,12,44,36,-3,3,-24,3,52,19,69,-3,8,5,-3,11,32,6,64,21,40,22,-16,24,50,12,4,-10,57,-14,-19,17,9,-5,-6,54,25,38,19,-5,31,19,23,39,14,38,46,-29,65,-78,0,0,-6,14,-2,34,24,-21,40,30,13,-50,52,23,-81,16,14,10,-2,8,4,34,16,74,8,-2,34,-19,9,30,41,-25,4,51,16,-2,9,1,-19,67,4,-5,8,-2,52,57,31,-7,45,17,18,62,14,-5,22,34,10,8,1,5,-16,70297
13,55,100,-13,40,0,38,-21,-32,-23,0,-21,73,-13,-26,8,-3,31,-1,-26,12,44,39,58,-21,-19,17,-45,13,3,45,40,6,-24,-61,-2,-23,24,-3,19,-80,10,-5,79,17,68,-2,26,58,8,-15,47,40,-28,4,36,26,-1,49,-4,-13,-13,68,-13,1,50,-45,25,64,60,35,28,9,-19,9,26,28,5,67,38,0,38,-11,-27,69,6,-13,29,50,-40,39,-20,-12,46,39,58,-19,57,5,21,-9,24,62,-13,-55,23,9,-55,-15,38,-1,58,0,33,18,-17,-19,22,1,31,-25,50,6,39,28,4,58,-13,63,-15,-12,31,68,79,-38,8,40,9,34,84,39,39,8,-20,63,-40,69,-22,26,-20,5,37,68,21,36,-6,55,61,-23,60,-48,62,-19,-20,-28,32,12,58,50,33,-52,-19,33,50,78,22,11,71,30,-13,26,-49,-24,-62,70305
-19,-9,87,-44,9,5,-41,-9,0,2,-24,-5,70,2,-7,10,-2,0,-83,-36,30,10,4,20,-5,-22,-1,-46,-14,58,9,40,-7,-16,-35,-21,-40,8,-5,-5,-43,8,-4,52,0,46,-78,19,28,58,-43,49,36,-58,-13,34,-11,4,36,-8,-43,17,27,38,40,-6,-45,18,39,21,2,18,14,-10,9,-27,2,42,7,11,-5,-3,5,-5,15,-3,2,-12,37,-2,31,-19,-52,11,4,23,-3,11,10,38,-49,-25,55,-47,-54,41,-37,-66,-29,4,-79,31,2,-1,-3,-58,-19,9,-6,20,-58,50,36,15,-10,-42,26,-43,56,51,17,46,27,62,-13,-14,6,40,22,63,34,16,10,40,56,34,-10,3,-15,-3,-44,11,24,8,-38,-17,13,29,-41,25,-35,52,-22,-6,-32,9,31,29,-15,-1,-57,-30,23,1,52,10,-35,69,38,2,21,-36,31,-31,70344
