homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
7,5,15,6,25,23,53,0,0,0,0,0,1,1,10,22110,8,5,0,21,269,8,3,0,32,0,1,0,2,0,4,4,4,46
15,9,17,7,19,12,46,0,0,0,0,0,1,1,10,10220,3,4,1,21,270,3,4,0,32,0,3,0,2,0,2,4,4,43
10,3,26,3,14,10,60,0,0,0,0,0,1,1,10,12211,10,6,2,21,271,10,3,0,36,0,0,1,1,0,3,4,5,53
11,1,22,2,14,10,73,0,0,0,0,0,1,1,0,22211,10,7,3,21,819,10,4,0,41,0,0,1,1,0,2,4,4,66
21,12,12,9,8,20,6,0,0,0,0,0,1,1,5,10,5,3,4,21,820,5,1,0,18,0,5,0,2,0,6,3,3,16
22,11,11,12,10,26,26,0,0,0,0,0,1,1,4,2100,4,1,5,21,822,4,1,0,10,0,6,0,2,0,9,1,3,30
18,4,20,8,15,19,26,0,0,0,0,0,1,1,3,21,3,5,6,21,1443,3,1,0,25,0,3,0,1,0,5,5,2,40
25,13,14,10,12,23,26,0,0,0,0,0,1,1,5,20001,5,2,7,21,1447,5,2,0,17,0,5,0,1,0,7,2,3,30
10,7,19,1,19,15,80,0,0,0,0,1,1,1,0,22022,0,9,8,21,1516,0,4,0,42,0,1,0,0,0,4,3,0,60
13,6,20,4,17,11,53,0,0,0,0,0,1,1,10,20112,10,5,9,21,1786,8,4,0,35,0,3,0,0,0,1,5,3,66
12,2,24,5,15,23,60,0,0,0,0,0,1,1,10,2202,8,7,10,21,1788,10,3,0,35,0,0,1,0,0,6,1,4,56
12,10,6,11,8,14,33,0,0,0,0,0,1,1,5,112,4,1,11,21,15001,4,1,0,15,0,4,0,0,0,6,4,5,23
