overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-1,79,80,81,82,80,80,2,82,80
1,79,79,78,80,77,80,14,80,78
-1,73,73,74,73,73,73,17,72,73
-1,83,83,84,90,83,83,21,90,82
-2,81,79,81,81,80,80,22,79,79
-1,74,75,76,79,76,73,23,78,75
-1,84,82,83,82,83,84,32,81,82
1,74,76,75,77,75,75,38,78,77
-1,79,79,80,81,79,78,45,79,77
1,80,80,79,80,79,80,48,81,80
1,79,80,79,83,79,80,52,83,80
-1,77,77,78,75,78,76,69,75,78
-1,72,73,74,73,75,72,71,72,74
1,83,83,82,83,82,83,73,84,82
-1,74,75,76,76,75,73,74,76,74
1,75,76,75,75,75,75,78,76,77
-1,75,74,75,76,74,74,94,76,74
1,76,77,76,77,76,76,110,76,78
-1,76,76,77,77,76,75,175,76,76
1,76,77,76,75,77,77,189,75,78
-1,77,77,78,76,79,77,219,75,78
1,82,85,84,89,83,83,241,90,85
1,84,86,85,88,85,83,243,89,86
-1,76,75,76,76,76,75,327,75,75
-1,72,74,75,80,75,71,436,77,75
-1,78,79,80,79,81,78,448,78,81
-1,74,74,75,75,76,73,472,74,74
-1,76,77,78,79,79,76,483,78,78
1,76,78,77,82,78,76,605,84,80
1,78,79,78,78,77,79,1799,78,78
-1,79,76,77,77,76,78,1824,76,75
1,77,78,77,76,75,78,1876,80,75
1,78,78,77,80,76,79,1943,81,77
1,79,79,78,75,79,79,110062,74,79
-1,70,73,74,69,74,70,111811,67,73
-1,73,75,76,78,77,73,112139,79,77
2,78,81,79,80,79,80,115845,81,81
1,82,82,81,81,81,84,115998,82,81
-1,73,74,75,75,76,72,115999,74,76
-1,74,73,74,74,75,73,116003,72,75
1,83,84,83,84,82,83,116009,84,83
1,79,80,79,79,80,80,116012,80,82
1,74,77,76,77,77,75,116014,76,78
-1,72,73,74,72,73,70,116020,72,73
1,81,82,81,77,79,83,116034,77,80
1,75,79,78,84,80,76,116035,84,81
2,73,77,75,75,76,74,116036,77,79
-1,76,74,75,73,74,75,116037,73,74
1,85,86,85,86,87,85,116325,86,88
1,80,82,81,82,81,81,116326,83,82
