firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,skinmakeup,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,teamid,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,accessorycolourcode2,facialhaircolorcode
Mikel,Mikel Arteta,Arteta Amatriain,2150301,0,0,251,254782,0,160,0,232001,0,0,2521,175,5557,145895,0,75,0,2,0,45119,4,3,1,5,1,0,0,0,45,0,0,0,3,5566,4,0,0,81,159678,0,0
Unai,Unai Emery,Emery Etxegoien,60201,0,0,0,237389,0,30,0,253101,0,0,2020,181,5541,142099,0,75,1,2,0,237389,3,0,2,4,1,0,0,0,45,0,0,0,4,5574,3,0,0,81,160725,0,0
,,,70000,0,5,287,53686,0,655,0,253101,0,0,2021,183,5551,145139,0,84,0,2,0,26541,2,3,3,6,0,0,0,0,14,0,0,0,2,5566,2,0,0,82,161190,0,3
,,,60000,0,6,245,257088,0,114,0,232001,0,0,3500,191,5511,145139,0,75,0,0,0,26541,2,3,4,6,1,0,0,0,14,0,0,0,2,5578,2,0,0,85,159872,0,3
Enzo,,Maresca,2150301,0,23,251,263428,0,0,0,242101,0,0,52,180,5511,145120,0,75,0,3,0,263428,4,0,5,5,0,0,0,1,27,0,0,0,4,5520,4,0,0,82,160952,0,23
Sean,,Dyche,60201,0,27,28,51404,0,43,0,253101,0,0,3500,183,5538,141971,0,86,1,2,0,51404,1,0,7,6,1,0,0,0,14,0,0,0,3,5510,1,0,0,82,160815,0,17
,,,60201,0,5,251,249179,0,35,0,253101,0,0,1546,182,5509,145139,0,75,0,2,0,26541,3,3,8,6,0,0,0,0,21,0,0,0,3,5713,3,0,0,82,160970,0,23
Arne,,Slot,70000,0,0,0,250808,0,0,0,232001,0,0,48,184,5509,144609,0,75,1,2,0,250808,2,1,9,4,0,0,0,0,34,0,0,0,2,5718,2,0,0,82,161303,0,3
Josep,Pep Guardiola,Guardiola i Sala,60201,0,23,251,169894,0,0,0,242201,0,0,1526,180,5509,141810,0,73,1,0,0,243712,2,4,10,4,1,0,0,0,45,0,0,1,4,5718,2,0,0,81,158411,0,22
Rúben Filipe,Rúben Amorim,Marques Amorim,2150401,0,0,245,254801,0,679,0,240201,0,0,1533,180,5707,146933,0,75,0,2,0,254801,4,0,11,3,0,0,0,1,38,0,0,0,4,5569,4,0,0,82,161466,0,0
