overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
-1,83,83,84,83,85,83,1,83,84
1,79,81,80,84,80,80,2,83,80
1,79,81,80,80,84,78,13,80,85
2,78,79,77,79,77,80,14,80,78
1,70,71,70,70,70,70,15,70,71
-1,74,73,74,74,73,73,17,73,73
-1,78,78,79,81,79,76,19,82,79
2,79,81,79,81,79,81,48,81,81
1,81,81,80,84,79,82,52,84,81
1,75,77,76,76,76,75,72,77,76
-1,72,74,75,77,76,70,74,77,75
1,71,73,72,74,72,71,76,74,73
1,75,76,75,75,75,76,78,75,76
-1,73,73,74,73,74,72,86,73,73
1,71,71,70,70,70,72,88,74,70
-1,76,75,76,77,76,74,110,75,76
1,77,78,77,76,77,77,219,78,79
-1,71,72,73,74,73,69,229,73,72
1,75,78,77,76,78,76,236,80,79
1,78,80,79,81,79,79,326,82,79
-2,74,74,76,75,76,73,378,74,74
-1,74,73,74,72,73,73,379,68,72
-1,75,76,77,76,75,73,461,76,76
-1,72,70,71,68,70,69,674,68,69
-2,72,70,72,70,72,70,1738,69,70
1,73,75,74,76,72,75,1745,77,75
1,71,73,72,73,71,71,1746,75,72
-1,70,70,71,71,71,69,1792,71,71
-1,70,69,70,70,70,70,1795,70,69
1,78,78,77,77,77,79,1799,78,77
-1,70,69,70,70,71,69,1800,70,70
1,73,74,73,72,72,74,1842,73,73
-1,69,71,72,71,73,67,1887,71,74
-1,70,69,70,68,69,70,1919,66,69
1,76,77,76,77,75,77,1925,79,76
-1,69,68,69,68,69,68,1960,66,69
-1,71,70,71,69,70,70,1961,69,68
1,73,72,71,68,71,74,2014,68,73
2,67,71,69,68,69,69,100087,73,71
1,72,72,71,72,72,72,101014,73,72
-1,75,77,78,79,76,74,110374,79,76
-1,73,73,74,71,74,71,111811,71,72
-1,68,68,69,70,70,68,111817,69,69
-1,78,78,79,80,79,78,115841,80,78
1,85,86,85,85,88,85,116325,87,90
-1,72,73,74,73,74,71,116333,72,74
-1,76,75,76,78,75,74,116336,77,73
1,70,73,72,72,73,71,116339,72,73
1,70,72,71,72,71,70,131174,74,72
1,83,84,83,86,83,84,131682,87,84
