overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,90,88,1,222665
2,89,87,1,232580
-1,84,85,5,256079
1,91,90,10,239085
-1,86,87,10,239818
-2,82,84,10,251517
3,89,86,11,212198
-2,82,84,18,232488
-1,83,84,18,240091
-2,88,90,21,202126
-2,86,88,21,256790
-1,84,85,22,215441
-2,85,87,32,213331
3,89,86,73,235212
3,88,85,73,255253
-1,87,88,240,200389
-1,83,84,241,186153
2,91,89,241,188545
-1,84,85,241,244260
3,88,85,241,277643
3,92,89,243,192119
2,92,90,243,231747
2,89,87,325,232293
-2,82,84,450,192629
-1,83,84,457,227127
4,88,84,112172,185122
2,89,87,112893,158023
-1,84,85,115997,261773
-2,82,84,115998,265063
3,88,85,116009,227110
3,88,85,116009,246426
-1,85,86,116010,227246
-2,84,86,116010,238257
-1,83,84,116015,235657
3,88,85,116017,245830
2,90,88,116033,227310
2,90,88,116034,246272
-1,85,86,116034,247504
-1,84,85,116035,246641
2,92,90,116325,227102
2,90,88,116325,227190
2,91,89,116325,236479
1,89,88,116325,237289
1,92,91,116325,241667
-2,86,88,116325,241846
-2,84,86,131681,232656
-1,84,85,131681,241721
2,89,87,131682,224232
-1,83,84,131682,226851
2,90,88,131682,231478
