ca_noseSupratip_NN_XXX_R_A,fa_periorbital_NR_IXX_L_M,ca_noseColumella_NN_XXX_D_U,fa_submental_NR_XXX_L_M,fa_jowl_NL_IXX_D_U,fa_preplatysmal_NL_XXX_L_M,ca_noseAla_NR_ICX_D_U,ca_noseAla_NL_ILX_N_W,fa_lip_NR_IXX_L_M,fa_neck_NL_XXP_L_M,fa_forehead_NN_XMX_L_M,fa_jowl_NL_SXX_L_M,ca_earAntihelix_NL_IXX_D_U,fa_cheeksMiddle_NL_XXX_L_M,fa_earHelix_NL_IXX_L_M,ca_noseAla_NR_IXX_N_W,fa_cheeks_NR_XMX_L_M,ca_earHelix_NL_SXP_B_F,ca_earHelix_NL_SXA_N_W,ca_noseAla_NR_IMX_B_F,fa_submandibular_NR_XXX_D_U,ca_noseAla_NL_XXA_N_W,ca_earAntihelix_NL_SXX_B_F,ca_earHelix_NR_IXX_B_F,ca_noseAla_NR_ICX_R_A,ca_earHelix_NL_SXP_N_W,fa_cheeksMiddle_NR_XXX_D_U,fa_submandibular_NR_XXX_L_M,ca_noseSupratip_NN_XXX_D_U,fa_forehead_NL_XLX_D_U,ca_noseColumella_NN_XXX_R_A,ca_noseAla_NR_XXA_R_A,ca_noseTip_NN_XXX_D_U,ca_noseColumella_NN_XXX_B_F,ca_noseAla_NL_ICX_N_W,ca_noseAla_NR_XXA_B_F,fa_lip_NR_IXX_D_U,fa_cheeks_NR_XMX_D_U,ca_noseAla_NR_ICX_B_F,fa_nasolabial_NL_IXX_D_U,fa_nose_NN_XXX_L_M,ca_earlobe_NR_XXX_D_U,ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_IXX_D_U,fa_nasolabial_NR_IXX_D_U,fa_orbital_NL_IXX_D_U,ca_earHelix_NR_SXA_N_W,ca_noseAla_NR_ILX_R_A,ca_noseAla_NR_ILX_B_F,fa_forehead_NR_XLX_D_U,ca_noseAla_NL_IMX_N_W,ca_noseAla_NL_SXX_N_W,ca_noseAla_NL_XXA_R_A,ca_eartragus_NR_XXX_B_F,fa_jowl_NR_IXX_L_M,fa_periorbital_NL_IXX_D_U,fa_orbital_NR_IXX_L_M,fa_preplatysmal_NR_XXX_L_M,ca_noseAla_NR_SXX_R_A,ca_noseSupratip_NN_XXX_SL_SR,ca_noseAla_NR_IMX_N_W,ca_earHelix_NR_SXP_D_U,fa_lip_NL_SXX_D_U,ca_eartragus_NL_XXX_N_W,ca_earHelix_NR_IXX_N_W,ca_earAntihelix_NL_SXX_N_W,fa_submandibular_NL_XXX_L_M,ca_noseAla_NL_ILX_R_A,fa_orbital_NR_IXX_D_U,ca_earHelix_NL_IXX_B_F,ca_earAntihelix_NR_SXX_B_F,ca_noseAla_NR_SXX_B_F,ca_earlobe_NL_XXX_D_U,ca_noseAla_NR_ILX_N_W,ca_earHelix_NL_SXA_B_F,fa_forehead_NR_XLX_L_M,ca_earHelix_NR_SXP_B_F,ca_earHelix_NL_IXX_N_W,fa_periorbital_NL_IXX_L_M,fa_jowl_NR_IXX_D_U,ca_noseTip_NN_XXX_SL_SR,ca_earAntihelix_NR_SXX_N_W,fa_cheeks_NL_XMX_L_M,fa_earHelix_NR_IXX_L_M,fa_nasolabial_NR_IXX_L_M,ca_noseColumella_NN_XXX_SL_SR,ca_noseAla_NL_IMX_R_A,fa_orbital_NL_IXX_L_M,ca_noseAla_NL_SXX_R_A,fa_lip_NL_IXX_L_M,ca_noseAla_NR_SXX_D_U,ca_noseAla_NL_IXX_B_F,fa_temporal_NR_XLX_L_M,ca_noseAla_NR_XXA_N_W,fa_orbital_NR_XLX_D_U,fa_nasolabial_NL_IXX_L_M,fa_cheeksMiddle_NR_XXX_L_M,ca_noseAla_NR_ILX_D_U,ca_earHelix_NR_SXA_B_F,ca_earAntihelix_NR_SXX_D_U,ca_earHelix_NL_IXX_D_U,fa_forehead_NL_XLX_L_M,ca_eartragus_NL_XXX_D_U,ca_earHelix_NR_IXX_D_U,fa_mental_NN_XXX_L_M,ca_earAntihelix_NL_SXX_D_U,fa_lip_NR_SXX_L_M,ca_noseSupratip_NN_XXX_B_F,fa_earHelix_NL_SXX_L_M,fa_orbital_NL_XLX_D_U,fa_forehead_NN_XMX_D_U,fa_jowl_NL_SXX_D_U,ca_noseTip_NN_XXX_R_A,ca_noseAla_NR_XXA_D_U,fa_cheeksMiddle_NL_XXX_D_U,fa_temporal_NL_XLX_L_M,ca_earHelix_NR_SXP_N_W,fa_submental_NR_XXX_D_U,fa_jowl_NL_IXX_L_M,fa_periorbital_NR_IXX_D_U,ca_eartragus_NL_XXX_B_F,ca_noseAla_NR_SXX_N_W,ca_earHelix_NR_SXA_D_U,fa_nasolabial_NL_SXX_D_U,ca_earAntihelix_NL_IXX_B_F,fa_orbital_NL_XLX_L_M,fa_orbital_NL_SXX_D_U,fa_submental_NL_XXX_L_M,fa_temporal_NL_XLX_D_U,ca_earlobe_NL_XXX_N_W,ca_earHelix_NL_SXP_D_U,fa_mental_NN_XXX_D_U,fa_lip_NR_SXX_D_U,ca_noseAla_NR_IMX_D_U,ca_noseSupratip_NN_XXX_N_W,ca_noseTip_NN_XXX_N_W,fa_orbital_NR_SXX_L_M,ca_earHelix_NL_SXA_D_U,ca_noseAla_NR_IXX_R_A,ca_noseAla_NL_IMX_D_U,ca_noseAla_NL_SXX_D_U,fa_nasolabial_NR_SXX_D_U,ca_noseAla_NL_IXX_N_W,ca_earlobe_NR_XXX_N_W,fa_temporal_NR_XLX_D_U,fa_mental_NN_IXX_L_M,ca_earAntihelix_NL_IXX_N_W,fa_neck_NR_XXP_L_M,ca_earAntihelix_NR_IXX_B_F,fa_jowl_NR_SXX_L_M,fa_orbital_NR_XLX_L_M,ca_earlobe_NL_XXX_B_F,fa_mental_NN_IXX_D_U,fa_cheeks_NL_XMX_D_U,ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_XXA_B_F,ca_noseAla_NL_ILX_D_U,fa_jowl_NR_SXX_D_U,fa_lip_NL_IXX_D_U,fa_orbital_NR_SXX_D_U,fa_nasolabial_NR_SXX_L_M,ca_eartragus_NR_XXX_D_U,ca_noseAla_NR_IXX_B_F,ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_IMX_B_F,ca_earlobe_NR_XXX_B_F,fa_submandibular_NL_XXX_D_U,ca_noseAla_NL_ILX_B_F,ca_earAntihelix_NR_IXX_N_W,ca_noseAla_NL_XXA_D_U,ca_noseTip_NN_XXX_B_F,fa_earHelix_NR_SXX_L_M,ca_noseAla_NL_IXX_R_A,fa_orbital_NL_SXX_L_M,ca_noseAla_NR_IXX_D_U,fa_submental_NL_XXX_D_U,fa_lip_NL_SXX_L_M,ca_earAntihelix_NR_IXX_D_U,ca_noseColumella_NN_XXX_N_W,ca_noseAla_NR_IMX_R_A,ca_noseAla_NL_SXX_B_F,fa_nasolabial_NL_SXX_L_M,ca_eartragus_NR_XXX_N_W,ca_noseAla_NR_ICX_N_W,assetid
11,54,-19,-20,7,12,46,-55,5,-83,-34,30,16,-12,-26,16,-24,27,75,-13,7,10,54,21,-23,41,7,-16,-25,-71,-39,27,-45,-4,-64,0,30,45,-44,-27,62,26,-43,22,-31,12,78,3,-6,-65,-21,-31,27,-44,16,-13,-60,12,31,-5,-22,11,35,33,-38,7,-13,4,12,12,55,13,33,-55,15,35,28,-34,52,7,-1,20,-37,-26,72,-1,13,-52,32,2,-17,3,-31,12,7,45,-10,57,17,1,-31,-5,10,-45,-61,7,27,12,-12,8,-80,0,9,-6,7,-30,52,11,18,-13,-47,-29,-50,27,11,-4,-24,-21,90,-75,25,37,36,34,-27,10,28,-52,8,32,-17,27,15,-83,88,-28,-19,-82,9,29,-10,11,56,47,46,-1,57,2,28,-21,-44,11,2,-24,-13,19,9,-6,-19,-6,23,-9,7,35,22,11,30,11,33,15,13,-43,26,-64,7053
41,28,40,-7,21,19,71,-52,-1,-18,3,58,75,-21,40,33,-9,44,-42,13,0,32,81,100,-20,18,17,-1,71,-67,5,26,51,51,-63,-5,-9,35,-52,3,-56,-47,-51,71,0,43,-52,-2,3,-62,-6,-4,26,-51,-9,-23,17,21,52,-13,-7,-29,54,1,36,51,0,-1,44,100,76,9,-48,-55,-15,15,37,43,25,15,-11,29,-13,45,3,-3,16,17,52,-2,23,39,12,33,7,-5,-25,93,-19,3,-26,-7,52,-30,-8,8,35,26,37,10,-88,65,-2,51,16,20,18,-13,-2,-26,-50,-3,2,40,95,10,16,-7,35,21,-20,74,54,76,12,38,25,9,10,77,24,40,37,16,33,25,38,-18,92,43,0,78,78,41,73,-6,94,65,-7,10,-10,49,36,-21,14,79,3,4,23,51,79,33,9,16,70,-13,40,75,29,17,10,-9,-13,-61,50610
3,-27,7,-3,-21,12,40,-26,-5,51,-25,52,-18,-16,81,20,-28,-3,-3,-13,-1,17,22,33,-34,-21,6,-4,18,-36,-14,22,31,-20,-28,-15,1,-12,-33,5,-75,-33,-37,26,1,-45,-26,2,29,-36,-18,9,25,-47,-12,0,-13,12,22,-3,-17,-43,1,22,43,28,-5,7,-44,33,17,-18,-37,-19,-27,-31,-8,42,-13,-25,0,21,-24,82,-14,3,12,-18,23,0,4,8,19,19,5,-14,-11,-26,-25,-7,-51,-4,18,-57,-7,-8,41,-3,52,8,-74,6,-16,19,11,13,-26,0,-17,9,-42,17,4,20,-49,-2,-4,-3,30,24,-46,47,3,46,18,16,-58,-1,2,47,3,19,16,31,30,17,14,52,-56,52,0,55,32,-3,40,-18,-28,12,-1,11,-6,17,11,-34,-15,52,-1,29,20,17,-31,51,0,-28,24,0,40,-25,0,12,-19,-2,18,-25,70131
2,-23,68,2,-16,13,-8,-21,8,-4,3,41,29,-9,39,13,-18,6,-22,-1,-1,-11,22,16,0,-24,-24,5,5,-4,47,16,-48,-1,-10,-16,-40,35,2,-17,-4,-24,1,17,-20,21,-32,14,28,-3,-37,7,17,-65,17,60,-10,13,19,-12,-39,9,6,39,23,25,4,13,25,17,27,-9,-27,-22,-9,2,10,17,-24,-20,-7,32,-11,37,-51,-2,37,-11,19,8,0,-3,0,-14,7,-52,-8,44,-3,13,-42,-1,17,-33,-10,9,22,-21,2,7,-52,36,17,-31,-24,-2,-24,-14,36,64,-63,6,-2,26,4,-4,-7,1,-15,-3,2,21,5,-5,10,8,15,-4,3,-4,0,27,13,22,-15,26,18,-4,0,29,3,0,24,39,-7,-17,43,36,-39,-2,-16,21,-2,0,-2,-5,0,27,35,-30,-1,2,0,10,17,-14,27,43,-8,37,-10,-16,44,-12,70260
21,-41,0,-5,-2,-11,64,-68,28,-40,20,39,-39,-19,56,38,-9,-45,27,12,-7,16,-46,13,-41,9,52,-6,65,-70,-2,11,56,10,-40,-6,7,16,-45,-14,-56,-78,-47,40,-17,58,18,-16,-32,-61,-15,-33,12,-90,-67,37,-27,-13,48,-6,-16,-95,55,52,7,67,-9,-12,60,13,-45,-22,-85,-62,-43,75,-48,0,-38,-4,-4,55,-20,62,-24,0,16,-22,47,18,20,3,-7,13,16,-43,-24,22,-40,-46,-100,58,-5,-100,-15,-47,58,40,68,15,-56,67,4,40,50,-14,12,-2,-67,37,-76,-29,0,22,-63,-3,25,-6,72,-52,-97,45,54,92,40,-15,16,-9,1,92,19,22,34,-48,72,-21,84,-40,-66,52,-7,32,80,23,66,-9,21,68,7,30,-47,-9,5,-42,9,27,-5,-32,87,40,41,76,0,22,39,-1,54,-46,-11,16,-23,-47,68,-38,70310
-4,32,-15,-2,0,16,52,-23,34,65,-14,75,46,-5,84,10,0,7,45,19,7,20,50,19,-32,29,16,-7,-25,-77,-46,33,-18,-5,-27,7,-12,49,-15,1,26,-7,-16,-50,0,33,48,-1,0,-81,4,56,35,-57,-11,0,86,16,29,-1,7,-63,27,49,-10,2,-9,0,48,17,48,14,-6,-19,-28,76,7,-7,39,0,4,-8,9,91,64,6,0,86,29,32,-5,13,4,23,2,52,5,19,-31,-2,-86,56,55,-91,6,0,27,11,86,1,-47,52,-15,-23,15,1,33,0,-5,6,-60,58,-52,27,-46,71,20,-3,37,-6,-57,26,28,-5,-41,10,35,-52,13,-5,-6,25,7,-7,36,7,-27,64,-43,75,58,58,62,61,52,5,20,55,-11,24,-9,58,14,-31,15,63,6,2,-39,-24,50,94,12,48,-51,1,29,49,-14,0,11,-7,41,-24,70508
2,52,79,-41,37,-41,-71,-32,17,1,24,-11,43,-18,9,12,-31,15,89,-18,12,45,20,25,0,35,57,-32,20,3,18,31,34,-8,-4,-9,-10,47,-15,46,-23,35,-17,54,40,47,76,17,29,4,-8,31,31,-30,-22,-55,-33,-42,25,-5,-8,-50,34,-17,-55,66,-32,18,43,24,18,26,36,-30,-12,25,12,-49,21,34,-3,54,-33,3,57,4,15,-19,25,8,24,-6,-16,46,40,57,-23,58,-14,1,-71,23,51,-72,-35,0,-26,-29,32,40,-39,63,29,18,61,-6,32,33,-14,-51,-26,31,-37,48,11,-26,63,-40,62,-60,-52,12,35,69,-2,6,17,-44,20,72,23,46,11,-56,60,-28,-9,2,9,-2,-16,46,75,47,-72,-12,57,60,-11,51,-29,52,-4,1,-20,43,14,30,-7,16,-34,23,18,18,52,33,-29,44,21,15,23,-25,-21,-4,70786
46,88,42,-7,15,-3,53,-34,22,-7,-9,50,-11,34,29,24,4,39,76,-9,54,19,66,62,-26,64,45,-8,82,-68,-8,23,75,20,-51,-11,24,19,16,0,83,18,17,14,3,3,69,-10,39,-56,2,-24,23,-25,21,-37,-35,0,46,-6,0,-95,31,18,40,100,-4,-9,12,60,63,7,13,-35,-25,-9,36,34,96,16,-7,93,11,31,-8,-4,-6,-20,44,31,54,49,-6,16,13,0,26,24,-31,-13,-88,-53,0,-91,-84,-12,40,7,100,11,-71,48,-9,44,42,13,54,-6,11,-40,-26,-24,-28,45,64,54,23,-8,48,-25,-93,8,33,56,-31,15,14,-28,12,55,52,47,24,-29,48,52,13,-6,67,50,44,84,45,19,53,-12,23,51,20,37,-9,0,49,-25,-8,92,57,41,4,43,48,98,10,43,13,-6,42,-15,25,-9,7,-20,19,-51,70826
-19,20,61,-18,-34,-6,96,-5,-32,-20,20,29,87,5,21,17,-11,2,-9,-36,16,29,13,17,-18,-26,20,-52,-81,-79,27,47,7,0,-33,-12,-2,-44,-17,1,-41,43,-16,71,2,61,-22,3,18,-76,-39,40,50,-65,-13,30,27,-5,39,-7,-39,-66,54,47,-32,100,-49,3,61,20,6,10,45,-5,20,83,-8,-23,24,-35,0,72,8,19,-16,1,-8,9,39,-25,30,-7,-41,29,34,-9,-1,99,9,4,5,80,58,-7,-51,2,1,-44,37,31,-100,11,60,6,21,-40,-31,1,-9,21,-65,39,-57,23,-24,-16,7,-18,66,3,-63,58,52,51,-41,8,52,-62,27,52,27,21,16,-2,66,-6,34,-18,-25,32,-33,1,42,-51,94,-11,98,11,-1,11,0,57,-10,-17,-34,-1,19,22,9,8,-48,27,25,38,71,4,0,81,19,-7,11,3,24,-30,71998
-7,39,13,-11,-19,27,-40,-25,6,18,-46,20,-4,-27,100,-4,-24,-17,-60,-35,-5,37,20,63,-14,-19,-8,-4,-36,-19,-7,18,30,-6,-41,-7,1,46,-42,-26,34,-36,-38,13,-30,43,-64,31,25,-19,-20,49,16,-84,-32,64,1,29,13,-9,-21,-39,21,83,42,29,0,25,48,65,17,-2,-45,-31,-1,35,-24,43,36,-24,-6,15,-6,100,-35,-6,-11,-4,12,4,-14,-26,-5,37,9,-25,-27,2,-6,-34,-60,33,19,-62,-44,-33,-7,-33,100,13,-56,15,21,8,-3,0,-24,-6,-15,63,-85,45,-26,1,-22,-4,-1,-10,11,85,-35,23,20,28,-10,11,4,-26,5,28,-12,1,1,88,9,-31,1,19,-19,27,-1,46,65,49,-40,-4,1,13,2,-2,-21,19,-31,-14,-29,46,-3,25,-9,10,-52,100,3,1,14,-3,-8,-9,16,-10,0,-14,92,-42,72026
