homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
9,5,17,6,25,23,40,0,0,0,0,0,1,1,8,21101,8,5,0,22,269,8,3,0,33,0,1,0,1,0,4,4,5,50
15,9,17,7,21,14,46,0,0,0,0,0,1,1,8,2201,3,4,1,22,270,3,4,0,33,0,3,0,1,0,2,5,4,43
10,3,26,3,16,13,53,0,0,0,0,0,1,1,10,22110,10,6,2,22,271,10,3,0,36,0,0,1,2,0,4,4,5,43
11,1,22,2,16,13,53,0,0,0,0,0,1,1,10,22110,10,7,3,22,819,10,4,0,41,0,0,1,2,0,3,4,4,56
21,12,12,9,11,20,26,0,0,0,0,0,1,1,5,102,5,3,4,22,820,5,2,0,21,0,5,0,0,0,6,3,3,26
24,11,14,12,10,26,46,0,0,0,0,0,1,1,4,21002,4,2,5,22,822,4,1,0,13,0,6,0,0,0,9,1,3,40
20,4,23,8,15,19,46,0,0,0,0,0,1,1,3,212,3,6,6,22,1443,3,1,0,28,0,3,0,0,0,5,5,2,46
28,13,14,11,12,23,6,0,0,0,0,0,1,1,4,10,4,2,7,22,1447,4,2,0,17,0,6,0,2,0,7,2,3,20
12,7,23,1,19,15,80,0,0,0,0,1,1,1,0,20222,0,10,8,22,1516,0,4,0,45,0,1,0,0,0,4,3,0,70
13,6,20,4,19,15,33,0,0,0,0,0,1,1,10,1120,10,5,9,22,1786,10,4,0,35,0,3,0,2,0,2,5,3,56
12,2,24,5,15,24,60,0,0,0,0,0,1,1,10,22020,8,7,10,22,1788,8,3,0,35,0,0,1,2,0,7,1,4,53
12,10,7,10,8,14,53,0,0,0,0,0,1,1,5,1122,5,2,11,22,15001,5,1,0,18,0,4,0,0,0,6,4,5,30
15,11,30,4,20,12,60,0,0,0,0,0,4,4,10,20202,10,8,12,30,229,10,7,0,51,0,4,0,0,0,5,3,3,60
17,3,33,5,14,15,40,0,0,0,0,0,4,4,10,21101,10,8,13,30,230,10,4,0,46,0,4,0,1,0,4,7,3,46
18,4,38,2,27,18,53,0,0,0,0,1,4,4,10,10122,10,10,14,30,231,10,7,0,59,0,2,0,0,0,3,5,3,60
10,6,12,7,10,25,26,0,0,0,0,0,4,4,8,2001,8,7,15,30,232,8,3,0,39,0,4,0,1,0,7,5,4,46
18,15,14,12,19,33,6,0,0,0,0,0,4,4,3,1000,3,4,16,30,537,3,4,0,32,0,6,0,2,0,8,3,5,16
12,9,18,10,18,24,26,0,0,0,0,0,4,4,3,2100,3,6,17,30,670,8,4,0,37,0,5,0,2,0,8,3,4,33
9,1,30,1,25,24,73,0,0,0,0,0,4,4,0,21122,0,13,18,30,673,0,8,0,68,0,0,1,0,0,4,3,2,86
16,5,27,6,14,17,53,0,0,0,0,0,4,4,10,21120,10,7,19,30,674,10,4,0,45,0,4,0,2,0,3,8,4,50
24,16,17,16,9,36,26,0,0,0,0,0,4,4,4,1200,4,3,20,30,675,4,0,0,18,0,5,0,2,0,13,2,7,20
22,12,24,14,17,34,53,0,0,0,0,0,4,4,5,11220,5,5,21,30,680,5,2,0,31,0,3,0,2,0,10,3,7,40
22,7,30,9,20,27,53,0,0,0,0,0,4,4,3,10122,3,6,22,30,681,5,4,0,37,0,5,0,0,0,8,3,4,46
18,8,17,13,12,26,20,0,0,0,0,0,4,4,3,11100,5,5,23,30,1750,3,2,0,32,0,4,0,2,0,8,5,6,36
11,2,29,3,20,14,60,0,0,0,0,0,4,4,10,2220,10,10,24,30,2014,10,5,0,55,0,2,0,2,0,3,7,3,80
20,14,14,15,14,35,46,0,0,0,0,0,4,4,4,1022,4,5,25,30,100081,4,2,0,26,0,8,0,0,0,10,3,2,26
10,10,19,11,9,23,53,0,0,0,0,0,4,4,3,21102,3,7,26,30,100087,3,1,0,37,0,1,0,0,0,8,6,7,40
20,13,31,8,14,20,66,0,0,0,0,0,4,4,8,21022,8,6,27,30,110724,3,4,0,38,0,4,0,0,0,8,3,5,36
10,3,35,1,27,16,0,0,0,0,0,0,10,10,0,0,0,12,28,30,245,0,11,0,73,0,0,1,2,0,3,2,2,0
15,1,30,3,34,17,0,0,0,0,0,0,10,10,0,0,0,9,29,29,246,10,8,0,59,0,2,0,0,0,2,5,3,0
13,2,47,2,39,20,0,0,0,0,0,1,10,10,0,0,0,11,30,29,247,10,9,0,64,0,1,0,0,0,4,1,3,0
24,13,15,12,18,25,0,0,0,0,0,0,10,10,0,0,0,6,31,29,634,3,3,0,33,0,8,0,2,0,6,6,0,0
23,7,27,4,30,19,0,0,0,0,0,0,10,10,0,0,0,9,32,30,1903,10,8,0,59,0,5,0,0,1,0,6,2,0
18,19,19,15,12,31,0,0,0,0,0,0,10,10,0,0,0,6,33,29,1904,3,2,0,31,0,4,0,1,0,10,2,5,0
23,9,17,17,18,35,0,0,0,0,0,0,10,10,0,0,0,3,34,29,1905,4,1,0,19,0,8,0,2,0,10,4,3,0
15,4,25,6,22,18,0,0,0,0,0,0,10,10,0,0,0,7,35,29,1906,8,6,0,46,0,5,0,2,0,4,5,2,0
23,20,18,16,12,26,0,0,0,0,0,0,10,10,0,0,0,3,36,29,1907,5,3,0,24,0,9,0,2,0,8,3,3,0
15,5,31,5,24,26,0,0,0,0,0,0,10,10,0,0,0,9,37,29,1908,8,4,0,48,0,1,0,1,0,6,5,4,0
23,12,32,11,10,20,0,0,0,0,0,0,10,10,0,0,0,5,38,29,1910,3,4,0,33,0,5,0,0,0,9,1,5,0
15,8,27,10,11,38,0,0,0,0,0,0,10,10,0,0,0,8,39,30,1913,3,2,0,37,0,1,0,0,0,12,1,6,0
19,17,21,14,14,25,0,0,0,0,0,0,10,10,0,0,0,6,40,29,1914,3,1,0,31,0,6,0,1,0,6,7,3,0
10,12,15,13,13,34,0,0,0,0,0,0,10,10,0,0,0,6,41,29,1915,3,2,0,32,0,3,0,2,0,10,3,5,0
19,11,31,7,21,27,0,0,0,0,0,0,10,10,0,0,0,9,42,29,100632,8,4,0,46,0,2,0,1,0,7,3,4,0
21,16,27,8,9,27,0,0,0,0,0,0,10,10,0,0,0,6,43,29,100634,8,2,0,35,0,2,0,0,0,8,4,7,0
19,6,19,9,14,17,0,0,0,0,0,0,10,10,0,0,0,4,44,29,100646,3,4,0,34,0,5,0,0,0,6,4,6,0
32,18,12,18,9,27,0,0,0,0,0,0,10,10,0,0,0,2,45,30,111380,4,2,0,19,0,9,0,2,0,10,4,3,0
13,2,31,2,30,14,73,0,0,0,0,0,13,13,0,22112,1,10,46,33,1,1,8,0,66,0,1,0,0,0,2,7,5,63
20,7,31,7,22,27,80,0,0,0,0,0,13,13,1,22220,3,9,47,33,2,3,7,0,57,0,1,0,2,0,7,2,7,66
17,12,30,6,28,23,53,0,0,0,0,0,13,13,1,2112,3,9,48,33,5,3,7,0,57,0,2,0,0,0,6,4,5,56
21,17,22,13,12,19,33,0,0,0,0,0,13,13,3,10120,3,4,49,33,7,3,4,0,38,0,5,0,2,0,6,6,8,40
12,5,34,1,41,19,80,0,0,0,0,0,13,13,0,22022,0,13,50,33,9,0,11,0,79,0,1,0,0,0,1,5,2,76
21,1,37,5,27,21,86,0,0,0,0,1,13,13,1,21222,2,10,51,33,10,2,7,0,58,0,3,0,0,0,6,4,3,66
26,3,21,14,17,20,26,0,0,0,0,0,13,13,3,20100,3,6,52,33,11,3,4,0,38,0,8,0,2,0,7,5,3,30
19,4,35,4,27,25,80,0,0,0,0,0,13,13,1,22220,1,10,53,33,13,1,8,0,59,0,4,0,2,0,6,3,2,60
11,16,24,3,29,28,60,0,0,0,0,0,13,13,1,22002,1,9,54,33,14,1,9,0,60,0,3,0,0,0,6,2,4,53
43,20,11,20,13,35,13,0,0,0,0,0,13,14,4,1001,4,1,55,33,17,4,1,0,11,0,13,0,1,0,13,3,2,16
29,8,34,16,27,22,20,0,0,0,0,0,13,13,3,200,5,6,56,33,18,5,5,0,37,0,8,0,2,0,10,1,3,43
31,14,21,17,16,24,20,0,0,0,0,0,13,13,3,10101,5,5,57,33,19,5,4,0,36,0,8,0,1,0,7,5,4,30
40,2,13,18,20,31,26,0,0,0,0,0,13,14,5,2010,4,1,58,33,94,4,3,0,21,0,12,0,2,0,8,5,4,16
34,19,11,19,16,39,6,0,0,0,0,1,13,14,4,10,4,2,59,33,95,4,2,0,18,0,12,0,2,0,11,3,3,3
29,13,23,15,25,32,100,0,0,0,0,0,13,13,3,22222,5,5,60,33,110,5,6,0,38,0,9,0,0,0,8,3,2,73
25,10,26,9,22,20,40,0,0,0,0,0,13,13,1,20200,3,7,61,33,144,3,6,0,48,0,5,0,2,0,6,4,5,50
23,11,19,12,22,22,33,0,0,0,0,0,13,13,1,12001,3,5,62,33,1799,3,6,0,44,0,6,0,1,0,5,5,6,56
21,6,23,10,30,32,13,0,0,0,0,0,13,13,1,10010,3,6,63,33,1808,3,6,0,48,0,3,0,2,0,6,5,7,46
29,9,34,11,22,21,53,0,0,0,0,0,13,13,1,20112,3,8,64,33,1925,3,5,0,46,0,5,0,0,0,8,3,4,50
14,15,20,8,32,26,33,0,0,0,0,0,13,13,1,121,3,7,65,33,1943,3,6,0,49,0,6,0,1,0,4,7,3,30
22,7,32,9,18,24,66,0,0,0,0,0,14,14,7,1222,3,11,66,44,3,3,7,0,62,0,7,0,0,0,11,4,4,36
12,18,57,1,32,17,86,0,0,0,0,0,14,14,6,12222,6,17,67,44,8,6,10,0,94,0,1,0,0,0,3,9,4,63
23,4,31,7,33,31,40,0,0,0,0,0,14,14,7,20020,8,11,68,44,12,8,7,0,63,0,6,0,2,0,11,4,5,53
29,20,31,15,21,29,53,0,0,0,0,0,14,14,3,12120,3,7,69,44,15,3,6,0,53,0,7,0,2,0,10,6,8,30
18,7,25,21,22,38,33,0,0,0,0,0,14,60,3,1102,5,9,70,44,91,5,3,0,46,0,9,0,0,0,13,6,4,56
19,8,26,8,19,27,80,0,0,0,0,0,14,14,7,22202,8,11,71,44,97,8,6,0,63,0,7,0,0,0,8,8,4,60
17,6,32,4,26,24,26,0,0,0,0,0,14,14,7,21000,7,12,72,44,106,7,9,0,76,0,3,0,2,0,7,6,7,46
17,9,28,10,24,27,20,0,0,0,0,0,14,14,7,200,3,10,73,44,109,3,4,0,60,0,4,0,2,0,8,10,8,30
20,8,32,16,24,49,46,0,0,0,0,1,14,60,3,122,3,11,74,44,1790,3,3,0,52,0,5,0,0,0,15,4,6,43
32,13,48,14,19,34,6,0,0,0,0,0,14,14,3,1000,3,9,75,44,1792,3,4,0,53,0,5,0,2,0,12,6,8,20
16,2,32,3,28,19,20,0,0,0,0,0,14,13,7,20,7,15,76,44,1794,7,12,0,86,0,4,0,2,0,6,4,3,53
21,11,26,12,25,37,20,0,0,0,0,0,14,14,3,2000,3,12,77,44,1795,3,4,0,56,0,7,0,2,0,13,5,3,26
7,1,32,2,29,8,86,0,0,0,0,0,14,13,6,21222,6,13,78,44,1796,6,13,0,94,0,0,1,0,0,2,7,9,86
24,5,38,6,24,33,46,0,0,0,0,0,14,14,7,2120,7,13,79,44,1800,7,6,0,66,0,6,0,2,0,10,6,3,53
20,12,25,18,20,35,13,0,0,0,0,0,14,14,3,11000,5,7,80,44,1801,5,3,0,49,0,3,0,2,0,12,7,12,23
23,16,29,17,16,37,53,0,0,0,0,0,14,14,3,11220,5,8,81,44,1806,5,4,0,50,0,5,0,2,0,13,5,9,50
31,3,29,13,29,36,26,0,0,0,0,0,14,14,3,1002,3,6,82,44,1807,3,9,0,56,0,9,0,0,0,9,4,7,36
18,14,34,5,23,31,66,0,0,0,0,0,14,14,7,22120,7,13,83,44,1919,7,4,0,67,0,3,0,2,0,8,10,6,60
22,3,24,22,17,42,53,0,0,0,0,0,14,13,3,11022,4,8,84,44,1923,4,4,0,46,0,7,0,0,0,15,3,7,60
37,1,39,24,9,48,60,0,0,0,0,0,14,14,5,20202,4,9,85,44,1929,4,1,0,43,0,6,0,0,0,15,6,7,43
29,19,29,19,15,33,46,0,0,0,0,0,14,60,3,20201,5,10,86,44,1951,5,2,0,49,0,7,0,1,0,12,8,5,36
27,15,24,20,19,25,46,0,0,0,0,0,14,14,3,20102,5,5,87,44,1952,5,7,0,48,0,9,0,0,0,11,4,8,50
21,10,30,11,18,31,100,0,0,0,0,0,14,14,7,22222,3,10,88,44,1960,3,7,0,60,0,7,0,0,0,11,4,5,66
27,21,24,23,22,42,20,0,0,0,0,0,14,14,5,11001,4,7,89,44,1961,4,2,0,43,0,10,0,1,0,9,11,5,23
14,17,22,11,19,31,46,0,0,0,0,1,16,17,3,12200,3,7,90,30,57,3,3,0,38,0,3,0,2,0,9,3,5,50
18,2,15,8,20,15,60,0,0,0,0,0,16,16,1,20202,3,6,91,30,64,3,7,0,45,0,7,0,0,0,4,4,2,40
16,5,28,4,19,16,60,0,0,0,0,0,16,16,1,2022,2,10,92,30,65,2,5,0,53,0,2,0,0,0,5,5,3,60
18,7,30,6,28,23,60,0,0,0,0,0,16,16,1,20220,3,9,93,30,66,3,6,0,51,0,3,0,2,0,6,4,2,70
16,6,36,3,21,19,66,0,0,0,0,0,16,16,1,22021,1,11,94,30,69,1,5,0,54,0,2,0,1,0,6,3,3,56
37,12,16,18,6,34,0,0,0,0,0,0,16,16,5,0,4,3,95,30,70,4,1,0,15,0,9,0,2,0,14,0,3,0
17,16,16,14,19,33,46,0,0,0,0,0,16,16,3,20201,5,4,96,30,71,5,3,0,31,0,5,0,1,0,8,5,5,33
15,9,31,5,25,23,33,0,0,0,0,0,16,16,1,10012,2,9,97,30,72,2,5,0,51,0,2,0,0,0,5,5,4,56
12,1,41,1,42,16,86,1,0,0,1,1,16,16,0,22221,0,13,98,30,73,0,11,0,78,0,0,1,1,1,0,4,2,93
17,4,23,10,22,23,60,0,0,0,0,0,16,16,3,2022,3,8,99,30,74,3,4,0,38,0,7,0,0,0,9,1,1,60
15,15,26,7,22,22,73,0,0,0,0,0,16,16,1,22211,3,8,100,30,76,3,6,0,51,0,1,0,1,0,6,4,5,80
20,3,33,2,29,22,40,0,0,0,0,0,16,16,1,202,1,8,101,30,219,1,9,0,55,0,3,0,0,0,6,0,4,50
21,14,28,9,20,28,53,0,0,0,0,0,16,16,1,12210,3,8,102,30,378,3,5,0,44,0,4,0,2,0,8,2,3,53
23,11,17,13,15,19,66,0,0,0,0,0,16,16,3,12022,3,4,103,30,379,3,4,0,32,0,8,0,0,0,6,4,4,33
