overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,90,88,1,222665
2,89,87,1,234378
1,88,87,1,243715
-1,85,86,2,202811
-1,86,87,5,257534
1,91,90,9,203376
-1,90,91,9,209331
2,91,89,10,192985
-1,85,86,13,233731
-1,84,85,13,241096
-1,84,85,13,247851
1,91,90,21,202126
1,89,88,21,212622
3,88,85,22,215441
-1,86,87,73,231443
-1,84,85,73,247635
2,88,86,237,241651
-2,84,86,240,246191
3,88,85,241,244260
2,89,87,241,251854
1,91,90,243,238794
3,91,88,243,239053
-2,88,90,243,252371
-2,83,85,461,262621
2,88,86,607,165153
3,88,85,112387,204485
2,88,86,115995,244302
3,88,85,116009,227110
3,90,87,116009,245802
3,89,86,116009,245872
2,88,86,116009,265239
-1,84,85,116013,227255
-1,83,84,116033,227331
-1,87,88,116033,227361
-1,87,88,116033,245956
-2,83,85,116033,278219
2,88,86,116034,237197
1,89,88,116034,246272
2,88,86,116034,247504
-1,84,85,116035,246641
-1,89,90,116325,227203
1,92,91,116325,241667
2,90,88,116325,241846
-1,83,84,116325,242896
-1,84,85,116325,269404
-2,84,86,131681,232656
-1,84,85,131681,241721
-1,85,86,131682,208128
-2,83,85,131682,226268
-2,85,87,131682,237383
