overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,81,84,83,82,86,82,1,82,86
-1,79,80,81,83,82,79,5,82,81
1,76,77,76,76,76,77,7,76,76
-1,73,73,74,73,73,72,17,73,73
-1,80,80,81,80,83,79,18,80,82
1,77,79,78,81,78,77,19,81,79
-1,81,80,81,85,79,80,22,84,79
1,74,77,76,81,76,73,23,81,77
1,75,77,76,76,76,75,36,78,76
-1,74,74,75,77,75,73,38,77,76
-1,79,79,80,81,79,78,45,79,77
1,75,77,76,76,76,76,54,76,75
1,77,78,77,76,78,77,69,77,78
-1,76,76,77,76,77,76,72,76,76
-1,74,75,76,76,73,73,74,76,72
-1,75,74,75,77,74,73,94,77,73
-1,74,74,75,77,75,73,95,77,74
1,76,77,76,77,76,76,110,78,78
1,78,78,77,76,77,79,144,75,77
-1,76,76,77,77,77,75,175,76,76
2,76,78,76,75,77,77,189,76,80
-1,77,77,78,76,79,76,219,76,78
1,75,77,76,75,76,75,236,75,78
1,84,86,85,88,85,84,243,89,85
1,75,79,78,78,78,77,247,80,79
1,78,80,79,85,78,78,325,87,79
-1,76,75,76,76,76,76,327,73,75
-1,75,75,76,75,76,74,378,74,75
1,72,76,75,80,75,73,436,83,76
-1,74,73,74,77,73,72,452,75,73
-1,74,74,75,74,75,72,472,75,75
-1,75,75,76,78,76,74,479,77,76
1,76,78,77,82,78,76,605,82,80
1,79,78,77,77,76,78,1824,78,77
-1,74,74,75,75,76,73,10029,73,74
2,75,79,77,78,76,77,110374,79,77
1,78,81,80,82,79,79,112172,82,80
-3,78,76,79,80,79,76,115841,80,76
-1,82,82,83,82,81,81,115995,83,82
-1,78,78,79,79,81,77,115997,79,81
1,83,84,83,84,84,85,116009,85,85
-1,78,76,77,79,77,77,116011,77,76
2,79,81,79,79,80,81,116012,80,83
-2,73,73,75,76,76,71,116013,75,74
1,74,77,76,77,77,76,116014,78,78
-1,77,76,77,81,77,76,116015,80,75
1,85,86,85,85,84,85,116033,87,85
1,75,77,76,77,76,76,116036,78,78
-1,76,74,75,73,74,75,116037,73,74
1,83,85,84,86,84,84,131682,87,85
