fl_lipUpper_NR_SCX_R_A,fl_eyelids_NR_ICX_R_A,fl_lipUpper_NL_SCX_D_U,fl_buccomandibularGroove_NR_XXX_L,mu_platysma_NR_ILX_N_W,fl_lipUpper_NL_SXX_B_F,mu_masseter_NR_XXX_L_M,fl_lipLower_NR_ICX_B_F,mu_platysma_NR_ILX_D,fl_lipLower_NL_IXX_R_A,fl_eyelids_NR_SLX_R_A,fl_lipUpper_NR_SLX_B_F,fl_lipLower_NL_IXX_B_F,fl_epicanthic_NL_XCX_D_U,fl_lipUpper_NL_SXX_R_A,fl_lipLower_NR_ILX_R_A,fl_lipUpper_NN_SMX_N_W,fl_lipLower_NR_ILX_D_U,fl_lipUpper_NL_SXX_D_U,mu_temporalis_NR_XXX_L_M,fl_lipLower_NR_ICX_D_U,fl_lip_NN_XMX_B_F,mu_trapezius_NN_SXX_L_M,fl_eyelids_NL_SLX_N_W,fl_eyelids_NR_ICX_D_U,fl_nasojugalGroove_NR_XXX_L_M,fl_lip_NR_XCX_D_U,mu_sternomastoid_NL_XXX_R_A,fl_eyelids_NL_XLX_D_U,fl_lipUpper_NR_SCX_D_U,mu_masseter_NL_XXX_L_M,fl_eyelids_NR_SMX_R_A,fl_lipLower_NR_SLX_B_F,fl_lip_NL_XLX_D_U,fl_lip_NN_XMX_R_A,fl_lipUpper_NR_ILX_R_A,fl_eyelids_NR_SCX_N_W,mu_platysma_NN_SMX_D_U,fl_lipUpper_NN_IMX_D_U,fl_eyelids_NR_ILX_D_U,fl_lipLower_NR_IXX_N_W,fl_nasojugalGroove_NL_XXX_L_M,fl_lipLower_NN_IMX_SL_SR,fl_lipLower_NL_SLX_R_A,fl_epicanthic_NR_XMX_D_U,fl_lipUpper_NL_ILX_B_F,mu_platysma_NL_SLX_D,fl_lipUpper_NR_SXX_N_W,mu_procerus_NN_XXX_D_U,fl_lipUpper_NL_ILX_R_A,fl_lipLower_NR_SLX_N_W,fl_lip_NR_XLX_D_U,fl_eyelids_NL_SLX_R_A,fl_lip_NL_XCX_N_W,fl_lipLower_NL_SLX_B_F,fl_eyelids_NL_SMX_R_A,fl_lipUpper_NR_ILX_N_W,fl_epicanthic_NR_XCX_B_F,fl_lipLower_NN_IMX_D_U,fl_eyelids_NL_SCX_D_U,fl_eyelids_NR_SLX_N_W,fl_lipLower_NL_IXX_N_W,fl_eyelids_NR_XLX_D_U,fl_eyelids_NR_SMX_N_W,fl_eyelids_NL_ILX_D_U,fl_oromentalGroove_NR_XXX_L,fl_epicanthic_NR_XLX_D_U,fl_nasolabialGroove_NL_SXX_L_M,fl_eyelids_NR_XMX_D_U,fl_lipUpper_NN_SMX_B_F,mu_platysma_NR_SLX_D,fl_buccalRecess_NL_XXX_D_U,fl_epicanthic_NL_XLX_D_U,fl_epicanthic_NR_XLX_R_A,fl_nasojugalGroove_NL_XXX_D_U,fl_lipLower_NR_IXX_R_A,fl_lipLower_NN_SMX_SL_SR,mu_procerus_NN_XXX_L_M,mu_platysma_NL_SLX_N_W,fl_lipLower_NN_IMX_R_A,fl_eyelids_NL_SCX_R_A,fl_lipUpper_NR_SXX_B_F,fl_lipLower_NN_IMX_B_F,fl_eyelids_NL_IMX_D_U,fl_epicanthic_NR_XCX_D_U,fl_lipLower_NL_SLX_N_W,fl_lipUpper_NL_SLX_D_U,fl_lipUpper_NN_SMX_R_A,fl_epicanthic_NL_XMX_N_W,fl_lip_NR_XLX_B_F,fl_lipLower_NL_ICX_D_U,fl_eyelids_NL_IMX_N_W,fl_buccalRecess_NR_XXX_L_M,fl_lipLower_NL_SLX_D_U,fl_lipUpper_NL_SLX_N_W,fl_epicanthic_NR_XMX_R_A,fl_lip_NN_XMX_N_W,fl_eyelids_NR_SCX_R_A,mu_platysma_NR_SLX_N_W,fl_epicanthic_NL_XLX_N_W,mu_trapezius_NN_SXX_D_U,fl_orbitalGroove_NL_IXX_L_M,fl_philtrum_NN_XXX_D_U,fl_eyelids_NR_ILX_R_A,fl_nasojugalGroove_NR_XXX_D_U,mu_corrugator_NR_XXX_D_U,fl_lipUpper_NR_ILX_D_U,mu_platysma_NN_IMX_D,fl_lip_NL_XLX_R_A,fl_eyelids_NL_SCX_N_W,fl_oromentalGroove_NL_XXX_L,fl_lip_NN_XMX_D_U,fl_lipLower_NN_IMX_N_W,fl_philtrum_NN_XXX_N_W,fl_eyelids_NR_SMX_D_U,fl_epicanthic_NL_XMX_B_F,fl_epicanthic_NR_XLX_N_W,fl_eyelids_NR_XMX_N_W,fl_eyelids_NL_SCX_F,fl_lipLower_NR_SLX_D_U,fl_lip_NL_XCX_D_U,fl_lipLower_NL_ICX_N_W,fl_mandibularGroove_NR_XXX_L,fl_lip_NR_XCX_R_A,fl_epicanthic_NL_XMX_R_A,fl_eyelids_NL_XLX_R_A,fl_lip_NL_XLX_B_F,fl_epicanthic_NR_XCX_N_W,fl_lipLower_NR_ICX_R_A,fl_chinCleft_NN_XXX_SL_SR,fl_lipUpper_NR_ILX_B_F,mu_sternomastoid_NL_XXX_L_M,fl_epicanthic_NL_XMX_D_U,fl_lipUpper_NR_SCX_B_F,fl_lip_NL_XCX_R_A,fl_nasolabialGroove_NL_IXX_L,fl_lipLower_NR_SLX_R_A,mu_corrugator_NL_XXX_L_M,fl_epicanthic_NL_XCX_R_A,fl_lip_NL_XCX_B_F,fl_lipUpper_NN_IMX_N_W,fl_chinCleft_NN_XXX_D_U,mu_corrugator_NL_XXX_D_U,fl_eyelids_NR_SLX_D_U,fl_nasolabialGroove_NR_SXX_L_M,fl_philtrum_NN_XXX_R_A,fl_epicanthic_NL_XLX_B_F,fl_eyelids_NR_XLX_N_W,fl_lipLower_NL_IXX_D_U,fl_lipLower_NL_ICX_B_F,fl_lipUpper_NL_SCX_R_A,fl_eyelids_NL_ILX_N_W,fl_eyelids_NR_SCX_D_U,fl_mandibularGroove_NL_XXX_L,fl_epicanthic_NL_XCX_B_F,fl_lipUpper_NN_IMX_SL_SR,fl_eyelids_NR_IMX_R_A,fl_lip_NR_XLX_N_W,fl_lipLower_NR_ILX_B_F,mu_corrugator_NR_XXX_L_M,fl_lipUpper_NL_SCX_B_F,fl_eyelids_NR_ICX_N_W,fl_lipLower_NL_ICX_R_A,fl_philtrum_NN_XXX_B_F,fl_eyelids_NL_XMX_R_A,fl_lipUpper_NR_SLX_R_A,fl_lip_NR_XCX_N_W,fl_lipUpper_NL_SLX_R_A,fl_epicanthic_NR_XMX_N_W,fl_lipUpper_NN_SMX_D_U,fl_lipLower_NR_ILX_N_W,fl_epicanthic_NR_XCX_R_A,fl_lipLower_NL_ILX_B_F,fl_eyelids_NL_IMX_R_A,fl_lipUpper_NR_SXX_D_U,fl_eyelids_NR_SCX_F,mu_platysma_NN_SMX_N_W,fl_lipLower_NL_ILX_R_A,fl_eyelids_NR_ILX_N_W,fl_buccalRecess_NR_XXX_D_U,fl_epicanthic_NL_XLX_R_A,fl_lipUpper_NL_SLX_B_F,fl_lipLower_NR_IXX_D_U,mu_sternomastoid_NR_XXX_L_M,mu_platysma_NL_ILX_D,fl_lipUpper_NN_IMX_B_F,fl_eyelids_NR_XMX_R_A,fl_eyelids_NL_ILX_R_A,fl_orbitalGroove_NR_IXX_L_M,fl_buccomandibularGroove_NL_XXX_L,mu_platysma_NL_ILX_N_W,fl_eyelids_NL_ICX_R_A,fl_eyelids_NR_XLX_R_A,fl_lip_NL_XLX_N_W,fl_lipLower_NN_SMX_R_A,mu_sternomastoid_NR_XXX_R_A,fl_eyelids_NL_SMX_D_U,fl_buccalRecess_NL_XXX_L_M,fl_eyelids_NL_ICX_D_U,fl_eyelids_NL_XMX_N_W,fl_lipLower_NN_SMX_D_U,fl_epicanthic_NR_XMX_B_F,fl_lipUpper_NR_SLX_N_W,fl_nasolabialGroove_NR_IXX_L,fl_lipUpper_NR_SCX_N_W,fl_lipUpper_NL_ILX_D_U,fl_epicanthic_NR_XLX_B_F,fl_eyelids_NL_XLX_N_W,fl_lip_NR_XLX_R_A,fl_eyelids_NL_SLX_D_U,fl_eyelids_NR_IMX_N_W,mu_temporalis_NL_XXX_L_M,fl_lipUpper_NL_SXX_N_W,fl_lipLower_NR_ICX_N_W,fl_lip_NR_XCX_B_F,fl_lipUpper_NN_SMX_SL_SR,fl_lipLower_NL_ILX_D_U,fl_lipLower_NN_SMX_B_F,fl_lipUpper_NR_SXX_R_A,fl_epicanthic_NL_XCX_N_W,fl_lipUpper_NN_IMX_R_A,fl_philtrum_NN_XXX_SL_SR,fl_lipLower_NL_ILX_N_W,fl_lipLower_NR_IXX_B_F,fl_eyelids_NL_ICX_N_W,fl_eyelids_NL_SMX_N_W,fl_eyelids_NL_XMX_D_U,fl_lipUpper_NL_SCX_N_W,fl_lipUpper_NR_SLX_D_U,fl_lipLower_NN_SMX_N_W,fl_lipUpper_NL_ILX_N_W,fl_eyelids_NR_IMX_D_U,assetid
-13,12,24,0,-23,-39,0,16,0,-12,-24,9,-32,39,4,17,-38,22,-11,-16,22,-49,-7,40,19,11,-4,28,8,20,2,1,-70,-3,8,-7,3,-42,-2,0,-22,20,5,35,5,-29,0,1,-3,-6,-12,0,-26,-19,-70,-1,-20,19,50,47,34,-35,5,32,0,0,-29,-27,21,-12,0,15,-33,7,30,-10,-3,2,-32,-19,-41,-36,1,70,38,-13,9,-32,-26,-31,18,-14,6,-8,-40,3,20,-39,-31,-30,-1,8,18,-24,32,9,-6,0,29,3,0,16,21,47,0,-52,-25,11,0,-7,-2,7,0,-5,-1,-29,-23,-29,8,-10,-28,29,4,-11,-5,0,37,49,13,-56,44,-7,6,3,-26,4,43,-33,-16,19,-19,0,43,0,17,6,-12,38,15,58,-5,-14,7,16,50,-37,-3,-30,-24,-8,-65,10,13,-14,-6,0,93,16,-1,14,13,11,-15,28,0,-26,51,-32,22,0,-22,11,-24,34,-17,30,0,-2,17,11,2,-60,-35,0,29,-5,42,-30,28,5,-15,-12,1,22,-57,2,21,-19,2,-26,-16,0,-72,-28,-15,31,22,11,9,-5,-26,70,1346
-46,37,42,0,-7,-3,-24,60,0,-10,-35,75,35,7,7,-9,-38,71,-21,-8,39,4,47,61,-22,-15,28,26,20,45,-27,5,-31,-5,22,-8,-21,12,-23,0,-74,-20,47,18,-36,-1,0,8,10,-10,-33,-9,-34,-3,-34,7,-51,25,57,45,61,-70,10,23,6,0,-81,-4,28,-20,0,13,-64,25,96,-8,28,40,-31,-51,-58,0,32,67,-4,-33,-23,-22,-52,5,38,-20,-5,7,-39,-29,-6,-61,-36,-63,33,0,-23,0,81,75,-13,0,58,-25,0,18,35,56,-13,-8,-66,-10,0,6,30,-13,0,7,-36,10,3,-77,-12,-20,0,-11,-44,-17,9,0,15,-26,10,-15,35,-14,68,-12,-11,-15,2,-24,-16,58,-37,31,45,0,12,46,-6,8,64,-40,-17,-12,-12,-11,67,-34,-9,-39,-44,-15,-43,-5,65,-6,-23,0,18,-5,32,11,28,71,-15,-9,0,-34,69,-6,10,0,-10,37,13,15,3,26,-16,-11,-9,-21,-2,-7,-44,0,-37,-15,9,-14,60,0,-21,-6,8,-24,-13,33,70,2,8,-77,-21,35,-48,38,-4,17,9,-26,-26,1,-50,70,3800
-27,25,29,0,-8,-33,42,27,0,-27,-22,49,11,43,8,11,-2,3,-14,22,17,0,1,48,-40,29,-34,10,-36,31,39,25,-36,15,39,8,-3,9,-45,-5,-40,36,33,19,-10,0,0,13,9,6,-29,24,-23,-5,-34,14,-23,3,44,29,45,-40,-1,24,-11,0,-42,12,49,-9,0,-9,-20,23,26,-27,15,10,-6,-31,-37,-37,2,68,10,-29,-44,-24,-38,-33,20,2,51,-40,-22,-11,21,-32,0,-42,6,35,23,-19,36,38,-52,0,-18,18,0,11,30,76,26,-43,-45,-19,0,-38,-36,-6,0,26,0,2,-29,-55,-11,-3,-3,-16,13,-10,30,0,22,69,17,-7,32,-8,57,-3,13,6,39,-15,-32,29,-31,1,25,0,0,33,-4,41,30,69,-9,-22,-10,2,48,-35,-3,-34,-34,-9,-34,-3,37,-6,-6,0,28,5,-7,-11,27,52,-31,-17,0,-45,44,-16,43,0,-6,14,-4,40,2,14,11,32,-26,-13,14,-50,-22,0,1,-56,49,-21,-15,-24,-3,16,15,6,-7,23,-2,6,8,-37,-9,16,-29,7,-9,31,51,-13,-40,0,-24,60,70163
-18,47,29,0,-9,0,-13,50,0,-1,-18,55,12,30,12,-14,-24,46,-19,31,5,-18,9,26,44,52,0,31,-29,31,-12,9,-47,6,24,-14,-4,-7,-17,45,-41,54,45,18,-8,-13,0,10,14,-9,-14,19,-18,-9,-49,8,-19,2,40,61,28,-49,-38,22,50,0,-36,-23,63,0,0,19,-25,12,87,-1,21,-16,-4,-34,-38,-2,10,89,22,-16,-13,-41,-32,-43,6,-9,80,-14,-16,-8,12,-37,-11,-9,16,58,15,-7,90,19,0,0,50,-7,0,14,39,87,14,-29,-11,19,0,-10,-3,5,0,2,-7,14,-41,-47,-3,-13,-12,-4,-7,-4,10,0,17,5,-3,-27,40,9,32,-44,-24,5,30,1,-25,52,-25,5,57,0,-3,38,-9,52,38,-5,-1,-15,-2,21,46,-36,-3,-29,-31,-58,-46,-11,41,-12,-12,0,55,-12,4,14,3,58,-23,-3,0,-31,42,-14,77,0,-12,43,12,52,-6,28,8,86,43,21,5,-29,-14,0,30,-7,37,-3,50,-49,-13,27,11,21,-29,25,39,-6,10,-46,-6,21,-46,12,-12,23,47,12,-7,6,-20,95,70293
-16,32,31,0,0,-39,7,-7,0,-38,13,18,-36,12,9,-1,-26,41,11,0,34,-56,-13,20,-35,22,6,-2,92,29,9,7,-66,21,-5,-11,11,3,23,21,-26,18,24,33,-58,-32,0,20,27,-12,-6,25,12,-9,-67,10,-23,-5,47,64,23,-38,93,25,19,0,7,-3,-42,-12,0,-2,7,17,-20,-38,7,-9,-2,-9,-10,-39,-23,10,3,-6,-26,-27,23,-46,33,0,22,-8,-47,-25,25,-11,-4,-36,5,60,58,5,-17,13,-5,0,44,5,0,58,30,48,8,3,-42,42,0,-7,4,8,0,2,-23,-2,-41,-31,-21,-6,-33,12,-51,-33,6,0,34,-19,11,-65,62,22,6,42,-1,-13,32,-10,-5,-3,-20,-1,64,0,-7,23,-7,64,43,-16,-29,-1,-19,25,15,-33,-2,-31,23,29,-58,5,40,-4,12,0,27,1,3,-8,9,19,-3,12,0,-34,14,2,54,0,-2,34,-4,58,23,-4,11,12,-34,40,40,9,-42,0,38,-6,31,-7,46,45,2,-3,19,19,-67,12,39,-8,9,-36,-12,10,-62,-33,-7,22,-40,26,-26,8,-25,10,70817
-22,50,37,0,-1,-24,-7,16,0,-21,7,46,-11,-12,13,-7,-25,16,5,-19,23,-26,-15,21,28,62,-1,0,44,32,-6,24,-52,30,20,-10,37,7,-13,39,-21,68,20,26,-22,-22,0,26,34,-16,-7,25,4,-13,-52,21,-11,4,42,40,23,-29,43,42,43,0,-40,41,19,10,0,6,-36,17,25,-21,4,-55,2,-21,-12,-21,-9,65,-20,-7,-34,-25,18,-41,24,7,50,-15,-29,-28,24,-9,0,-30,0,65,52,12,24,20,-20,0,43,35,0,36,27,44,28,0,-26,70,0,-19,2,0,0,15,-24,2,-37,-23,-16,-6,-19,-3,-18,-3,17,0,29,-1,-1,-39,45,18,30,-8,45,2,44,5,-14,20,-23,0,39,0,-1,14,-5,55,46,-9,1,14,-16,41,31,-23,-3,-20,20,-12,-29,-11,42,-5,2,0,25,-6,-2,7,16,45,-15,-1,0,-18,31,8,68,0,-2,51,1,56,25,-2,22,45,34,68,35,3,-22,0,3,-17,44,-3,43,-14,7,-18,26,10,-39,7,17,17,12,-23,-9,3,-35,-8,14,40,12,-9,-43,8,-18,67,70830
-12,32,10,0,-1,-23,-37,5,0,-15,-1,17,-9,12,5,-6,-27,33,-6,9,24,-37,-3,27,-10,51,25,-1,40,7,-37,14,-58,37,4,-24,3,-1,2,-6,-12,39,17,31,-11,-23,0,11,17,-22,-8,38,-2,-6,-57,13,-9,-44,45,26,28,-21,36,12,-6,0,-21,-21,4,-6,0,-8,-17,21,-13,-16,9,31,-5,-25,-19,-21,0,61,8,-8,-3,-39,-11,-32,26,0,27,-4,-27,-26,23,-20,-3,-38,2,33,36,0,-7,55,8,0,52,-2,0,40,36,66,-7,-23,-37,34,0,-5,22,8,0,-9,-22,-6,-31,-42,-18,-9,-23,0,-8,-22,-9,0,30,15,6,-55,46,23,45,24,-16,-7,33,-23,2,6,-15,0,23,0,-44,23,-12,49,31,16,-20,-18,-18,12,24,-42,3,-36,-12,-15,-47,1,29,-14,-5,0,22,-4,0,-7,22,19,4,-2,0,-27,24,-2,48,0,0,35,-4,51,19,0,-2,29,-13,35,31,-21,-21,0,32,6,33,-22,51,27,0,13,11,20,-54,14,31,-1,8,-46,-6,11,-52,-7,-20,11,4,22,-1,2,-13,60,70834
-9,37,-5,0,-5,-51,-5,-4,0,-46,-8,26,-54,-26,2,0,0,16,-4,42,44,-73,0,38,35,39,23,-1,-12,-10,-5,-2,-76,33,-1,-7,24,13,8,52,-35,44,32,28,-22,-19,0,9,20,-16,-16,28,-7,-34,-74,-4,-21,-22,69,43,36,-40,-6,23,46,0,-50,9,35,-18,0,2,-45,4,61,-45,4,-25,-8,-11,-21,-42,-30,52,-24,-15,-9,-11,-6,-50,43,6,15,-14,-22,-34,20,-19,-6,9,3,11,49,2,64,34,-10,0,21,30,0,28,28,52,-11,-14,12,29,0,-19,28,20,0,0,-35,6,-49,-22,-19,-11,-14,-38,-24,-42,0,0,32,17,15,-71,56,18,41,-27,11,4,21,9,-20,-2,-8,14,33,0,-23,28,-12,62,36,15,-39,3,-20,21,40,-43,-24,-38,-7,1,-40,8,32,-16,-9,0,21,-3,7,5,11,24,-21,-37,0,-37,38,2,20,0,-5,37,0,64,-7,1,-10,29,26,35,44,-20,-12,0,28,-8,24,5,19,-42,1,35,7,26,-70,20,15,-25,1,-20,-14,15,-48,-49,12,26,30,20,-16,1,-28,56,71101
-12,30,23,0,-1,-14,-6,32,0,-11,-5,37,1,-17,10,-11,-6,17,0,-14,-6,3,-1,6,-17,77,0,11,-16,15,-6,19,-30,39,33,-10,12,-4,-21,-9,-10,89,7,16,-11,-28,0,14,28,-15,0,30,-7,6,-33,17,-4,0,26,10,6,-18,1,20,-13,0,-49,4,50,12,0,-3,-44,-1,45,-10,-4,-14,3,-24,-15,-4,7,57,-24,2,-50,-34,6,-21,-6,17,20,3,-36,-13,19,-17,1,10,4,44,58,9,52,-2,-6,0,61,21,0,5,33,63,50,-35,15,15,0,0,4,9,0,11,-13,-4,-17,-26,-10,-9,-21,18,-4,5,12,0,16,20,-5,-5,33,0,5,-18,11,-4,19,10,-8,36,-13,-12,6,0,-8,3,-1,26,32,29,11,-23,-9,25,26,-19,20,-14,0,10,-29,-16,23,0,-3,0,27,-9,-16,-2,2,32,-6,20,0,-2,24,5,40,0,-1,28,-7,26,18,13,47,30,-12,22,24,-32,-22,0,15,-4,18,2,60,-32,14,-12,14,12,-3,-4,19,8,10,-16,-4,-4,-42,7,-17,22,54,1,-58,20,-13,56,71191
-34,34,-25,0,-3,-21,-54,18,0,2,-7,22,10,15,0,10,-6,26,-43,7,32,-17,-14,38,2,35,-18,1,-3,-26,-50,-3,-52,29,18,0,30,-1,-16,11,-31,35,20,35,11,-18,0,6,18,0,-12,26,-8,-5,-50,-3,-12,-13,19,65,39,-31,-11,33,13,0,-39,1,26,-4,0,-10,-33,-7,36,1,11,-7,-14,-26,-41,-23,19,52,11,-11,-32,-45,-2,9,35,6,27,-34,-40,-25,32,-41,-16,-32,-3,11,24,10,32,63,-38,0,42,33,0,19,23,61,-1,-35,-29,39,0,-35,-17,-6,0,15,-28,7,9,7,-8,-2,-21,10,7,0,16,0,37,22,8,-37,31,56,70,-49,-3,2,23,-29,2,17,-34,23,63,0,-15,21,-7,15,18,27,-1,24,-7,6,35,-26,-8,-29,-3,-42,-58,8,21,-5,-43,0,32,10,20,-7,1,22,0,11,0,-18,34,12,16,0,-4,35,9,15,14,0,-6,29,2,44,25,-35,-43,0,4,-38,22,-31,44,-39,5,10,5,0,-37,20,27,4,2,2,-23,13,-52,7,28,31,20,5,-32,-1,-11,57,72093
