overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,81,84,83,83,85,82,1,83,86
1,80,82,81,84,80,81,2,85,81
1,80,81,80,81,82,81,5,81,82
1,75,77,76,75,76,76,7,75,77
-1,85,83,84,83,84,85,9,83,83
-1,80,79,80,77,76,80,11,75,76
1,79,79,78,81,78,80,14,79,79
-1,73,73,74,73,73,73,17,73,72
1,81,82,81,82,79,82,22,83,81
-1,74,75,76,79,76,74,23,78,76
2,80,81,79,78,78,81,52,77,80
-1,73,72,73,71,74,72,57,71,73
1,76,78,77,78,77,77,66,80,78
-1,75,75,76,76,73,74,74,75,73
-1,73,73,74,76,75,72,76,76,75
-1,75,74,75,77,74,74,94,77,74
1,75,77,76,76,77,76,110,75,78
1,76,78,77,78,76,77,175,78,77
-1,78,78,79,79,79,78,234,79,78
1,74,77,76,75,76,76,236,76,78
1,78,80,79,86,79,78,237,88,80
1,83,86,85,88,85,83,243,89,86
1,74,77,76,76,77,75,245,77,78
-1,75,75,76,74,74,74,246,72,72
1,77,80,79,85,79,78,325,86,81
-1,75,75,76,82,76,75,327,80,75
-2,75,74,76,75,76,74,378,74,74
-1,73,74,75,77,75,72,436,77,74
1,80,81,80,75,80,81,448,74,81
-1,77,77,78,77,77,76,449,76,77
-1,76,76,77,76,76,76,461,75,74
-1,76,76,77,73,78,76,480,73,77
-1,76,75,76,74,75,75,481,70,75
1,76,78,77,80,79,76,605,81,80
1,78,79,78,77,78,79,1799,77,79
1,77,79,78,78,77,79,1808,79,78
-1,75,74,75,72,74,75,1831,74,75
-1,76,76,77,80,76,75,1925,81,76
1,78,80,79,80,80,78,115845,81,80
-1,74,74,75,74,74,73,115996,74,73
1,78,80,79,79,81,80,115997,80,83
-1,79,78,79,79,79,79,116012,78,78
-1,74,75,76,77,77,73,116014,77,76
1,77,78,77,80,75,77,116015,81,76
1,78,82,81,82,81,79,116017,83,82
-1,73,73,74,75,74,72,116021,73,73
1,85,86,85,86,87,86,116325,88,88
1,79,79,78,76,80,79,116327,77,81
-2,78,74,76,74,75,75,116328,74,73
-3,73,73,76,76,76,70,116336,74,74
