overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
3,89,86,1,220901
2,89,87,1,222665
2,89,87,1,234378
-2,89,91,9,209331
-2,87,89,9,212831
-3,82,85,9,237678
-2,82,84,9,242516
-2,82,84,9,246104
-1,85,86,10,237692
-1,89,90,10,239085
-1,85,86,11,212198
-2,84,86,18,200104
1,91,90,21,202126
1,89,88,21,212622
3,88,85,21,247827
3,89,86,22,235073
-2,82,84,32,231521
-1,88,89,32,256630
3,90,87,73,207865
-1,86,87,73,230621
3,88,85,73,247635
-1,84,85,73,255253
3,91,88,240,200389
-1,82,83,240,226161
-1,87,88,241,192448
-1,83,84,241,204525
-1,87,88,241,233419
3,89,86,241,277643
3,88,85,243,177003
2,92,90,243,231747
2,92,90,243,252371
2,89,87,325,232293
-1,83,84,457,227127
-2,83,85,461,262621
-1,84,85,116009,246426
-2,84,86,116009,265239
3,89,86,116017,240714
3,88,85,116017,245830
3,89,86,116017,257008
1,91,90,116325,227102
2,90,88,116325,227190
2,92,90,116325,227203
2,91,89,116325,236479
1,89,88,116325,237289
2,93,91,116325,241667
2,90,88,116325,241846
-2,85,87,131681,215698
-1,84,85,131681,241721
-2,85,87,131682,224232
-2,82,84,131682,228093
