overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,85,87,2,202811
-1,84,85,5,257534
-2,87,89,9,209331
-1,84,85,9,216267
-1,84,85,9,224458
-2,84,86,9,239837
2,92,90,10,192985
-2,83,85,10,203574
2,90,88,10,210257
1,92,91,10,231866
2,93,91,10,239085
-2,83,85,13,233731
2,92,90,21,202126
2,88,86,21,212622
2,89,87,21,256790
3,91,88,32,256630
-3,81,84,45,246430
3,88,85,48,247635
-1,82,83,240,193747
1,89,88,240,194765
2,90,88,241,188545
-2,87,89,241,192448
2,88,86,243,177003
1,91,90,243,238794
3,88,85,448,256516
-2,83,85,461,262621
2,88,86,607,165153
-3,82,85,112172,243580
3,91,88,112893,158023
-1,82,83,112996,178509
-1,82,83,115841,210413
-2,82,84,115997,264939
3,90,87,115998,226302
-2,83,85,116302,226177
-1,82,83,116302,245839
-2,87,89,116302,264012
-1,83,84,116306,238212
-1,82,83,116306,267275
2,90,88,116309,226893
2,89,87,116310,232075
2,88,86,116325,227013
2,92,90,116325,227102
2,92,90,116325,227203
1,89,88,116325,237289
1,92,91,116325,241667
3,90,87,131681,232656
-1,86,87,131682,177683
-2,81,83,131682,192883
-2,82,84,131682,226851
-1,88,89,131682,231478
