bs_zygomaxilla_NL_XXX_D_U,bs_zygomaxilla_NR_XXX_R_A,bs_mandible_NR_IXA_B_F,bs_maxilla_NL_SXX_N_W,bs_chin_NN_SXX_SL_SR,bs_brow_NL_XLX_R_A,bs_canine_NL_XXX_N,bs_brow_NL_XLX_B_F,bs_brow_NR_SMX_B_F,bs_temple_NR_XXX_B_F,bs_orbits_NR_XXX_N_W,bs_orbits_NR_SXX_D_U,bs_teeth_NN_XXX_D_U,ca_ears_NR_XXX_N_W,bs_cuspid_NR_XXX_SL_SR,fl_eyes_NR_XXX_R_A,bs_skull_NN_SXX_N_W,bs_mandible_NR_XXP_B_F,ca_laryngeal_NN_XXX_N_W,bs_orbits_NL_XXX_R_A,bs_maxilla_NR_IXX_B_F,fl_eyes_NR_XXX_D_U,bs_incisorLower_NL_XLX_U,bs_mandible_NL_SXA_N_W,bs_cuspid_NL_XXX_N,bs_brow_NN_XMX_D_U,ca_ears_NL_XXX_B_F,bs_temple_NL_XXX_R_A,bs_zygomaxilla_NR_XXX_D_U,bs_coronal_NN_SXX_R,bs_incisor_NR_XLX_D_U,bs_incisor_NR_IMX_D_U,bs_brow_NN_XMX_SL_SR,bs_canine_NR_IXX_R,bs_maxilla_NR_SXX_D_U,bs_maxilla_NL_IXX_R_A,bs_incisorLower_NL_XLX_SL_SR,ca_ears_NL_XXX_SL_SR,bs_incisor_NL_IMX_R,bs_incisorLower_NL_XLX_N,bs_noseRoot_NN_XXX_D_U,bs_cuspid_NL_SXX_D_U,bs_incisor_NR_ILX_D_U,ca_ears_NL_XXX_R_A,bs_cuspid_NL_XXX_U,bs_cuspid_NR_SXX_D_U,bs_cuspid_NR_XXX_N,bs_mandible_NR_IXA_N_W,ca_ears_NR_XXX_R_A,bs_skull_NN_SXX_R_A,bs_noseBridge_NN_XXX_N_W,bs_incisorLower_NR_SMX_D_U,bs_chin_NN_XXX_B_F,bs_canine_NL_XXX_SL_SR,bs_incisor_NR_XLX_SL_SR,bs_brow_NR_XLX_N_W,bs_maxilla_NL_IXX_B_F,bs_incisorLower_NR_XLX_U,bs_mandible_NR_SXA_D_U,bs_skull_NN_XXP_N_W,bs_chin_NN_XXX_R_A,bs_orbits_NL_SXX_D_U,bs_temple_NL_XXX_B_F,ca_adamsapple_NN_XXX_D_U,bs_orbits_NL_XXX_N_W,bs_mandible_NL_XXP_N_W,bs_canine_NR_XXX_N,bs_nose_NN_XXX_N_W,bs_incisor_NL_XLX_N_W,bs_mandible_NR_XXP_N_W,ca_laryngeal_NN_XXX_B_F,bs_mandible_NL_IXA_B_F,bs_chin_NN_XXX_SL_SR,bs_molarsLower_NR_XXX_U,bs_brow_NL_XLX_N_W,bs_mandible_NL_IXA_R_A,bs_incisorLower_NL_SMX_D_U,bs_brow_NR_XLX_R_A,bs_incisor_NR_XMX_D_U,bs_cuspid_NR_XXX_U,bs_maxilla_NR_IXX_N_W,bs_mandible_NR_IXA_R_A,bs_incisorLower_NR_XLX_N,bs_noseBridge_NN_XXX_R_A,bs_incisor_NR_IMX_R,bs_canine_NL_IXX_R,bs_mandible_NL_IXA_D_U,bs_orbits_NR_XXX_R_A,bs_incisorLower_NL_SLX_D_U,bs_nose_NN_XXX_B_F,bs_mandible_NL_XXP_R_A,bs_temple_NR_XXX_N_W,bs_chin_NN_XXX_N_W,bs_chin_NN_SXX_D_U,bs_orbits_NR_XXX_B_F,bs_teethLower_NN_XXA_N_W,bs_brow_NL_SMX_D_U,bs_incisorLower_NL_XMX_N,bs_skull_NN_XXP_R_A,bs_chin_NN_SXX_N_W,bs_chin_NN_XXX_D_U,bs_canine_NL_XXX_D_U,bs_brow_NL_SMX_N_W,bs_temple_NL_XXX_N_W,bs_orbits_NL_XXX_B_F,bs_mandible_NR_SXA_B_F,bs_noseRoot_NN_XXX_SL_SR,ca_ears_NL_XXX_N_W,bs_coronal_NN_SXX_D_U,bs_maxilla_NL_IXX_N_W,bs_incisor_NL_XMX_D_U,bs_teeth_NN_XXX_SL_SR,bs_cuspid_NL_XXX_SL_SR,ca_ears_NL_XXX_D_U,bs_forehead_NN_XXX_U,bs_incisor_NL_XMX_N_W,bs_maxilla_NL_IXX_D_U,bs_maxilla_NR_IXX_R_A,bs_molarsLower_NL_XXX_U,bs_coronal_NN_SXX_N_W,bs_canine_NR_IXX_D_U,bs_incisor_NL_XLX_D_U,ca_adamsapple_NN_XXX_B_F,bs_incisor_NR_XMX_SL_SR,bs_temple_NR_XXX_R_A,bs_temple_NL_XXX_D_U,bs_noseRoot_NN_XXX_B_F,bs_orbits_NL_SXX_B_F,bs_forehead_NN_XXX_R_A,bs_orbits_NR_SXX_B_F,bs_incisorLower_NR_XMX_N,bs_temple_NR_XXX_D_U,bs_incisor_NL_XLX_SL_SR,bs_brow_NN_XMX_R_A,bs_zygomaxilla_NR_XXX_B_F,bs_teethLower_NN_XXA_D_U,bs_teeth_NN_XXX_B_F,bs_orbits_NL_SXX_N_W,bs_orbits_NL_XXX_D_U,bs_noseBridge_NN_XXX_SL_SR,bs_maxilla_NR_SXX_B_F,bs_teeth_NN_XXX_R_A,bs_incisor_NR_XMX_N_W,bs_maxilla_NR_IXX_D_U,bs_orbits_NR_SXX_R_A,bs_forehead_NN_XXX_B_F,bs_mandible_NL_IXA_N_W,bs_coronal_NN_SXX_B_F,bs_skull_NN_XXP_SL_SR,bs_coronal_NN_SXX_SL_SR,bs_brow_NL_XLX_D_U,bs_forehead_NN_XXX_SL_SR,bs_maxilla_NL_SXX_B_F,bs_noseRoot_NN_XXX_N_W,bs_incisorLower_NR_XMX_SL_SR,bs_zygomaxilla_NL_XXX_R_A,bs_zygomaxilla_NL_XXX_B_F,bs_maxilla_NL_SXX_R_A,bs_nose_NN_XXX_D_U,bs_mandible_NR_XXP_D_U,bs_incisor_NL_XMX_SL_SR,fl_eyes_NR_XXX_B_F,bs_incisor_NL_ILX_R,bs_molars_NL_XXX_D_U,bs_incisor_NR_XLX_N_W,ca_ears_NR_XXX_SL_SR,bs_brow_NR_SMX_R_A,bs_brow_NN_XMX_B_F,bs_canine_NR_XXX_SL_SR,bs_skull_NN_SXX_F,bs_mandible_NR_SXA_N_W,bs_brow_NL_SMX_R_A,fl_eyes_NR_XXX_N_W,ca_laryngeal_NN_XXX_D_U,bs_molars_NR_XXX_D_U,bs_skull_NN_XXP_D_U,bs_chin_NN_SXX_R_A,bs_mandible_NL_XXP_D_U,bs_forehead_NN_XXX_N_W,bs_nose_NN_XXX_SL_SR,fl_eyes_NL_XXX_B_F,bs_orbits_NR_SXX_N_W,bs_chin_NN_SXX_B_F,bs_noseBridge_NN_XXX_D_U,bs_orbits_NR_XXX_D_U,fl_eyes_NL_XXX_R_A,bs_mandible_NR_IXA_D_U,bs_mandible_NL_SXA_R_A,bs_teeth_NN_XXX_N_W,bs_brow_NL_SMX_B_F,bs_brow_NR_XLX_D_U,bs_maxilla_NR_SXX_N_W,bs_incisor_NL_ILX_D_U,bs_mandible_NL_SXA_B_F,bs_canine_NL_IXX_D_U,ca_laryngeal_NN_XXX_SL_SR,bs_brow_NR_SMX_N_W,bs_incisorLower_NL_XMX_U,bs_zygomaxilla_NR_XXX_N_W,ca_ears_NR_XXX_B_F,bs_incisorLower_NR_XLX_SL_SR,bs_canine_NR_XXX_D_U,bs_orbits_NL_SXX_R_A,bs_skull_NN_XXP_B_F,bs_incisor_NR_ILX_R,bs_incisorLower_NL_XMX_SL_SR,bs_teeth_NN_XXA_N_W,bs_mandible_NL_SXA_D_U,bs_mandible_NR_SXA_R_A,bs_mandible_NL_XXP_B_F,bs_brow_NN_XMX_N_W,fl_eyes_NL_XXX_D_U,bs_skull_NN_SXX_SL_SR,bs_teeth_NN_XXA_D_U,bs_noseBridge_NN_XXX_B_F,bs_brow_NR_XLX_B_F,ca_ears_NR_XXX_D_U,bs_skull_NN_SXX_D_U,fl_eyes_NL_XXX_N_W,bs_noseRoot_NN_XXX_R_A,bs_incisorLower_NR_XMX_U,bs_zygomaxilla_NL_XXX_N_W,bs_brow_NR_SMX_D_U,bs_incisor_NL_IMX_D_U,ca_adamsapple_NN_XXX_SL_SR,bs_nose_NN_XXX_R_A,bs_incisorLower_NR_SLX_D_U,bs_maxilla_NL_SXX_D_U,bs_mandible_NR_XXP_R_A,bs_maxilla_NR_SXX_R_A,assetid,fc_neck_restore,fc_mouthbag_restore
-25,3,-52,-97,5,-32,0,40,-17,47,-48,-5,45,2,0,31,12,28,-8,65,-3,31,0,-55,0,-2,-1,32,-26,0,0,0,-4,0,27,6,2,2,0,0,-40,0,0,26,0,-1,0,6,32,18,4,0,-9,1,0,-71,-9,0,-22,37,3,-5,44,11,-49,-25,0,-37,0,-31,5,-49,8,0,-79,9,0,-33,0,0,-60,10,0,17,0,0,14,66,-1,-37,-57,-29,54,0,-26,-1,-51,0,15,-66,78,-1,-52,-37,-26,56,-1,-2,-23,-73,1,-14,1,-16,0,0,-3,0,0,-4,1,-2,-58,4,26,-47,18,69,7,79,0,-47,1,0,-2,0,-82,-40,-4,-5,16,-16,1,-2,-33,-21,7,31,2,2,31,-10,16,0,1,4,-2,29,58,-6,2,-44,0,0,0,11,41,19,1,0,-52,48,-22,-4,-1,-28,3,-7,0,3,-48,-43,-21,0,-12,40,16,-16,-8,-24,24,-93,0,61,0,-2,-61,0,-58,1,1,-1,-27,61,0,-1,-1,-21,-18,28,-7,38,-3,-1,3,50,-24,-45,-21,-12,0,-51,-52,-1,0,15,0,28,-55,27,7053,0,100
-37,26,28,-70,10,8,0,-1,23,41,-41,31,61,11,0,15,-6,70,42,56,28,47,0,-10,0,0,4,23,-39,0,0,0,-5,0,52,-10,2,-45,0,0,57,0,1,19,0,0,0,-29,25,33,25,3,58,0,0,-1,22,0,10,37,15,32,41,2,-44,17,0,-8,1,0,47,32,0,0,-16,48,3,16,0,0,1,51,0,11,0,0,3,60,0,0,-40,-23,-19,12,-34,0,-58,0,3,-70,52,1,-63,-19,-34,64,-3,26,-11,16,2,-4,0,-34,0,6,-37,-10,0,-13,1,-1,-61,3,25,-35,-11,-1,33,2,0,-34,0,30,-20,1,-21,-18,-4,-13,-6,-31,2,-41,-20,46,-20,9,3,10,-73,-6,-4,-26,0,26,-21,23,100,-51,3,-33,0,3,1,-10,39,-9,0,0,-20,39,-63,-9,0,-18,31,-49,-8,-6,-30,-15,-21,61,-6,3,2,-45,0,24,-72,-63,0,65,1,-4,-75,0,-40,0,0,0,-17,23,0,0,4,13,-41,72,-89,48,10,3,-5,-1,-42,13,-64,27,0,-22,-61,0,5,16,1,49,-37,19,50610,0,100
-3,-10,52,-56,0,28,0,-15,7,25,-64,27,-3,1,0,35,-20,45,26,-9,30,11,0,-45,0,27,-20,0,-14,0,0,0,0,0,6,-2,0,-38,0,0,0,0,0,-6,0,0,0,-23,-10,4,-23,0,13,0,0,48,32,0,-29,48,6,9,20,-16,-47,1,0,-42,-1,1,43,48,-12,0,57,18,1,27,-1,0,-67,15,0,-26,0,0,-1,-29,-2,-68,-10,-32,-26,26,-39,-1,-47,0,2,-62,29,0,-14,-27,-57,48,-2,8,-20,-69,-2,11,1,-63,0,1,-34,0,0,-8,0,-1,-45,2,-3,-47,-29,-13,26,-16,0,-50,0,25,-14,-1,-57,31,-43,3,-50,9,0,-34,10,-2,-20,-2,1,-2,-17,-2,-50,-49,0,-14,-17,48,35,-52,0,-45,0,0,0,-20,37,5,0,0,-33,39,-70,-14,0,-28,55,-49,-71,19,-56,29,-45,21,-45,36,-4,-15,-43,12,-3,-54,1,45,0,-3,3,0,10,-21,0,0,8,-9,0,0,0,-30,-13,44,10,20,-5,0,-24,-18,-57,-22,-62,0,0,30,-40,0,2,6,-1,7,-9,45,70131,0,100
-17,-1,16,-76,6,12,0,0,-29,-18,-49,26,-29,-31,0,39,0,12,14,-3,12,37,0,0,0,3,-42,-18,-24,0,0,-3,0,0,25,-26,2,-23,0,0,0,0,1,-2,0,0,0,-23,-7,17,9,0,0,-1,1,45,10,0,-29,16,13,17,-19,-16,-37,-14,0,-22,1,-13,19,14,14,0,42,12,2,12,0,0,11,12,0,31,0,0,8,-14,-1,-2,-20,-28,-21,-28,-30,-1,-20,0,-7,-36,2,0,14,-36,-29,81,3,-45,12,32,2,5,1,27,40,4,0,-19,0,-2,1,-1,-16,3,-18,-9,0,28,0,14,0,-5,0,35,-26,-1,-19,11,-48,-9,-25,-25,2,-3,0,-4,-19,13,3,1,-11,-6,-29,-48,0,-2,-32,35,-17,-34,2,-33,0,1,0,-40,23,-7,0,0,-18,21,-49,-6,1,-14,26,-33,30,-4,-42,11,-40,-15,-36,30,6,-48,-50,-25,-5,-77,0,74,1,0,2,0,9,-39,0,0,-4,12,0,0,2,-26,-44,14,47,34,2,-2,-42,-1,38,-12,-42,21,0,5,-20,-2,0,22,0,25,-18,31,70260,0,100
-23,-47,16,-38,14,-16,0,21,61,24,-37,52,14,0,0,-7,48,55,47,38,48,58,0,-70,0,48,-49,28,-27,0,-1,-1,-1,0,36,3,3,-58,0,0,-24,-3,-3,20,0,-2,0,-23,20,42,4,-1,35,0,0,47,46,0,-35,44,0,50,20,4,-22,6,0,-43,2,11,18,9,2,0,52,40,-2,-19,-2,0,-28,37,0,-7,0,0,-20,25,-2,-42,-39,-50,-18,-31,-23,1,48,0,-14,-47,31,-2,-73,-36,-17,64,3,-3,-11,-52,-3,0,0,-100,47,5,-18,-3,0,-11,-1,-3,-78,0,38,2,44,33,37,40,0,4,0,43,27,-1,-42,-25,-20,-7,11,-34,3,-17,13,-24,-25,19,0,3,-78,-3,14,-22,1,-43,28,17,68,-65,1,-25,0,0,2,-58,49,-20,2,0,-60,52,-81,-2,-1,-44,34,-62,-54,-8,-21,-25,-24,35,-24,-7,-26,-38,-66,61,-69,-28,-1,63,-1,-6,-76,0,38,-44,0,0,15,10,0,1,4,-33,-38,56,-5,65,3,-3,18,41,-100,43,-71,8,0,36,49,-2,3,20,-1,39,-37,10,70310,100,100
-26,9,20,-35,14,16,0,-49,-11,63,-46,25,17,-16,0,-11,7,19,34,16,1,48,0,4,0,-29,-40,-33,-26,0,0,-2,-3,0,29,-2,0,-35,0,0,-20,-1,-1,-4,0,-2,0,8,-4,-22,48,0,-7,0,0,55,0,0,-36,51,11,22,60,-31,-20,74,0,-68,4,84,20,15,-1,0,60,21,0,16,0,0,-45,16,0,-21,0,0,-34,8,-2,-68,-17,-27,6,-29,-35,3,-52,0,-17,-16,-16,0,4,-21,-38,69,-1,-14,26,-54,-2,-12,0,-25,0,12,-8,-3,0,15,0,-1,-52,2,-32,-55,-18,15,-20,22,0,-57,2,44,-43,-1,-45,74,-23,7,-64,-35,8,-8,-20,-11,4,-52,0,-4,-42,-10,-52,-100,0,3,-36,26,7,-67,2,-1,0,0,5,-26,42,-27,0,0,7,40,-33,-21,-1,-22,39,-68,6,28,-22,76,-56,-24,-27,-14,-38,-34,2,-23,-48,-39,-2,68,0,-3,-5,0,-20,-38,-1,0,-15,-68,0,0,9,-34,-33,18,37,55,2,-1,-19,-45,-26,5,-24,0,0,-1,-50,-3,2,7,0,28,-12,24,70508,0,100
-2,31,15,-29,8,-6,0,7,-15,-82,-22,-9,43,-30,0,-42,34,37,32,-36,-8,10,0,-6,0,20,-24,-77,2,0,0,-3,1,0,69,-25,3,-12,0,0,-15,0,0,44,0,0,0,-38,41,23,-33,-1,-15,-3,-2,-30,-10,0,57,27,0,-2,-78,23,-11,-9,0,13,2,-18,46,20,-5,0,-37,33,0,-13,-1,0,-38,30,0,13,0,0,12,-29,2,-52,-28,-75,-44,-84,-14,-1,-56,0,-1,10,54,-2,5,-65,2,3,-3,-20,-14,-27,-5,-3,0,29,0,9,22,-24,0,33,2,-2,-83,1,-74,-81,-37,37,18,37,0,-80,3,3,-30,-1,-8,15,-30,0,-72,-23,7,17,-44,-15,-38,-4,-1,4,-36,1,-69,-7,4,35,-36,37,51,-24,-1,-14,0,0,1,1,25,-17,0,0,-7,29,-35,17,0,9,28,-21,-4,8,-10,11,-43,34,-30,-40,7,-14,-36,-19,-44,-35,-3,4,1,-6,27,0,26,-29,3,-2,-46,2,0,0,7,58,-13,40,69,4,-6,-8,-73,14,31,-9,-40,2,0,39,-58,-4,13,3,-1,70,-25,32,70786,0,100
1,7,23,-72,2,12,0,16,-14,17,-51,57,-23,-19,0,30,21,88,23,44,56,29,0,-29,0,21,-10,-27,4,0,0,-2,1,0,63,-33,1,-93,0,0,-1,-2,2,-23,0,0,0,10,-28,2,53,0,29,0,1,46,60,0,-9,40,1,43,17,-28,-59,10,0,-23,2,-8,40,39,-21,0,43,74,0,17,0,0,-45,75,0,-3,0,0,29,27,-2,-7,-69,-34,-24,-68,-35,1,-22,0,-9,-56,3,0,-27,-50,-35,74,3,-8,20,-48,2,-37,2,47,91,5,16,-33,0,-47,0,-1,-86,0,-28,-47,18,70,0,66,0,-36,0,32,49,-2,-40,14,-27,-7,-13,-6,4,22,-38,-35,7,-11,7,15,-35,-6,-29,-11,0,9,48,29,43,-27,3,-21,0,0,2,-85,36,-19,2,0,-26,38,-20,-7,1,-33,50,-30,84,-5,-20,42,-97,66,-14,21,33,-2,-7,-20,-19,-74,1,76,0,-5,-5,0,-11,-21,0,-1,-51,6,0,-1,2,-11,0,90,-20,29,6,-2,33,4,46,-4,-28,6,0,5,-20,-3,6,37,-2,62,-63,28,70826,0,100
-32,-25,16,-36,9,-15,0,68,1,-35,-39,18,92,-21,2,33,-11,16,12,34,20,-9,0,-37,0,-74,-56,-38,-27,0,-1,0,2,0,40,-18,1,-36,0,0,-22,0,0,-15,0,-2,0,-45,-16,41,-30,0,-5,2,-5,58,24,0,-36,23,9,19,-25,19,-27,-19,0,29,1,-28,41,21,-8,0,50,12,-3,-16,2,0,-22,16,0,29,0,0,-6,34,-1,-43,-51,-29,-72,-29,-67,-1,-100,0,-9,-71,58,2,-65,-28,-58,10,2,0,1,-25,7,-29,0,57,24,6,28,-16,0,15,1,0,-86,4,-41,-33,-35,23,22,27,0,-31,0,17,-39,1,29,-18,-44,0,-9,-15,4,29,-18,40,-37,18,-3,4,-26,3,-3,-67,-1,-19,-23,32,100,-38,2,44,0,3,-3,7,87,-9,0,0,-28,90,-24,9,1,2,56,-36,2,15,63,-28,-49,-30,-44,33,-4,2,0,-2,-34,-34,0,5,3,-3,-73,0,-15,-66,2,0,-16,8,0,1,2,-36,2,19,52,-7,-4,0,-88,63,58,0,-17,-9,0,-3,-100,-1,8,5,2,42,-50,36,71998,0,100
-51,-10,22,-42,0,-3,0,32,29,-5,-43,4,38,-23,1,27,5,29,27,22,33,-3,0,-52,0,-36,-23,-3,-61,0,-1,0,0,0,9,-25,0,-70,0,0,-61,0,0,-13,0,-2,0,-12,-12,14,-6,0,34,2,-1,34,34,0,-28,33,-3,3,-8,-1,-58,-8,0,-49,1,-21,31,33,-10,0,36,22,-1,3,0,0,-50,28,0,6,0,0,10,29,-1,-47,-11,-42,-12,16,-47,0,-44,0,-1,-3,40,1,-56,-45,-52,58,0,-14,-8,-43,4,0,1,-3,0,6,-27,-23,0,30,1,0,-51,2,-2,-6,-34,30,-9,40,0,-5,0,-2,3,1,-54,4,-9,-9,-24,10,5,-28,-17,38,8,9,-1,1,-36,-3,-17,-11,1,-12,7,29,-3,-32,1,-38,0,2,-1,-65,27,-28,0,0,-45,25,-75,-8,2,-18,41,-30,52,-11,-35,3,-44,-29,-7,26,11,-46,-25,45,-36,-47,-2,52,5,0,-58,0,-9,-27,0,0,-14,13,0,1,1,-27,-43,29,-10,-6,-3,-1,-71,22,-7,-7,-82,-18,0,0,-45,0,1,0,3,9,-9,33,72026,0,100
