competitionid,hometeamid,matchupid,homepotid,awayteamid
223,45,1,2,247
224,1906,1,1,700
226,101014,1,2,254
223,900,2,1,2
224,918,2,0,236
226,1887,2,4,263
223,21,3,2,211
224,101047,3,3,115841
226,111235,3,0,271
223,131681,4,2,9
224,1516,4,2,10029
226,1750,4,0,898
223,237,5,1,65
224,325,5,0,393
226,433,5,2,873
223,243,6,3,36
224,114385,6,3,266
226,310,6,1,80
223,189,7,0,101059
224,11,7,3,1908
226,461,7,5,897
223,267,8,0,191
224,72,8,1,457
226,1871,8,0,449
223,78,9,3,1809
224,229,9,1,1874
226,417,9,5,563
223,231,10,3,22
224,326,10,0,2014
226,71,10,2,298
223,10,11,3,131682
224,320,11,2,86
226,110374,11,3,230
223,73,12,2,110062
224,245,12,2,327
226,5,12,3,674
223,1799,13,0,234
224,1824,13,2,110468
226,819,13,1,110745
223,246,14,1,32
224,100761,14,1,269
226,10032,14,4,100325
223,115845,15,1,1
224,66,15,0,280
226,77,15,2,10020
223,240,16,0,112172
224,52,16,0,448
226,101037,16,3,1884
223,378,17,3,209
224,1896,17,3,896
226,252,17,1,710
223,69,18,0,241
224,18,18,3,113888
226,306,18,0,100135
223,191,19,3,378
224,1874,19,1,18
226,100135,19,4,101037
223,36,20,1,267
224,115841,20,2,72
226,710,20,0,1887
223,241,21,2,900
224,896,21,1,1516
226,898,21,0,110374
223,32,22,1,131681
224,280,22,2,1896
226,80,22,5,71
223,22,23,2,78
224,113888,23,1,320
226,110745,23,4,77
223,131682,24,1,1799
224,457,24,0,229
226,674,24,0,417
223,247,25,0,237
224,269,25,1,325
226,563,25,5,306
223,1809,26,2,10
224,266,26,3,245
226,263,26,3,101014
223,1,27,3,73
224,10029,27,1,101047
226,1884,27,5,5
223,110062,28,1,246
224,448,28,3,1906
226,254,28,1,461
223,101059,29,2,115845
224,327,29,0,1824
226,897,29,1,10032
223,2,30,0,21
224,700,30,2,52
226,873,30,4,1871
223,234,31,0,240
224,236,31,0,11
226,100325,31,0,310
223,211,32,0,69
224,1908,32,1,326
226,271,32,2,252
223,65,33,0,243
224,393,33,2,100761
226,10020,33,4,111235
223,9,34,1,189
224,86,34,2,66
226,449,34,2,819
223,112172,35,0,45
224,2014,35,0,918
226,230,35,3,433
223,209,36,1,231
224,110468,36,3,114385
226,298,36,5,1750
223,131681,37,0,231
224,325,37,1,700
226,77,37,0,254
223,69,38,0,1799
224,1896,38,0,918
226,873,38,5,10032
223,2,39,1,189
224,1824,39,0,269
226,100325,39,1,271
223,110062,40,3,1809
224,1516,40,2,2014
226,674,40,1,71
223,45,41,1,36
224,1874,41,0,72
226,1871,41,2,310
223,73,42,1,247
224,896,42,2,457
226,10020,42,5,433
223,209,43,1,237
224,393,43,2,110468
226,306,43,5,230
223,1,44,1,101059
224,113888,44,0,245
226,298,44,1,101037
223,243,45,0,22
224,52,45,2,101047
226,100135,45,2,110374
223,115845,46,0,78
224,448,46,3,266
226,5,46,1,461
223,378,47,0,32
224,236,47,1,10029
226,710,47,3,1884
223,240,48,1,65
224,1908,48,3,115841
226,819,48,3,101014
223,241,49,0,21
224,326,49,0,11
226,80,49,3,111235
223,234,50,0,246
224,66,50,0,327
226,110745,50,4,417
223,191,51,2,211
224,320,51,3,280
226,563,51,4,898
223,10,52,2,267
224,86,52,3,100761
226,252,52,1,1750
223,112172,53,2,9
224,229,53,1,114385
226,449,53,5,263
223,900,54,2,131682
224,18,54,0,1906
226,1887,54,2,897
223,247,55,3,110062
224,327,55,0,320
226,101014,55,0,77
223,1809,56,3,211
224,918,56,0,113888
226,433,56,4,1887
223,189,57,2,69
224,1824,57,1,266
226,111235,57,1,5
223,22,58,2,209
224,700,58,1,1896
226,1750,58,3,80
223,78,59,2,112172
224,100761,59,1,1516
226,310,59,3,819
223,65,60,1,45
224,325,60,2,18
226,461,60,5,298
223,9,61,2,32
224,114385,61,0,448
226,898,61,2,873
223,237,62,0,10
224,72,62,2,1908
226,101037,62,1,252
223,243,63,2,131681
224,280,63,0,86
226,417,63,4,100135
223,231,64,0,2
224,2014,64,2,52
226,263,64,2,110745
223,101059,65,1,900
224,245,65,1,896
226,1884,65,5,100325
223,1799,66,1,241
224,1906,66,0,326
226,230,66,1,710
223,21,67,3,234
224,101047,67,1,1874
226,110374,67,0,10020
223,246,68,1,191
224,115841,68,0,236
226,10032,68,2,674
223,131682,69,2,1
224,11,69,1,393
226,897,69,3,449
223,73,70,3,240
224,269,70,3,229
226,271,70,4,563
223,267,71,1,378
224,10029,71,0,66
226,71,71,1,1871
223,36,72,0,115845
224,110468,72,0,457
226,254,72,0,306
223,1809,73,0,131681
224,448,73,2,700
226,433,73,2,5
223,267,74,0,240
224,1906,74,1,325
226,110374,74,3,252
223,241,75,1,378
224,327,75,1,896
226,819,75,3,80
223,32,76,1,191
224,101047,76,2,110468
226,310,76,4,563
223,21,77,2,73
224,115841,77,1,114385
226,461,77,5,100135
223,131682,78,2,112172
224,113888,78,0,66
226,77,78,2,449
223,10,79,2,246
224,269,79,1,393
226,100325,79,1,417
223,237,80,2,1
224,229,80,1,236
226,101014,80,0,111235
223,900,81,3,115845
224,1516,81,1,1824
226,1871,81,1,10032
223,1799,82,3,36
224,1908,82,0,2014
226,271,82,1,1750
223,209,83,2,110062
224,100761,83,0,280
226,898,83,4,1887
223,2,84,0,45
224,1874,84,0,320
226,897,84,0,110745
223,189,85,0,65
224,11,85,0,918
226,674,85,5,873
223,78,86,3,231
224,72,86,0,86
226,71,86,2,254
223,211,87,3,22
224,457,87,3,245
226,10020,87,4,263
223,9,88,3,243
224,266,88,2,326
226,306,88,0,101037
223,69,89,0,234
224,1896,89,0,10029
226,230,89,5,1884
223,247,90,1,101059
224,18,90,0,52
226,298,90,4,710
223,211,91,1,78
224,326,91,1,448
226,111235,91,3,898
223,110062,92,3,9
224,114385,92,1,1906
226,100135,92,4,433
223,115845,93,1,243
224,320,93,1,325
226,1750,93,4,101014
223,32,94,0,131682
224,280,94,1,1908
226,5,94,5,306
223,378,95,0,247
224,393,95,1,1874
226,710,95,2,1871
223,231,96,3,237
224,52,96,2,1896
226,10032,96,1,10020
223,191,97,0,73
224,10029,97,3,100761
226,101037,97,5,71
223,112172,98,3,2
224,2014,98,3,72
226,873,98,0,461
223,101059,99,1,21
224,110468,99,3,11
226,80,99,2,77
223,240,100,3,1809
224,245,100,3,115841
226,110745,100,2,271
223,65,101,0,209
224,918,101,3,327
226,563,101,0,674
223,234,102,3,189
224,700,102,0,113888
226,252,102,4,298
223,22,103,1,241
224,236,103,0,1516
226,417,103,3,897
223,246,104,0,267
224,66,104,3,1824
226,263,104,5,230
223,45,105,3,10
224,896,105,3,269
226,1884,105,3,310
223,131681,106,3,1799
224,86,106,2,18
226,449,106,3,100325
223,36,107,1,900
224,457,107,0,101047
226,254,107,0,819
223,1,108,1,69
224,266,108,1,229
226,1887,108,3,110374
223,115845,109,1,209
224,325,109,1,101047
223,69,110,2,2
224,327,110,2,448
223,240,111,2,32
224,1906,111,2,52
223,234,112,2,241
224,918,112,2,896
223,189,113,2,22
224,236,113,2,280
223,231,114,2,45
224,326,114,2,66
223,1799,115,3,247
224,320,115,2,1908
223,9,116,3,65
224,113888,116,2,100761
223,1809,117,3,36
224,10029,117,3,18
223,112172,118,2,237
224,110468,118,3,229
223,101059,119,0,378
224,393,119,3,266
223,78,120,3,900
224,269,120,3,245
223,246,121,2,21
224,2014,121,1,1896
223,131681,122,0,110062
224,114385,122,0,1516
223,73,123,0,10
224,1824,123,1,1874
223,267,124,1,131682
224,700,124,3,72
223,1,125,1,211
224,115841,125,1,457
223,243,126,3,191
224,11,126,3,86
223,2,127,2,78
224,245,127,2,325
223,241,128,2,115845
224,448,128,2,110468
223,32,129,2,267
224,101047,129,2,269
223,22,130,2,101059
224,1516,130,2,326
223,378,131,2,243
224,1908,131,2,327
223,211,132,3,131681
224,100761,132,2,11
223,21,133,3,1809
224,1874,133,2,1906
223,191,134,3,240
224,66,134,2,114385
223,110062,135,3,1
224,896,135,3,236
223,131682,136,3,69
224,72,136,3,918
223,45,137,1,234
224,280,137,3,113888
223,65,138,1,246
224,86,138,3,2014
223,10,139,2,231
224,457,139,3,393
223,247,140,0,9
224,52,140,3,1824
223,209,141,0,112172
224,229,141,3,10029
223,237,142,3,189
224,266,142,3,320
223,36,143,3,73
224,1896,143,1,115841
223,900,144,1,1799
224,18,144,3,700
