overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
7,67,60,305,227288
7,67,60,305,241052
6,69,63,305,252758
-2,63,65,306,202014
-6,58,64,306,237927
-3,62,65,423,229249
-2,61,63,423,237863
3,67,64,423,242230
5,68,63,445,201346
5,71,66,445,210263
-2,59,61,445,229190
-3,59,62,445,242229
6,70,64,445,244655
3,74,71,688,251547
-5,62,67,688,266805
7,67,60,834,236379
-3,64,67,834,246987
7,67,60,834,263650
-3,61,64,1571,198190
-2,57,59,1571,208771
-5,57,62,1571,251416
6,67,61,1572,273027
4,74,70,101112,253296
2,73,71,101112,255827
-3,65,68,101112,275054
5,76,71,111065,185068
3,71,68,111065,192397
5,76,71,111065,231390
3,69,66,111065,240501
-2,69,71,111140,213620
-2,63,65,111140,215823
-2,64,66,111140,247084
-4,64,68,111140,254578
-2,67,69,111140,259111
-2,66,68,111140,266150
-2,65,67,111140,268300
4,78,74,111144,226807
3,75,72,111144,241487
3,73,70,111144,242648
5,68,63,111144,243302
6,69,63,111144,260657
4,74,70,111144,267995
-2,71,73,112828,183895
-3,62,65,112828,246047
-3,60,63,112828,277303
-2,79,81,112996,178509
2,73,71,112996,222123
3,71,68,112996,237245
-6,62,68,114161,227855
-4,66,70,114161,278884
