previousteamid,playerid
11,20801
73,158023
243,165153
34,167495
1629,176580
18,177003
131681,178509
131682,180930
191,185122
240,186345
241,186942
18,188377
21,188545
73,188943
241,189511
461,189513
1824,190941
5,192119
13,192123
247,192318
10,192366
23,192448
1,192563
481,192629
175,192985
241,194765
21,197445
245,199434
1,199503
76,199641
32,200104
234,200389
5,201024
18,202126
240,202556
1,202811
17,203376
7,203574
1796,203841
10,204485
448,204525
29,204638
64,204883
21,204923
106,204935
32,204963
5,205452
5,205498
38,206113
2,206517
5,207410
1808,207421
23,207862
52,207865
452,208093
45,208333
240,208418
1824,208574
21,208722
1943,208920
11,209297
52,209331
9,209499
34,209658
22,209889
481,209981
240,209989
45,210008
234,210035
242,210047
234,210257
45,210935
21,212190
32,212194
237,212198
10,212218
1831,212242
55,212616
112172,212622
52,212831
28,213331
45,213345
17,213648
5,213661
111235,214096
1013,214997
245,215316
115845,215333
1952,216267
131682,216352
95,216354
95,216393
69,218667
206,220502
95,220697
18,220793
21,220814
1925,221697
111974,222077
10,222492
243,222665
10029,223334
115841,223848
1,223959
110,224293
1952,224371
110,224458
113974,224987
112172,225375
243,226161
48,226271
116310,226336
131682,226753
116010,226998
448,227127
116000,227337
116015,227353
116304,227357
45,227535
69,228579
66,228618
245,228702
22,229237
1917,229348
36,229476
112172,229558
131681,230621
517,230670
112172,230899
241,230938
116302,231432
241,231443
116312,231736
240,231866
1808,231936
131682,232363
112172,232411
115845,232488
65,232580
247,232639
22,233049
55,233084
175,233195
8,233419
457,233731
52,234236
101112,234396
36,235073
131682,235212
5,235790
110,236015
8,236532
10029,236703
112172,236772
219,236987
48,237086
112172,237678
1824,237679
243,237681
110374,238095
115998,238470
1043,238794
101110,239053
22,239085
245,239301
116033,239344
116001,239345
54,239580
234,239818
1808,239837
1746,240091
236,240130
240,240243
116280,240717
112809,240950
131681,241096
5,241159
483,241464
481,241486
247,242516
294,243014
246,243245
116303,243263
116017,243404
237,243576
64,243580
1819,243715
116001,244302
101047,244369
73,245367
21,246104
11,246147
116327,246178
110374,246430
175,246863
234,247090
267,247103
1887,247263
45,247394
116012,247504
48,247635
2014,247679
116002,247788
115997,247789
115999,247790
25,247819
66,247851
74,248243
115995,248715
115998,248717
116325,248794
116002,248822
10029,250959
112172,251517
245,251805
65,251809
472,251854
237,252145
22,252371
78,253149
112868,253163
1824,256196
112670,256197
1824,256675
10,257534
483,259197
116010,259287
55,259583
12,260247
1906,260908
115999,261740
66,264652
131362,264886
116000,264903
115995,264922
116000,264939
116001,264947
115999,264986
115999,264994
115996,265035
116002,265063
116012,265273
116282,266933
115997,267215
116305,267268
116305,267272
131478,267336
74,271421
234,272834
1041,278016
116034,278219
