overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
2,59,62,60,61,61,61,305,61,63
-1,61,61,62,63,62,60,306,63,62
1,60,62,61,63,62,60,445,68,64
1,57,59,58,57,60,58,563,57,63
-2,59,56,58,59,55,55,753,59,50
1,61,62,61,61,60,62,834,61,62
-2,61,58,60,56,59,58,1571,54,59
1,59,59,58,58,58,60,1572,58,60
1,67,69,68,64,69,68,111065,67,70
-1,68,68,69,71,69,67,111140,70,68
1,71,72,71,73,68,73,111144,74,69
-1,66,66,67,66,68,66,112828,65,68
