firstnameid,lastnameid,playerjerseynameid,commonnameid,role3,gkglovetypecode,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
18114,7697,17053,0,33,0,40,137,50000,0,3,0,87,0,90,0,0,0,80,0,19,46,18,76,73,0,0,0,87,9,0,52,21,87,87,7,0,81,83,242101,89,2029,85,92,41,0,0,3,90,87,0,176,0,0,27,69,1,145757,23,0,0,91,72,81,17563680,0,73,1,2,0,65536,87,0,27,13,51,4,87,86,3,4,0,0,0,64,89,86,59,0,0,0,6,2,0,0,0,160273,0,0,14,1,0,4,79,4,0,82,27,0,16,0,3,0,84,3,0,87,501,3,0,0,1,0,0,0,15,0,8,0,88,55,0,-1,82,0,0,3
1305,34466,34466,0,0,0,41,144,1140401,0,2,0,80,0,70,0,0,0,91,0,150,57,-1,62,92,0,0,0,85,5,0,43,15,76,89,9,0,86,87,252001,74,2029,93,76,53,0,0,2004,78,81,0,182,0,0,-1,87,1,141652,25,0,0,82,84,93,134742020,0,78,0,2,0,16,73,0,51,10,49,5,82,85,2,0,0,0,0,79,83,76,94,0,0,1,6,1,0,0,22,160432,0,0,14,1,0,3,87,2,0,83,51,0,9,0,1,0,91,3,0,89,500,3,0,0,1,0,0,0,0,0,2,0,82,27,17,-1,92,0,0,6
32533,19542,19542,0,0,0,19,118,2150000,0,3,287,68,0,68,0,0,0,68,0,104,90,-1,86,68,0,0,0,81,8,0,92,15,71,86,14,0,90,88,252001,84,2029,69,75,85,0,0,4003,78,73,0,180,0,0,-1,84,1,142014,14,0,0,84,87,63,11030528,0,76,1,2,0,64,75,0,240,12,84,4,89,70,1,4,0,0,0,93,70,82,75,0,0,1,14,10,0,0,0,160432,0,0,25,1,0,3,77,3,0,91,240,0,14,0,1,1024,69,2,0,86,500,5,0,0,1,0,0,0,0,0,2,0,72,76,0,-1,56,0,0,3
29585,33823,33823,0,0,0,31,121,10000,1,7,0,75,1,70,0,0,0,90,0,75,58,-1,92,71,1,0,0,92,7,0,80,15,87,88,8,0,87,87,252001,92,2029,82,73,40,0,0,2021,78,73,0,171,1,0,18,71,1,143208,14,0,0,85,80,90,82310,0,71,1,2,0,32,87,0,246,5,62,4,91,71,2,1,0,0,0,87,75,89,81,0,0,1,12,8,0,0,0,160432,0,0,14,1,0,4,84,5,0,92,246,0,15,0,2,128,86,1,0,88,500,2,0,0,1,0,0,0,0,0,8,0,74,54,0,-1,83,0,0,7
8787,4055,4055,0,22,0,24,123,240401,0,5,0,95,0,76,0,0,0,88,0,25,67,-1,93,88,5,0,0,94,11,0,68,0,95,88,8,0,90,91,242101,92,2029,80,84,61,0,0,1505,85,82,0,182,1,0,14,75,2,143375,12,0,0,88,80,86,8389283,0,74,0,2,0,8,81,0,250,8,66,4,90,94,2,0,0,0,0,78,77,92,71,0,0,1,13,7,1,0,0,160432,0,0,14,1,0,3,81,2,0,90,250,0,16,0,2,0,85,3,0,88,503,4,0,0,1,0,0,0,11,0,391,0,80,65,3,-1,81,0,0,6
32083,19542,19542,0,0,0,43,141,1140000,0,6,287,81,0,86,0,0,0,90,0,61,41,-1,64,82,0,0,0,86,11,0,43,0,72,86,16,0,92,87,242101,81,2029,89,87,17,0,0,34,88,86,0,175,0,0,-1,71,0,145269,25,0,0,89,76,88,16842753,0,73,0,2,0,2,86,0,330,13,45,4,81,61,3,0,0,0,0,76,88,76,72,0,0,0,9,2,0,0,0,160111,0,0,25,1,0,4,72,2,0,88,330,0,14,0,2,1024,88,3,0,86,501,4,0,0,1,0,0,0,15,0,2,0,87,50,0,-1,87,0,0,6
24044,9229,9229,0,0,0,15,111,2010000,1,0,0,48,0,57,0,0,0,50,0,82,87,-1,70,53,0,0,0,57,7,0,89,15,51,88,11,0,85,90,250101,71,2029,40,59,85,0,0,5002,66,83,0,185,1,0,10,90,1,140947,5,0,0,74,88,71,134275088,0,81,0,2,0,2048,56,0,1116,5,88,4,74,40,1,2,0,0,0,91,80,65,87,0,0,1,14,3,0,0,0,160432,0,0,18,1,0,3,82,4,0,81,1116,0,8,0,1,64,51,10,0,88,500,3,0,0,1,0,0,0,0,0,4,0,82,90,0,-1,50,0,0,0
11613,6318,6318,0,0,0,11,112,2190103,0,3,0,61,0,82,0,0,0,35,0,43,93,-1,68,51,0,0,0,48,11,0,94,15,57,89,13,0,89,80,252001,53,2029,38,57,92,0,0,42,67,77,0,176,1,0,-1,85,1,142779,5,0,0,68,83,56,167798784,0,74,1,2,0,4096,80,0,1183,14,93,5,71,36,1,3,0,0,0,83,83,62,88,0,0,1,6,8,0,0,0,160684,0,0,27,1,0,3,91,2,0,76,1183,0,13,0,1,64,44,3,0,89,500,2,0,0,1,0,0,0,0,0,2,0,80,93,0,-1,41,0,0,0
13486,41246,41246,0,41,0,31,132,2150000,0,3,0,87,0,82,0,0,0,87,0,83,43,-1,81,86,0,0,0,87,15,0,32,15,82,87,8,0,88,83,250101,85,2029,90,91,36,0,0,3,89,83,0,168,1,0,25,59,1,140152,18,0,0,89,63,88,17104904,0,67,1,2,0,1,84,0,1201,14,41,4,87,90,3,1,0,0,0,62,87,85,62,0,0,0,14,9,0,0,0,160432,0,0,27,1,0,4,51,3,0,74,1201,0,7,0,2,0,88,4,0,87,500,3,0,0,2,0,0,0,0,0,8,0,85,40,0,-1,81,0,0,3
41198,41163,41163,0,0,0,21,131,2320000,0,0,287,87,0,78,0,0,0,90,0,29,76,-1,95,88,0,0,0,92,10,0,83,0,92,94,7,0,94,96,250101,96,2029,89,96,65,0,3,2502,94,82,0,185,1,0,14,86,3,142332,18,0,0,96,84,88,17629313,0,77,0,2,0,32,85,0,1397,15,73,5,96,90,4,3,0,0,0,77,84,94,86,0,0,1,8,10,0,0,26,160432,0,0,18,1,0,5,73,2,0,86,1397,0,12,0,3,0,90,4,0,94,503,5,0,0,1,0,0,0,11,0,85,0,83,62,0,-1,91,0,0,0
32091,30267,30244,0,32,0,25,129,2320401,0,3,288,84,0,81,0,0,0,85,0,56,36,18,81,79,2,0,0,75,6,0,44,15,85,87,10,0,81,83,252001,88,2029,83,88,34,0,1,1505,86,86,0,187,1,0,12,63,1,142825,16,0,0,89,64,74,4522016,1,74,1,2,0,1,76,0,1605,11,38,4,84,81,3,3,0,0,0,44,86,84,55,0,0,2,6,9,0,0,16,160432,0,0,18,1,0,4,73,4,0,81,1605,0,14,0,3,0,79,3,0,87,500,3,0,0,1,0,0,0,0,0,4,0,86,31,0,-1,75,0,0,0
7567,23679,23634,0,24,0,19,114,1360401,1,0,28,49,0,83,0,0,0,59,0,1,92,12,80,48,0,0,0,52,6,0,90,15,69,87,14,0,88,87,250101,79,2029,41,70,83,0,0,1024,78,80,0,174,1,0,14,83,1,142572,10,0,0,82,86,59,10506240,0,70,1,2,0,2048,89,0,1668,10,86,4,87,34,2,2,0,0,0,87,83,76,56,0,0,1,14,3,0,0,0,160432,0,0,18,1,0,3,84,3,0,90,1668,0,7,0,1,64,48,9,0,87,500,2,0,0,6,0,0,0,0,0,2,0,81,87,0,-1,40,0,0,0
24101,41446,6123,6123,0,0,6,105,2320401,1,0,0,75,0,75,0,0,0,71,0,47,90,-1,71,71,0,0,0,64,12,0,90,5,91,91,6,0,89,87,250101,82,2029,44,86,84,0,0,4003,85,90,0,176,1,0,-1,83,2,141585,3,0,0,87,83,65,17040384,0,75,0,2,0,8388608,79,0,5003,7,88,5,87,61,3,0,0,0,0,74,91,83,78,0,0,3,15,3,0,0,22,160432,0,0,54,1,0,3,80,2,0,92,5003,0,13,0,3,0,56,6,0,91,500,2,0,0,1,0,0,0,0,0,2,0,90,88,0,-1,60,0,0,0
25450,29007,29007,0,0,0,41,142,2150000,0,3,287,71,0,85,0,0,0,93,0,115,30,-1,52,86,0,0,0,79,7,0,31,15,66,88,8,0,89,82,242101,71,2029,93,89,30,0,0,2007,87,89,0,173,0,0,-1,61,1,145062,25,0,0,85,66,85,4325377,0,70,0,2,0,2,84,0,5419,10,35,4,78,66,2,4,0,0,0,56,90,69,82,0,0,1,15,4,0,0,0,160432,0,0,14,1,0,4,83,3,0,79,5419,0,10,0,2,512,88,2,0,88,500,2,0,0,1,0,0,0,0,0,2,0,89,28,17,-1,88,0,0,3
17399,6546,6546,0,7,0,3,111,1140000,0,0,287,60,0,63,0,0,0,52,0,154,87,7,73,68,0,0,0,52,16,0,87,15,65,86,16,0,85,82,242101,64,2029,41,63,90,0,0,46,67,71,0,185,1,0,3,85,1,144377,5,0,0,71,84,73,17408,0,83,1,2,0,2048,61,0,5467,9,87,4,75,43,1,4,0,0,0,89,69,68,83,0,0,1,14,5,1,0,0,161292,0,0,14,1,0,3,86,5,0,78,5467,0,15,0,1,1152,52,3,0,86,500,4,0,0,1,0,0,0,0,0,5,0,70,88,0,-1,44,0,0,0
22914,23348,12143,22913,23,0,37,135,60000,0,0,287,75,0,89,0,0,0,88,0,129,38,18,81,82,2,0,0,86,8,0,38,15,90,89,13,0,87,87,252001,85,2029,85,92,36,0,0,1518,90,88,0,180,1,0,12,75,1,142466,23,0,0,91,77,81,18088460,0,75,1,2,0,65536,77,0,5589,12,38,5,88,81,3,0,0,0,0,75,91,86,59,0,0,0,8,3,0,0,0,160432,0,0,38,1,0,4,67,2,0,85,5589,0,10,0,3,0,84,3,0,89,500,3,0,0,1,0,0,0,0,0,2,0,89,33,0,-1,77,0,0,0
12557,22351,22351,0,0,0,25,129,1360000,0,13,287,83,0,84,0,0,0,84,0,86,42,-1,75,71,0,0,0,78,6,0,44,0,81,86,7,0,86,79,242101,83,2029,86,88,36,0,0,2022,86,86,0,175,1,0,12,74,3,144090,16,0,0,86,77,79,16777378,0,73,0,2,0,131072,80,0,6975,12,45,4,84,78,3,3,0,0,0,73,89,82,58,0,0,1,5,1,0,0,0,160159,0,0,46,1,0,4,68,3,0,86,6975,0,7,0,2,0,81,2,0,86,500,3,0,0,1,0,0,0,0,0,1,1,87,48,0,-1,70,0,0,3
15493,8022,8022,0,0,0,44,142,60000,0,3,0,68,0,86,0,0,0,87,0,87,31,-1,54,86,0,0,0,78,13,0,30,15,73,86,14,0,85,88,242101,79,2029,90,85,30,0,1,2015,85,86,0,184,1,0,-1,74,1,143439,25,0,0,84,70,83,167772161,0,78,0,2,0,16,81,0,7512,10,36,4,71,64,3,0,0,0,0,48,86,70,88,0,0,1,10,3,0,0,16,160432,0,0,52,1,0,4,84,3,0,76,7512,0,13,0,3,0,86,3,0,86,500,3,0,0,1,0,27,0,0,0,2,0,86,29,1,-1,83,3,0,3
2110,34518,34518,0,0,0,36,141,60000,0,5,0,88,0,79,0,0,0,92,0,16,32,-1,64,85,0,0,0,87,14,0,37,15,62,88,5,0,86,83,242101,75,2029,91,87,29,0,0,3505,85,87,0,183,1,0,23,77,1,143891,25,0,0,84,73,90,134348801,0,72,0,2,0,4,77,0,13128,7,35,4,73,88,2,3,0,0,0,60,84,71,84,0,2,1,6,3,0,0,0,160432,0,0,49,1,0,4,84,3,0,75,13128,0,13,1,2,0,90,2,0,88,500,2,0,0,1,0,0,0,0,0,2,2,86,23,3,-1,86,0,0,6
32821,33501,32564,32816,0,0,13,11,2150101,0,0,243,48,1,54,0,0,0,40,0,65,71,-1,69,61,0,0,0,51,16,0,73,31,51,70,8,0,67,71,242101,55,2025,45,47,69,0,0,1502,56,52,0,187,3,0,-1,75,363,147397,5,0,0,65,75,65,144,0,81,0,2,0,0,55,0,18115,16,72,1,63,31,1,0,0,0,0,68,51,58,69,0,0,0,7,3,0,0,0,159506,1,0,38,2,0,3,71,5,0,80,18115,0,14,0,1,192,51,4,0,70,501,3,0,0,3,0,0,0,30,0,5,0,52,75,0,-1,51,0,0,0
13677,26280,26280,0,0,136,0,1,30000,0,9,40,13,1,52,0,0,0,14,0,642,22,-1,50,29,0,0,0,17,60,0,17,31,20,61,62,0,57,56,240201,53,2025,15,14,24,0,0,46,62,32,0,183,1,0,-1,63,114,146529,0,0,0,30,63,43,0,0,70,0,2,0,0,55,0,19541,57,31,1,31,15,0,0,0,0,0,30,31,57,14,0,0,1,59,4,1,0,0,160797,1,0,14,1,0,3,56,5,1,30,19541,0,63,0,0,193,59,2,0,61,502,2,0,0,1,0,0,0,30,0,2,0,60,13,0,-1,12,0,0,23
6045,41503,32373,8050,0,0,44,141,30101,0,0,0,79,1,76,0,0,0,90,0,636,32,-1,70,87,7,0,0,85,7,0,29,31,78,86,11,82,87,92,240201,78,2025,87,77,24,0,0,1505,80,80,0,187,3,0,-1,79,379,146942,25,0,0,86,77,92,185860112,2,85,1,2,0,4,61,0,20801,15,34,4,79,81,4,1,0,0,0,62,73,77,87,0,0,1,11,4,0,0,8,160786,0,0,38,1,0,4,94,4,0,80,20801,0,14,0,3,0,88,5,0,86,501,5,0,1,3,0,0,0,30,0,16,4,77,24,2,-1,83,0,0,0
2055,18143,18143,0,0,0,0,11,1140101,0,2,287,55,1,45,0,0,0,40,0,0,63,-1,62,56,0,0,0,48,15,0,65,31,45,64,11,0,72,67,240201,55,2024,42,52,56,0,1,2022,56,32,0,184,3,0,-1,76,308,145879,5,0,0,61,69,64,128,0,78,0,2,0,0,50,0,23823,15,64,1,63,52,1,0,0,0,0,67,31,57,61,0,0,0,8,8,0,0,16,159332,1,0,46,1,0,3,63,5,0,59,23823,0,9,0,1,1216,49,2,0,64,501,4,0,0,1,0,0,0,30,0,1,0,32,68,0,-1,50,0,0,1
18404,31677,31675,29848,0,66,0,2,2150101,0,3,62,11,1,50,0,0,0,13,0,0,22,-1,39,24,0,0,0,15,75,0,22,31,11,76,74,0,72,64,240201,65,2025,14,10,24,0,0,53,74,49,0,188,0,0,-1,70,161,146053,0,0,0,23,77,58,268435456,0,92,0,2,0,0,60,0,24630,77,45,3,37,11,0,0,0,0,0,32,43,77,13,0,0,1,75,3,0,0,0,161350,0,0,45,1,0,3,65,3,3,34,24630,0,77,0,0,0,75,4,0,76,503,3,0,0,3,1,0,0,30,0,375,0,75,20,0,-1,11,0,0,22
32407,33464,33464,0,0,0,41,44,2080000,0,23,255,73,1,30,0,0,0,77,0,189,25,-1,45,75,0,0,0,60,13,0,35,31,58,69,8,0,59,76,240201,63,2024,78,63,31,0,0,3513,62,32,0,191,3,0,-1,80,77,145673,25,0,0,75,64,76,134217744,0,93,0,2,0,0,28,0,25798,8,36,1,63,52,2,0,0,0,0,66,30,59,78,0,0,0,6,9,0,0,8,160432,1,0,58,1,0,3,66,2,0,30,25798,0,6,0,2,512,74,4,0,69,500,2,0,0,1,0,0,0,30,0,5,0,31,35,0,-1,77,0,0,23
22492,11956,11956,0,0,0,0,0,1140503,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,5500,1,1,0,168,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,62,0,0,0,0,1,1,27251,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,159340,1,0,14,1,0,3,27,4,0,1,27251,0,1,0,1,0,1,2,0,1,500,3,0,0,1,0,0,0,0,0,9,0,1,1,0,-1,1,0,0,0
22492,11957,11957,0,0,0,0,0,1140503,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,5500,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,1,27252,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,159340,1,0,14,1,0,3,27,2,0,1,27252,0,1,0,1,0,1,2,0,1,500,3,0,0,1,0,0,0,0,0,3,0,1,1,0,-1,1,0,0,0
22492,11958,11958,0,0,0,0,0,1140503,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,5500,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,1,27253,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,159340,1,0,14,1,0,3,27,2,0,1,27253,0,1,0,1,0,1,2,0,1,500,3,0,0,1,0,0,0,0,0,3,0,1,1,0,-1,1,0,0,0
22492,11959,11959,0,0,0,0,0,1140503,0,0,0,1,0,1,0,0,0,1,0,501,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,5500,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,1,27254,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,159340,1,0,14,1,0,3,27,3,0,1,27254,0,1,0,1,0,1,2,0,1,500,3,0,0,1,0,0,0,0,0,3,0,1,1,0,-1,1,0,0,0
22492,23715,23715,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,184,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,27263,1,1,1,1,1,1,3,0,0,0,1,1,1,1,0,0,0,1,9,0,0,0,160097,0,0,14,1,0,3,27,2,0,1,27263,0,1,0,1,0,1,7,0,1,500,3,0,0,1,2,0,0,0,0,202,0,1,1,0,-1,1,0,0,0
22492,23716,23716,0,0,0,0,0,30301,0,0,0,1,0,1,0,0,0,1,0,16,1,-1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,223101,1,2027,1,1,1,0,0,1,1,1,0,180,0,0,-1,1,0,146600,16,0,0,1,2,1,0,0,75,0,0,0,0,1,0,27264,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,159340,1,0,14,1,0,3,27,3,0,1,27264,0,1,0,1,0,1,2,0,1,500,3,0,0,1,2,0,0,0,0,3,0,1,1,0,-1,1,0,0,0
