competitionid,stage,weather,ballid
1,0,0,80
1,0,2,7
4,0,0,122
4,0,2,7
10,0,0,170
10,0,2,7
13,0,0,143
13,0,2,144
14,0,0,135
14,0,2,112
16,0,0,100
16,0,2,101
17,0,0,103
17,0,2,104
19,0,0,113
19,0,2,114
20,0,0,115
20,0,2,116
21,0,0,113
21,0,2,114
22,0,0,115
22,0,2,116
31,0,0,136
31,0,2,7
32,0,0,169
32,0,2,93
33,0,0,92
39,0,0,41
41,0,0,199
41,0,2,7
50,0,0,173
50,0,2,174
51,0,0,141
53,0,0,131
53,0,2,30
54,0,0,130
54,0,2,32
56,0,0,97
56,0,2,7
60,0,0,135
60,0,2,112
61,0,0,135
61,0,2,112
63,0,0,141
65,0,0,155
65,0,2,7
66,0,0,127
66,0,2,7
68,0,0,179
68,0,2,7
76,0,0,141
78,0,0,141
78,0,2,142
80,0,0,124
80,0,2,7
81,0,0,124
81,0,2,7
83,0,0,38
83,0,2,7
189,0,0,180
189,0,2,7
201,0,0,78
201,0,2,79
201,4,0,78
201,8,0,78
202,0,0,139
202,0,2,139
202,4,0,139
202,8,0,139
203,0,0,140
203,0,2,140
203,4,0,140
203,8,0,140
204,0,0,141
204,0,2,142
204,8,0,141
206,0,0,110
206,0,2,7
206,4,0,110
206,8,0,110
207,0,0,86
207,8,0,86
208,0,0,141
208,0,2,142
208,4,0,141
208,8,0,141
210,0,0,136
210,0,2,136
210,5,0,136
210,8,0,136
211,0,0,136
211,0,2,136
211,8,0,136
212,0,0,141
212,0,2,142
212,4,0,141
212,8,0,141
213,0,0,141
213,0,2,142
213,8,0,141
214,0,0,122
214,0,2,7
214,8,0,122
215,0,0,80
215,0,2,7
215,8,0,80
216,0,0,80
216,0,2,7
216,8,0,80
217,0,0,199
217,0,2,7
218,0,0,141
218,0,2,142
218,8,0,141
219,0,0,99
219,0,2,7
219,8,0,99
220,0,0,97
220,0,2,7
220,8,0,97
221,0,0,152
223,0,0,106
223,0,2,35
223,5,0,109
223,8,0,109
224,0,0,181
224,0,2,46
224,5,0,181
224,8,0,181
225,0,0,29
225,0,2,7
225,8,0,29
226,0,0,182
226,0,2,118
226,5,0,182
226,8,0,182
227,0,0,185
227,0,2,185
227,5,0,48
227,8,0,185
228,0,0,177
228,8,0,177
232,0,0,128
232,8,0,128
233,0,0,28
233,0,2,28
233,8,0,28
234,0,0,141
234,0,2,142
234,8,0,141
241,0,0,141
241,0,2,142
241,8,0,141
242,0,0,141
242,0,2,7
242,8,0,141
243,0,0,141
243,0,2,7
243,8,0,141
244,0,0,141
244,0,2,142
244,8,0,141
245,0,0,141
245,0,2,142
245,8,0,141
268,0,0,141
268,0,2,142
268,8,0,141
308,0,0,183
308,0,2,183
308,8,0,183
314,0,0,141
314,0,2,142
314,8,0,141
330,0,0,24
330,0,2,7
330,8,0,24
332,0,0,141
347,0,0,141
350,0,0,64
350,0,2,7
350,8,0,64
351,0,0,117
351,0,2,7
351,8,0,117
353,0,0,129
353,0,2,7
353,8,0,129
354,0,0,130
357,0,0,141
360,0,0,135
360,8,0,198
361,0,0,135
365,0,0,155
366,0,0,141
390,0,0,41
414,0,0,135
414,8,0,198
451,0,0,100
820,0,0,141
821,0,0,141
822,0,0,141
840,0,0,141
841,0,0,141
842,0,0,141
843,0,0,141
844,0,0,141
845,0,0,141
846,0,0,141
847,0,0,141
848,0,0,141
849,0,0,141
850,0,0,141
851,0,0,141
860,0,0,141
861,0,0,141
862,0,0,141
863,0,0,141
864,0,0,141
865,0,0,141
866,0,0,141
867,0,0,141
868,0,0,141
869,0,0,141
870,0,0,141
871,0,0,141
871,8,0,141
900,0,0,141
901,0,0,141
970,0,0,74
980,0,0,110
981,0,0,110
990,0,0,110
991,0,0,110
992,0,0,110
993,0,0,110
1003,0,0,74
1003,0,2,74
1003,5,0,74
1003,8,0,74
1004,0,0,24
1014,0,0,74
1014,0,2,74
1014,4,0,74
1014,8,0,74
1015,0,0,74
1015,8,0,74
2012,0,0,156
2028,0,0,141
2039,0,0,6
2076,0,0,123
2092,0,0,44
2093,0,0,147
2094,0,0,119
2095,0,0,44
2096,0,0,147
2118,0,0,141
2136,0,0,66
2139,0,0,141
2149,0,0,133
2161,0,0,141
2162,0,0,141
2163,0,0,141
2164,0,0,141
2166,0,0,141
2167,0,0,141
2168,0,0,141
2169,0,0,141
2170,0,0,113
2173,0,0,141
2215,0,0,157
2216,0,0,146
2216,0,2,148
2218,0,0,141
2218,0,2,142
2221,0,0,76
2221,0,2,76
2222,0,0,149
2226,0,0,141
3000,0,0,141
3001,0,0,141
3005,0,0,141
3010,0,0,6
3011,0,0,141
3020,0,0,141
3021,0,0,141
3030,0,0,141
3031,0,0,141
5060,0,0,24
5065,0,0,141
5066,0,0,141
5067,0,0,99
5067,0,2,7
5068,0,0,180
5069,0,0,180
5070,0,0,141
5070,0,2,142
