overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,87,85,1,232580
-3,83,86,2,202811
-2,82,84,5,164240
-2,87,89,9,203376
-2,87,89,9,212831
-2,84,86,9,231281
-2,82,84,9,239837
1,92,91,10,192985
1,89,88,10,218667
1,91,90,10,231866
1,89,88,10,237692
-1,90,91,10,239085
1,90,89,10,239818
-2,83,85,11,200145
-2,81,83,13,233731
2,87,85,18,220697
2,89,87,21,212622
-1,82,83,22,212190
-1,82,83,45,208574
-1,83,84,45,246430
3,87,84,234,183898
-2,86,88,240,194765
-2,81,83,241,213661
2,88,86,243,177003
2,92,90,243,192119
-1,84,85,448,230869
-2,82,84,450,192629
-1,83,84,457,225193
-1,82,83,457,230142
2,88,86,605,223848
4,87,83,112139,216352
-2,82,84,112172,243580
-2,83,85,115841,192387
3,87,84,115995,259287
3,89,86,115998,248717
3,90,87,116009,245802
2,88,86,116009,245872
3,91,88,116010,227323
-2,82,84,116011,265252
-1,85,86,116012,247504
2,87,85,116015,235657
-1,82,83,116300,267201
2,91,89,116302,264012
-2,81,83,116306,227405
3,91,88,116309,226893
-1,86,87,116310,232075
2,93,91,116325,227203
1,89,88,116325,237289
1,91,90,116325,241667
3,88,85,116325,253436
