shortsnumberplacementcode,shortsnumbercolorprimg,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,shortsnumbercolorterb,competitionid,shortsnumbercolorprimr,jerseynumbercolorterg,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseynumbercolorprimb,jerseybacknameplacementcode,jerseynamecolorg,shortsnumbercolorsecg,jerseynumbercolorsecg,shortsnumbercolorterr,shortsnumbercolorterg,jerseynamecolorr,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,numberfonttype,jerseynamefonttype,year,teamtechid,shortsnumberfonttype
1,0,0,238,220,220,220,220,14,197,12,46,1,12,220,1,220,220,57,220,220,220,52,220,12,220,0,0,23,49,0,1,89
1,0,0,238,220,220,220,220,60,197,12,46,1,12,220,1,220,220,57,220,220,220,52,220,12,220,0,0,23,49,0,1,89
1,0,0,238,220,220,220,220,61,197,12,46,1,12,220,1,220,220,57,220,220,220,52,220,12,220,0,0,23,49,0,1,89
1,227,0,220,12,12,12,12,14,224,220,41,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,1,23,49,0,1,89
1,227,0,220,12,12,12,12,60,224,220,41,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,1,23,49,0,1,89
1,227,0,220,12,12,12,12,61,224,220,41,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,1,23,49,0,1,89
1,220,0,238,220,220,12,12,14,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,2,23,49,0,1,89
1,220,0,238,220,220,12,12,60,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,2,23,49,0,1,89
1,220,0,238,220,220,12,12,61,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,2,23,49,0,1,89
1,220,0,238,220,220,12,12,14,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,3,23,49,0,1,89
1,220,0,238,220,220,12,12,60,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,3,23,49,0,1,89
1,220,0,238,220,220,12,12,61,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,3,23,49,0,1,89
1,12,0,238,220,220,220,220,14,12,12,12,1,12,220,1,220,220,57,220,220,220,52,220,12,220,0,0,23,49,0,2,89
1,12,0,238,220,220,220,220,60,12,12,12,1,12,220,1,220,220,57,220,220,220,52,220,12,220,0,0,23,49,0,2,89
1,12,0,238,220,220,220,220,61,12,12,12,1,12,220,1,220,220,57,220,220,220,52,220,12,220,0,0,23,49,0,2,89
1,12,0,220,12,12,220,220,14,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,1,23,49,0,2,89
1,12,0,220,12,12,220,220,60,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,1,23,49,0,2,89
1,12,0,220,12,12,220,220,61,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,1,23,49,0,2,89
1,220,0,238,220,220,12,12,14,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,2,23,49,0,2,89
1,220,0,238,220,220,12,12,60,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,2,23,49,0,2,89
1,220,0,238,220,220,12,12,61,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,2,23,49,0,2,89
1,220,0,238,220,220,12,12,14,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,3,23,49,0,2,89
1,220,0,238,220,220,12,12,60,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,3,23,49,0,2,89
1,220,0,238,220,220,12,12,61,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,3,23,49,0,2,12
1,30,0,220,234,30,220,220,13,234,220,45,0,220,45,1,30,220,220,220,220,234,220,45,220,220,0,0,262,135,0,3,262
1,220,0,220,220,220,220,12,13,220,12,220,0,12,220,1,220,220,220,12,12,220,220,220,12,220,0,1,262,135,0,3,262
1,220,0,220,220,220,220,12,13,220,12,220,0,12,220,1,220,220,220,12,12,220,220,220,12,220,0,2,262,135,0,3,262
1,30,0,220,234,30,220,220,13,234,220,45,1,220,45,1,30,220,220,220,220,234,220,45,220,220,0,0,262,135,0,4,262
1,220,0,220,220,220,220,12,13,220,12,220,1,12,220,1,220,220,220,12,12,220,220,220,12,220,0,1,262,135,0,4,262
1,12,0,25,12,12,25,220,13,12,220,12,1,220,12,1,12,25,25,220,220,12,25,12,220,25,0,2,265,135,0,4,265
1,220,0,238,220,220,12,12,14,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,0,23,49,0,5,89
1,220,0,238,220,220,12,12,60,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,0,23,49,0,5,89
1,220,0,238,220,220,12,12,61,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,0,23,49,0,5,89
1,220,0,1,220,220,220,220,201,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,0,171,89,0,5,172
1,220,0,1,220,220,220,220,202,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,0,171,89,0,5,172
1,220,0,1,220,220,220,220,223,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,0,171,89,0,5,172
1,133,0,1,169,133,80,80,224,169,43,80,1,1,80,1,133,133,43,169,133,169,88,80,88,169,0,0,171,89,0,5,172
1,220,0,1,220,220,220,220,226,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,0,171,89,0,5,172
1,220,0,1,220,220,220,220,228,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,0,171,89,0,5,172
1,220,0,1,220,220,220,220,232,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,0,171,89,0,5,172
1,220,0,1,220,220,220,220,2096,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,0,171,89,0,5,172
1,220,0,238,220,220,12,12,14,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,1,23,49,0,5,89
1,220,0,238,220,220,12,12,60,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,1,23,49,0,5,89
1,220,0,238,220,220,12,12,61,220,12,220,1,12,220,1,220,12,57,12,12,220,52,220,12,12,0,1,23,49,0,5,89
1,220,0,1,220,220,220,220,201,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,1,171,89,0,5,172
1,220,0,1,220,220,220,220,202,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,1,171,89,0,5,172
1,220,0,1,220,220,220,220,223,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,1,171,89,0,5,172
1,220,0,12,220,220,220,220,224,220,12,220,1,12,220,1,220,220,12,220,220,220,12,220,12,220,0,1,171,89,0,5,172
1,220,0,1,220,220,220,220,226,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,1,171,89,0,5,172
1,220,0,1,220,220,220,220,228,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,1,171,89,0,5,172
1,220,0,1,220,220,220,220,232,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,1,171,89,0,5,172
1,220,0,1,220,220,220,220,2096,220,58,220,1,1,220,1,220,220,58,220,220,220,124,220,124,220,0,1,171,89,0,5,172
1,12,0,220,12,12,220,220,14,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,2,23,49,0,5,89
1,12,0,220,12,12,220,220,60,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,2,23,49,0,5,89
1,12,0,220,12,12,220,220,61,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,2,23,49,0,5,89
1,12,0,220,12,12,12,12,201,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,12,12,202,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,12,12,223,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,12,12,224,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,12,12,226,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,12,12,228,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,12,12,232,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,12,12,2096,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,2,171,89,0,5,172
1,12,0,220,12,12,220,220,14,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,3,23,49,0,5,89
1,12,0,220,12,12,220,220,60,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,3,23,49,0,5,89
1,12,0,220,12,12,220,220,61,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,3,23,49,0,5,89
1,12,0,220,12,12,12,12,201,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
1,12,0,220,12,12,12,12,202,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
1,12,0,220,12,12,12,12,223,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
1,12,0,220,12,12,12,12,224,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
1,12,0,220,12,12,12,12,226,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
1,12,0,220,12,12,12,12,228,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
1,12,0,220,12,12,12,12,232,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
1,12,0,220,12,12,12,12,2096,12,220,12,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,171,89,0,5,172
