overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,82,84,1,225193
2,89,87,1,234378
-1,87,88,5,257534
-2,88,90,9,203376
2,93,91,9,209331
-1,88,89,9,212831
-2,84,86,10,218667
-1,86,87,10,237692
-1,89,90,10,239085
2,88,86,11,212198
-1,85,86,13,233731
-2,82,84,21,222492
-2,82,84,21,229391
-2,83,85,22,215441
-1,85,86,22,235073
-2,84,86,32,199503
3,89,86,73,231443
-2,82,84,236,234577
2,88,86,237,241651
-1,87,88,240,194765
-1,87,88,240,200389
-2,83,85,240,246191
1,90,89,241,188545
3,88,85,241,244260
3,88,85,241,253163
3,88,85,241,277643
3,88,85,243,177003
1,91,90,243,231747
2,92,90,243,238794
1,91,90,243,252371
2,89,87,325,232293
-2,83,85,448,230869
-3,82,85,461,262621
-1,85,86,115995,244302
-1,85,86,116009,245872
3,88,85,116009,257001
2,88,86,116017,240714
3,91,88,116033,227316
3,88,85,116033,265898
2,88,86,116034,237197
3,93,90,116325,227203
1,90,89,116325,236479
1,92,91,116325,241667
1,89,88,116325,241846
2,88,86,131681,232656
-1,83,84,131682,199845
2,88,86,131682,208128
-2,85,87,131682,224232
-1,83,84,131682,226851
-2,82,84,131682,228093
