overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,222665
-2,82,84,2,221697
-2,80,82,2,227678
-1,80,81,2,241464
3,86,83,7,204935
1,91,90,9,203376
2,93,91,9,209331
-1,83,84,9,224458
-2,82,84,9,246104
3,87,84,10,186942
2,88,86,10,210257
2,87,85,10,218667
1,91,90,10,239085
2,88,86,10,239818
3,89,86,11,212198
2,87,85,13,241096
-2,79,81,18,227535
-1,79,80,18,237985
-1,82,83,18,240091
-3,79,82,18,243576
-2,81,83,18,264453
-2,81,83,45,246430
-2,81,83,52,229582
-2,79,81,189,202024
-2,85,87,240,194765
2,88,86,240,246191
2,91,89,241,188545
2,87,85,241,244260
3,86,83,241,264240
-2,80,82,243,231410
2,92,90,243,231747
2,89,87,325,232293
-3,79,82,326,212523
-1,79,80,448,205157
-1,81,82,448,225201
-2,83,85,448,230869
3,86,83,449,197781
2,86,84,450,192629
-2,79,81,479,188335
-2,79,81,110062,244369
2,87,85,112139,20801
2,89,87,112893,158023
-3,80,83,115841,210413
-2,81,83,115841,220502
-2,80,82,115841,236496
-1,79,80,115841,237712
3,86,83,115845,252154
1,88,87,131681,215698
1,88,87,131682,177683
2,88,86,131682,208128
