firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Dong-Kyoo,Choi,50101,0,0,0,92,0,0,15,232001,500,2,165,83,1,143941,0,4,68,2,0,27113,4,3,0,0,0,0,0,4,0,500,176705,167,4,0,0,0,9,0
Hans,de Noteboom,30301,0,0,287,90,0,1,15,232001,4001,1,185,4,1,143870,0,4,88,2,0,27072,4,3,0,0,0,0,0,3,0,500,179576,7,2,0,0,0,6,0
Benoît,Taillade,50101,0,0,0,149,0,2,15,251101,2007,1,191,16,1,142284,0,4,78,2,0,27109,0,3,0,0,0,0,0,3,0,500,181722,18,4,0,0,0,4,0
Gustavo,Apollonio,50101,0,0,287,29,0,0,0,253101,2001,2,173,31,1,146855,0,4,72,2,0,27074,3,2,0,0,0,0,0,3,0,500,182165,27,2,0,0,0,2,0
Loïc,Dacquigny,50101,0,9,0,155,0,1,15,253101,4002,2,180,17,1,140357,0,4,74,2,0,27067,0,2,0,0,0,0,0,3,0,500,182553,18,1,0,0,0,2,3
Manuel Rui,Barbosa,30301,0,0,0,97,0,1,15,244101,1521,1,175,2092,1,140357,0,4,65,2,0,27070,3,9,0,0,0,0,0,7,0,500,182561,54,6,0,0,0,1,0
Ingvar,Tollefsen,50101,0,6,0,104,0,1,15,232001,2507,1,186,41,1,141361,0,4,77,2,0,27099,0,5,0,0,0,0,0,2,0,500,182693,36,3,0,0,0,5,6
Mehmet,Yıldıraz,30301,0,0,0,150,0,1,15,251101,3,1,166,76,1,147532,0,4,73,2,0,27109,0,3,0,0,0,0,0,3,0,500,182737,48,4,0,0,0,9,0
Rainier,Vannier,30301,0,0,287,16,0,1,15,232001,4001,0,173,16,1,144545,0,4,63,2,0,27092,3,5,0,0,0,0,0,2,0,500,182753,18,2,0,0,0,1,0
Sung-Kwan,Cho,30301,1,0,0,59,0,1,15,221001,505,1,176,83,1,144075,0,4,69,1,0,27075,4,9,0,0,0,0,0,4,0,500,182754,167,4,0,0,0,2,0
Leonardo,San Milano,30301,0,3,0,100,0,2,0,251101,1,1,176,31,1,144471,0,4,65,2,0,27080,0,4,0,0,0,0,0,4,0,500,182777,27,4,0,0,0,1,0
Zachariasz,Krzywicki,30301,0,1,0,75,0,1,15,232001,2012,1,172,66,1,145720,0,4,75,2,0,27082,4,2,0,0,0,0,0,2,0,500,182780,37,1,0,0,0,3,1
Valente,Larrazábal,30301,0,0,287,21,0,2,15,232001,4003,1,178,53,1,140099,0,4,69,2,0,27080,0,4,0,0,0,0,0,4,0,500,182817,45,3,0,0,0,1,0
Pim,Ploegmakers,30301,0,9,243,0,0,1,15,232001,1517,2,166,10,1,145396,0,4,75,2,0,27099,0,5,0,0,0,0,0,2,0,500,183061,34,2,0,0,0,9,3
Pedro,Orteguilla,30301,0,9,0,291,0,2,15,232001,3507,1,172,53,1,146600,0,4,70,2,0,27092,3,5,0,0,0,0,0,2,0,500,183074,45,3,0,0,0,2,3
Lasse,Lagerroth,30301,0,1,0,75,0,1,15,232001,4000,1,178,56,1,146600,0,4,82,2,0,27082,4,2,0,0,0,0,0,2,0,500,183077,46,1,0,0,0,3,1
Hyun-Soon,Han,1150101,1,0,0,553,0,1,15,221001,517,1,175,83,1,146600,0,4,66,1,0,27030,4,9,0,0,0,0,0,3,0,500,183079,167,4,0,0,0,3,0
Scott,McBeanie,30301,0,2,0,104,0,1,15,232001,12,1,183,384,1,146600,0,4,75,2,0,183080,0,1,0,1,0,0,0,2,0,500,183080,14,2,0,0,0,2,1
Ireneusz,Iglikowski,1130201,0,6,287,65,0,1,15,232001,2006,2,178,66,1,144215,0,4,65,2,0,27078,4,5,0,0,0,0,0,1,0,500,183083,37,1,0,0,0,1,3
Heimo,Wasserschneider,30301,0,3,243,26,0,1,15,253101,22,1,175,2076,1,144585,0,4,77,2,0,27110,0,7,0,0,0,0,0,2,0,500,183089,21,3,0,0,0,3,3
