competitionid,isqualified,group,teamid,groupslot
223,1,1,21,1
223,1,1,11,2
223,1,1,819,3
223,0,1,919,4
223,1,2,481,1
223,1,2,1,2
223,1,2,247,3
223,1,2,64,4
223,1,3,115845,1
223,1,3,243,2
223,1,3,1896,3
223,1,3,1831,4
223,1,4,234,1
223,1,4,131682,2
223,1,4,191,3
223,1,4,457,4
223,1,5,246,1
223,1,5,240,2
223,1,5,115841,3
223,1,5,78,4
223,1,6,73,1
223,1,6,22,2
223,1,6,131681,3
223,1,6,13,4
223,1,7,10,1
223,1,7,112172,2
223,0,7,479,3
223,1,7,900,4
223,1,8,241,1
223,1,8,236,2
223,1,8,101059,3
223,1,8,230,4
223,1,9,189,1
223,1,9,38,2
223,1,9,81,3
223,1,9,232,4
224,1,1,19,1
224,0,1,114385,2
224,1,1,25,3
224,0,1,110075,4
224,1,2,245,1
224,1,2,219,2
224,1,2,1808,3
224,1,2,278,4
224,1,3,86,1
224,1,3,449,2
224,1,3,267,3
224,0,3,306,4
224,1,4,48,1
224,1,4,237,2
224,1,4,209,3
224,1,4,114326,4
224,1,5,9,1
224,1,5,252,2
224,1,5,2014,3
224,1,5,1809,4
224,1,6,483,1
224,1,6,74,2
224,0,6,708,3
224,1,6,1884,4
224,1,7,52,1
224,1,7,266,2
224,0,7,101047,3
224,1,7,324,4
224,1,8,32,1
224,0,8,1908,2
224,1,8,417,3
224,1,8,711,4
224,1,9,433,1
224,1,9,744,2
224,1,9,256,3
224,1,9,15001,4
226,1,1,65,1
226,0,1,80,2
226,0,1,254,3
226,0,1,1516,4
226,1,2,674,1
226,0,2,298,2
226,0,2,1887,3
226,0,2,896,4
226,1,3,211,1
226,1,3,110468,2
226,0,3,873,3
226,0,3,100761,4
226,1,4,231,1
226,1,4,918,2
226,0,4,1439,3
226,1,4,10032,4
226,1,5,1906,1
226,1,5,2,2
226,1,5,1871,3
226,0,5,112513,4
226,1,6,1874,1
226,1,6,110374,2
226,1,6,673,3
226,0,6,263,4
226,1,7,1824,1
226,1,7,393,2
226,1,7,100325,3
226,1,7,77,4
226,0,8,113378,1
226,0,8,710,2
226,0,8,837,3
226,1,8,1788,4
226,1,9,319,1
226,1,9,1898,2
226,1,9,897,3
226,1,9,310,4
227,0,1,116010,1
227,0,1,116280,2
227,0,1,115998,3
227,0,1,116034,4
227,0,2,116009,1
227,0,2,115997,2
227,0,2,116326,3
227,0,2,116033,4
227,0,3,116012,1
227,0,3,115995,2
227,0,3,116327,3
227,0,3,116037,4
227,0,4,116017,1
227,0,4,115996,2
227,0,4,116325,3
227,0,4,116035,4
1003,1,1,567,1
1003,1,1,112716,2
1003,1,1,111010,3
1003,1,1,110980,4
1003,1,2,598,1
1003,1,2,110981,2
1003,1,2,112670,3
1003,1,2,110978,4
1003,1,3,1629,1
1003,1,3,101083,2
1003,1,3,110969,3
1003,1,3,111327,4
1003,1,4,110986,1
1003,1,4,101101,2
1003,1,4,111014,3
1003,1,4,517,4
1003,1,5,1043,1
1003,1,5,110968,2
1003,1,5,101105,3
1003,1,5,111328,4
1003,1,6,383,1
1003,1,6,112908,2
1003,1,6,1013,3
1003,1,6,111326,4
1003,1,7,101110,1
1003,1,7,1035,2
1003,1,7,110580,3
1003,1,7,110989,4
1003,1,8,1876,1
1003,1,8,111008,2
1003,1,8,110990,3
1003,1,8,111325,4
1014,1,1,111710,1
1014,1,1,101103,2
1014,1,1,113029,3
1014,1,1,114577,4
1014,1,2,568,1
1014,1,2,112535,2
1014,1,2,114581,3
1014,1,2,131511,4
1014,1,3,1048,1
1014,1,3,114580,2
1014,1,3,111022,3
1014,1,3,115491,4
1014,1,4,1877,1
1014,1,4,111052,2
1014,1,4,112667,3
1014,1,4,116323,4
1014,1,5,1039,1
1014,1,5,110998,2
1014,1,5,116295,3
1014,1,5,131474,4
1014,1,6,1041,1
1014,1,6,111019,2
1014,1,6,112615,3
1014,1,6,112671,4
1014,1,7,110395,1
1014,1,7,112914,2
1014,1,7,115530,3
1014,1,7,131161,4
1014,1,8,101085,1
1014,1,8,112705,2
1014,1,8,111006,3
1014,1,8,112472,4
