overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,85,80,79,2,86,80
-1,83,85,86,85,86,84,10,84,86
1,77,78,77,76,77,80,14,77,78
-1,75,74,75,75,72,73,17,76,71
1,83,82,81,81,81,83,18,81,82
1,82,85,84,90,84,84,21,92,85
1,80,82,81,84,81,81,22,85,81
1,83,84,83,82,83,84,32,82,85
-2,75,74,76,75,77,73,36,74,75
1,76,78,77,77,78,77,66,78,78
1,82,83,82,82,81,83,73,83,82
-1,74,74,75,77,75,73,74,77,74
-1,74,73,74,74,73,74,86,73,71
-1,74,73,74,72,74,73,94,70,73
-1,75,75,76,76,76,74,95,76,76
-1,78,76,77,75,76,76,144,77,75
-1,74,73,74,75,74,73,169,74,74
-1,74,75,76,74,77,73,175,74,75
-1,76,76,77,76,77,75,189,76,77
1,76,78,77,75,78,76,219,76,80
1,79,84,83,84,81,79,241,85,82
-1,84,85,86,89,85,83,243,89,85
1,77,80,79,82,78,77,325,84,80
-1,76,78,79,81,79,76,326,82,78
-1,76,76,77,78,75,74,461,77,74
-2,78,75,77,73,77,76,481,71,75
1,75,79,78,82,79,76,605,82,81
-1,77,77,78,78,79,76,1799,78,78
-1,76,76,77,78,77,76,1824,79,76
-1,78,75,76,76,74,77,1876,76,73
-1,79,78,79,76,79,79,110062,75,79
1,80,81,80,81,80,81,112172,81,81
1,80,82,81,83,81,81,115998,83,82
1,81,84,83,85,83,83,116009,85,83
1,83,84,83,84,83,83,116010,85,84
-2,78,75,77,79,75,76,116011,78,74
1,80,82,81,83,83,79,116017,83,84
1,85,85,84,85,83,86,116033,85,83
1,76,81,80,88,80,76,116034,88,81
1,75,79,78,78,81,77,116035,78,81
-1,72,75,76,74,77,71,116036,74,76
-1,76,78,79,82,78,74,116302,82,77
-1,75,76,77,77,77,74,116307,77,76
-1,74,76,77,81,74,73,116311,81,74
-1,78,76,77,73,78,77,116312,70,77
1,85,86,85,85,88,86,116325,85,89
1,80,81,80,80,81,81,116326,80,81
1,78,80,79,80,79,79,116327,80,80
1,80,82,81,80,82,80,131681,81,83
1,83,84,83,86,83,83,131682,87,84
