overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,80,81,80,85,79,80,2,83,79
1,79,81,80,80,81,79,5,80,82
-2,75,73,75,75,72,72,17,75,71
1,78,80,79,80,81,79,19,81,81
-1,80,80,81,84,81,79,22,82,79
-1,75,74,75,76,76,72,23,75,74
-1,83,82,83,82,83,82,32,82,82
1,79,81,80,82,79,80,48,83,81
-1,74,75,76,76,76,73,54,76,77
-1,76,76,77,81,77,75,65,79,76
-1,74,74,75,77,75,73,74,77,74
-1,77,76,77,76,77,76,110,77,76
-1,76,76,77,76,77,76,189,77,76
-1,76,76,77,75,78,76,219,74,77
1,78,79,78,79,78,79,234,80,79
1,77,79,78,81,79,78,237,82,80
1,80,84,83,84,81,80,241,85,82
1,84,87,86,89,86,86,243,89,88
-1,79,79,80,79,80,78,448,79,80
-1,76,76,77,76,78,74,449,74,77
-1,76,75,76,77,76,76,453,76,74
-1,76,76,77,78,75,76,461,78,74
-1,74,74,75,75,75,73,472,75,75
-1,74,75,76,77,76,74,479,77,75
-1,78,77,78,78,79,78,1799,76,78
1,79,79,78,76,79,79,110062,75,79
1,80,81,80,81,80,80,112172,82,80
1,78,79,78,80,79,78,115841,78,80
1,79,80,79,79,78,80,115845,81,80
1,77,79,78,79,79,78,115997,79,81
1,80,82,81,83,81,81,115998,84,82
1,83,84,83,84,82,85,116010,85,84
-2,77,75,77,79,76,76,116011,78,75
1,79,80,79,78,78,82,116012,78,79
-1,77,77,78,79,79,75,116015,79,77
1,79,82,81,83,82,81,116017,84,84
1,85,85,84,85,83,85,116033,86,85
1,80,81,80,81,80,81,116034,81,81
-1,75,74,75,70,77,73,116037,69,76
-1,74,75,76,75,77,73,116300,75,77
-1,76,77,78,83,78,75,116304,83,77
-1,75,75,76,69,75,74,116308,69,76
1,76,80,79,81,79,77,116309,81,81
1,77,80,79,80,79,77,116310,81,80
-1,79,77,78,77,76,78,116312,77,76
1,85,86,85,86,86,86,116325,87,88
1,80,81,80,80,81,81,116326,80,82
1,78,80,79,79,79,79,116327,80,80
-1,76,74,75,83,72,73,131477,83,71
1,83,84,83,86,83,84,131682,87,83
