overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
2,89,87,1,246669
2,89,87,2,202811
-2,83,85,2,221697
1,90,89,9,203376
-2,87,89,9,209331
2,91,89,9,212831
-1,87,88,10,210257
1,89,88,10,218667
-1,83,84,10,229237
-1,87,88,10,239818
-1,86,87,11,212198
-2,82,84,18,232488
-1,83,84,18,240091
-2,82,84,22,215441
-2,83,85,22,247819
-2,84,86,32,210035
-3,83,86,32,213331
-2,82,84,45,246430
1,89,88,240,194765
2,90,88,240,200389
2,90,88,241,188545
3,89,86,243,177003
3,89,86,243,204963
1,89,88,243,205452
2,92,90,243,238794
2,90,88,243,239053
2,92,90,243,252371
-2,82,84,457,227127
-2,83,85,461,262621
-1,82,83,112996,178509
3,90,87,115998,226302
3,89,86,116009,245872
-1,84,85,116009,258980
3,91,88,116010,227323
-2,84,86,116017,257001
3,89,86,116017,257008
3,91,88,116033,227316
3,89,86,116033,231432
-3,82,85,116035,246641
-2,83,85,116302,226177
-1,83,84,116306,238212
3,91,88,116309,226893
3,90,87,116310,232075
-1,84,85,116312,237673
1,91,90,116325,227102
3,93,90,116325,227203
-2,85,87,131681,232656
-1,85,86,131681,241721
-1,86,87,131682,177683
2,89,87,131682,237383
