overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,76,77,76,77,74,76,7,76,75
-1,81,80,81,79,80,80,11,77,79
-1,77,76,77,76,77,76,14,74,76
-1,74,74,75,74,74,73,17,73,73
1,82,82,81,81,81,83,18,82,80
-2,77,74,76,75,76,75,25,75,74
-1,83,82,83,82,83,84,32,81,83
-1,74,75,76,78,76,73,54,77,76
-1,77,76,77,77,77,76,69,77,77
1,75,77,76,75,76,75,72,75,77
1,82,83,82,82,81,83,73,83,81
-1,74,74,75,77,75,73,74,77,74
-1,75,75,76,76,76,74,95,75,75
-1,77,76,77,76,77,76,110,76,76
1,78,79,78,79,78,79,234,80,79
1,74,78,77,74,77,76,236,76,79
2,77,80,78,81,79,79,237,81,81
1,72,78,77,78,78,73,247,78,80
-1,77,78,79,85,78,76,325,86,78
-1,73,74,75,75,74,71,378,73,73
-1,73,73,74,74,73,72,452,74,71
-1,76,76,77,78,75,74,461,77,74
-1,73,73,74,74,73,72,463,73,72
-1,74,74,75,74,75,72,472,74,75
1,76,78,77,81,78,76,483,81,79
-1,76,76,77,76,77,74,1808,76,76
-1,75,74,75,74,73,75,1831,73,72
-1,73,75,76,76,77,71,10029,77,76
1,80,81,80,81,80,81,112172,83,81
1,77,79,78,79,79,77,115841,79,80
1,82,83,82,82,82,83,115995,83,84
1,77,79,78,79,79,77,115997,80,80
-1,70,75,76,77,78,69,115999,77,77
1,81,84,83,84,81,83,116009,85,82
1,83,84,83,84,82,85,116010,85,84
1,79,80,79,78,78,82,116012,78,79
1,79,82,81,83,82,81,116017,84,83
2,85,86,84,85,83,85,116033,86,85
2,75,80,78,78,81,76,116035,78,82
-1,74,75,76,75,77,73,116300,75,76
-1,75,75,76,68,75,74,116305,68,74
-1,75,75,76,69,75,73,116308,69,75
1,76,80,79,81,79,76,116309,81,80
-1,74,76,77,81,74,73,116311,80,74
1,85,86,85,87,85,86,116325,89,86
1,80,81,80,81,81,80,116326,81,82
1,78,80,79,79,79,78,116327,81,80
-1,74,73,74,75,73,72,116332,75,71
1,80,82,81,80,82,81,131681,81,83
1,83,84,83,86,83,84,131682,87,84
