overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,83,84,1,220901
-1,85,86,1,232580
-2,85,87,1,243715
-2,85,87,2,202811
-3,84,87,10,186942
-2,86,88,10,218667
-1,86,87,11,212198
-1,83,84,11,235243
-2,82,84,11,239301
-1,89,90,21,202126
-2,86,88,22,235073
-1,87,88,32,256630
-2,82,84,52,242458
2,89,87,73,207865
-2,82,84,240,212616
-1,87,88,241,188545
-1,84,85,241,241486
-2,82,84,243,228618
1,91,90,243,238794
1,89,88,243,239053
2,89,87,325,232293
-1,83,84,605,209981
-3,83,86,605,210514
3,91,88,112893,158023
-2,83,85,115998,226375
-1,84,85,115998,247789
1,89,88,116009,245802
3,88,85,116010,227246
3,91,88,116010,227323
3,88,85,116015,235657
3,89,86,116017,246219
3,89,86,116017,257008
3,91,88,116033,227361
3,89,86,116033,231432
2,89,87,116034,233662
1,89,88,116034,246272
4,89,85,116035,246641
-2,85,87,116305,232073
2,90,88,116309,226893
4,89,85,116312,237673
2,92,90,116325,227102
2,92,90,116325,227203
-1,88,89,116325,236479
2,93,91,116325,241667
2,89,87,116325,241846
3,90,87,131681,215698
3,90,87,131681,232656
-1,86,87,131682,177683
-2,82,84,131682,199845
1,90,89,131682,231478
